MISER AxesWeb: State Exports by NAICS Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From State: CONNECTICUT,,,Series: Origin of Movement,,Unit: Total dollar value,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry: TOTAL ALL INDUSTRIES,,,Sorted by: 2002 Q1 YTD,,Order: DESC,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination: All countries,,,User Name: ctded,,"Runtime: 10:21:51 AM, Mon Jun 17 2002 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,
Rows selected: 209 (all rows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by MISER using data from US Census Bureau, Foreign Trade Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The State Exports by NAICS series does not contain imputations for missing states and industries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Code,Description,ANNUAL 1999,ANNUAL 2000,ANNUAL 2001,Q1 2001 YTD,Q1 2002 YTD,%1999-00,%2000- 01,%2001- 02,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002
,,TOTAL ALL COUNTRIES,7231227907.0,8046838282.0,8610434400.0,2255678939.0,2058531477.0,11.28,7.0,-8.74,1730435225.0,1759231681.0,1708714566.0,1859722731.0,1733074484.0,1829253344.0,1922111089.0,1812653502.0,1662544522.0,1879450257.0,1745093311.0,1944139817.0,1865822952.0,1968560486.0,1908242351.0,2304212493.0,2255678939.0,2173597830.0,1977692129.0,2203465502.0,2058531477.0
1.0,4279.0,FRANCE,959792887.0,1112346385.0,1416299202.0,341543552.0,372777842.0,15.89,27.33,9.15,118263947.0,65370046.0,83176551.0,112598670.0,187443703.0,183078407.0,256400989.0,258481913.0,211710700.0,237829498.0,237480077.0,272772612.0,267251029.0,293513212.0,217079638.0,334502506.0,341543552.0,420971972.0,322670685.0,331112993.0,372777842.0
2.0,1220.0,CANADA,1780363502.0,1831214006.0,1728784421.0,431134937.0,343440925.0,2.86,-5.59,-20.34,438807753.0,427985448.0,428048282.0,440296481.0,441505923.0,448472262.0,424418737.0,457324780.0,427778538.0,459936138.0,438643869.0,454004957.0,459639535.0,435234595.0,460980095.0,475359781.0,431134937.0,510458156.0,410122497.0,377068831.0,343440925.0
3.0,4280.0,GERMANY,403797772.0,561248619.0,675360164.0,159471553.0,179850022.0,38.99,20.33,12.78,112166747.0,108866045.0,117886620.0,98332145.0,112413967.0,134725464.0,110829628.0,108982025.0,101656512.0,95197657.0,99551746.0,107391857.0,113025408.0,124473419.0,143451040.0,180298752.0,159471553.0,154240513.0,156254400.0,205393698.0,179850022.0
4.0,5880.0,JAPAN,516137654.0,508288644.0,616575699.0,146099139.0,134613657.0,-1.52,21.3,-7.86,125415582.0,133482987.0,126134806.0,150162506.0,113699480.0,115171275.0,125084038.0,104865378.0,119767249.0,125094072.0,113222016.0,158054317.0,105767602.0,136736462.0,130248040.0,135536540.0,146099139.0,142791151.0,153446944.0,174238465.0,134613657.0
5.0,4120.0,UNITED KINGDOM,430957116.0,471152610.0,462403970.0,131899405.0,122651685.0,9.33,-1.86,-7.01,141173661.0,156471185.0,145612240.0,157444685.0,124562530.0,126997372.0,96416149.0,89407254.0,96580994.0,116246500.0,107367390.0,110762232.0,104940948.0,118263874.0,113424636.0,134523152.0,131899405.0,119366841.0,115529346.0,95608378.0,122651685.0
6.0,5800.0,"KOREA, REPUBLIC OF",314858547.0,158355083.0,190875981.0,44100382.0,105918185.0,-49.71,20.54,140.18,75026953.0,78656760.0,71072580.0,81984005.0,59567592.0,39378277.0,80208145.0,59606056.0,93557354.0,90381509.0,71694500.0,59225184.0,31537753.0,32077554.0,57923418.0,36816358.0,44100382.0,35734193.0,42345510.0,68695896.0,105918185.0
7.0,5590.0,SINGAPORE,180455818.0,198464817.0,413533403.0,124481185.0,86949640.0,9.98,108.37,-30.15,52198423.0,77922652.0,47285239.0,54149025.0,50897926.0,67628086.0,68860434.0,49286441.0,39811020.0,39564570.0,42529091.0,58551137.0,47025353.0,52297791.0,44708153.0,54433520.0,124481185.0,84038271.0,79208582.0,125805365.0,86949640.0
8.0,2010.0,MEXICO,333250764.0,404927737.0,326556193.0,86852978.0,86855597.0,21.51,-19.35,0.0,72416945.0,75645322.0,89475794.0,97414446.0,85748503.0,76323498.0,63017462.0,77136998.0,64808509.0,81496309.0,94026782.0,92919164.0,99388343.0,109862667.0,96788610.0,98888117.0,86852978.0,84690376.0,74763730.0,80249109.0,86855597.0
9.0,6021.0,AUSTRALIA,81125285.0,99202417.0,210145425.0,26556145.0,63907119.0,22.28,111.83,140.65,16960077.0,20185855.0,20174621.0,23409963.0,24352561.0,21696863.0,17982646.0,19682195.0,19969654.0,22215962.0,17818238.0,21121431.0,22824766.0,22727976.0,25401599.0,28248076.0,26556145.0,20728614.0,60418966.0,102441700.0,63907119.0
