Species,Data Point,Source,Location,Description
Chinook,1.0,Volunteer Salmon Watcher Program,Thorton Creek,Two chinook salmon observed between RM 0.0 - 0.2;  1996-98.
Chinook,2.0,StreamNet,Thorton Creek,"Chinook present between RM 0 and 1.2,  just past intersection with Maple Leaf Creek."
Chinook,3.0,StreamNet,McAlear Creek,Chinook present between RM 0.0 up to RM 1.7.
Chinook,4.0,Volunteer Salmon Watcher Program   (M. Bolendar),McAlear Creek,1998 surveys.
Chinook,5.0,WDFW Spawning Ground Survey Database,Swamp Creek,Chinook spawners present between RM 0 - 8; mid to late 1980s.
Chinook,6.0,WDFW Spawning Ground Survey Database,North Creek,Chinook spawning observed between RM 1.7 - 6.0.
Chinook,7.0,"Jim Mattila, Pers. Obs.",North Creek,Chinook spawners observed in late 1990s.
Chinook,8.0,WDFW Spawning Ground Survey Database,Little Bear Creek,"Chinook observed at RM 4.4 - 5.5, 1.2- 1.8, 0.0 - 1.0.  1994 spawner surveys."
Chinook,9.0,"Jim Mattila, (KC) Pers. Obs.",Little Bear Creek,"Chinook observed below Maltby Road, above Highway 228 about at RM 5.0.  Chinook observed in 1999 by Erik Thompson, MIT."
Chinook,10.0,"Jim Mattila, (KC) Pers. Obs.",Little Bear Creek,Chinook spawner observed by volunteer at 130th Ave. at NE 178th St. and then verified by Jim Mattila. 9/14/98.
Chinook,11.0,Ray Heller (KC) and Elissa Ostergaard (KC),Cold Creek (Bear Creek),Chinook salmon spawner observations in 1998.
Chinook,12.0,Ray Heller (KC) and Elissa Ostergaard (KC),Bear Creek,Chinook salmon spawner observations in 1998.
Chinook,13.0,Ray Heller (KC) and Elissa Ostergaard (KC); Pers. Obs.,Cottage Lake Creek,Known primary spawning areas
Chinook,14.0,"Volunteer Salmon Watcher Program     (Doug Webber, Pers. Com.)",Bear Creek,Chinook salmon observed. 1995 Kokanee report
Chinook,15.0,Volunteer Salmon Watcher Program,Bear Creek,Chinook observed up to 179th street in 1998.
Chinook,16.0,Ray Heller (KC) and Elissa Ostergaard (KC); Pers. Obs.,Bear Creek,Known primary holding areas
Chinook,17.0,Volunteer Salmon Watcher Program      (Fortune Haymes),Evans Creek,At RM 0.9 - Evans Creek/Union Hill road crossing.  10/20/97
Chinook,18.0,Volunteer Salmon Watcher Program      (Dave Olson),East Fork Issaquah Creek,"Most upstream chinook siting, 1997."
Chinook,19.0,Larry Fisher (WDFW); Pers. Comm.,Lewis Creek (West Lake Sammamish tributary),Chinook seen in Lewis Creek prior to construction of Interstate 90.  Confirmed via conversations with residents.
Chinook,20.0,Volunteer Salmon Watcher Program (Williams),North Fork Issaquah Creek,Chinook sighting in 1990. Impassible barrier (cascade) at RM 1.5.  1975
Chinook,21.0,"Tina Miller (KC) , Pers. Obs.",Issaquah Creek,Known concentrated spawning areas
Chinook,23.0,Tina Miller and DeeAnn Kirkpatrick (KC); Pers. Obs.,Issaquah Creek,Chinook observed in 1998. Note: most chinook before 1998 kept below hatchery.
Chinook,24.0,Ray Heller (KC) and Elissa Ostergaard (KC); Pers. Obs.,Issaquah Creek,Chinook observed up to Cary Creek falls (barrier)
Chinook,25.0,Kit Paulsen (City of Bellevue),Kelsey Creek,"Known distribution from mouth to tressle, all three tributaries.  Mainstem: mouth to Larsen Lake (1998 data)."
Chinook,26.0,Kit Paulsen (City of Bellevue),Kelsey Creek,North Fork (Valley Creek): mouth to Henry Brown regional detention site (1998 data).
Chinook,27.0,Kit Paulsen (City of Bellevue),Kelsey Creek,West Tributary: mouth to Bel-Red Road (1997 data).
Chinook,28.0,Kit Paulsen (City of Bellevue),Richards Creek (Mercer Sough),Known distribution from mouth to Merlino-Benetez wetlands.  Partial beaver dam blockage at wetland.
Chinook,29.0,Kit Paulsen (City of Bellevue),Richards Creek (Mercer Sough),Distribution from wetland up to SE 30th based upon 1996-97 surveys.
Chinook,30.0,"Kit Paulsen, Gary Clark (City of Bellevue)",Coal Creek,Known distribution from mouth to I-405 (RM 3.9) 10/15/96
Chinook,31.0,"Ron Kessick (cited by Kit Paulsen,                 City of Bellevue)",Coal Creek,Distribution from I-405 to Metro Access Road based on 1998 observations.
Chinook,33.0,"Gino Lucchetti, KC and Volunteer Salmon Watcher Program (Gary Clark)",May Creek,Spawning and rearing at mouth to Coal Creek Parkway 1996
Chinook,36.0,Bill Priest (KC),Walsh Lake Diversion (Cedar River),2 adult chinook observed in Walsh Lake Diversion. 11/17/98
Chinook,38.0,Roger Tabor (NMFS),Ricardi Ponds (Cedar River),Chinook salmon observed in 1999/2000.
