,,,,,
Schneider Electric - Five-Year Annual financial data,,,,,
"(updated: February 20, 2004)",,,,,
,,,,,
Five-year financial data,,,,,
(in euros),1999.0,2000.0,2001.0,2002.0,2003.0
,,,,,
Sales (Mio),8.378,9.695,9.828,9.061,8.78
Operating income (Mio),1.056,1.298,1.116,1.04,1.007
Operating margin,12.6,13.4,11.4,11.5,11.5
Net income (group share) (Mio),481.0,625.0,-986.0,422.0,433.0
Net earnings per share (euros) (i),3.28,4.24,N/A*,1.85,1.94
Cash provided by operating activities (Mio),929.0,991.0,966.0,968.0,942.0
Research and Development (Mio),444.0,490.0,513.0,473.0,494.0
Dividend per share (euros),2.01,2.40,1.30,1.50,1.65**
(i)After deducting treasury shares and intra-Group cross shareholdings.,,,,,
* Not Applicable,,,,,
"** To be proposed to the annual shareholder meeting May 6, 2004",,,,,
,,,,,
,,,,,
Schneider Electric - Five-Year First-Half financial data,,,,,
"(updated: July 31, 2003)",,,,,
Five-year financial data,,,,,
(in euros),1999.0,2000.0,2001.0,2002.0,2003.0
,,,,,
Consolidated sales (billion),4.008,4.579,4.933,4.576,4.236
Operating income (million),484.0,604.0,604.0,493.0,440.0
Net income (million),224.0,285.0,279.0,176.0,190.0
Net earnings per share (after goodwill amortization),1.51,1.91,1.87,0.76,0.84
Cash provided by operating activities (million),418.0,459.0,569.0,441*,458.0
*Reclassification of euros 23 million following application of IAS 7,,,,,
