Central Curve Mappings,,,,,,
Pipe Code,Zone Code,Zone Desc. in Sitara,Facility,Intramonth,Mid,Gas Daily
ANR,CHICAGO,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
ANR,CONSUMERSC,,,ML7/CG,MICH/CONS,GDP-ML7/CG
ANR,CRYSTALFAL,,,CRYSTAL/IM,NGI/CHI. GATE,GDC-CRYSTAL
ANR,MAINLINE 2,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
ANR,MAINLINE 3,,,ML3/CG,ML7/CG,GDC-ML3/CG
ANR,MAINLINE 5,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
ANR,MAINLINE 6,,,ML7/CG,ML7/CG,GDP-ML7/CG
ANR,MAINLINE 7,,508210,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
ANR,MAINLINE 7,,813606,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
ANR,MAINLINE 7,,,ML7/CG,ML7/CG,GDP-ML7/CG
ANR,MICH CITY,,,ML7/CG,ML7/CG,GDP-ML7/CG
ANR,OFFSHORE,,,IF-ANR/LA,IF-ANR/LA_OFFSH,GDP-ANR/LA_ONSH
ANR,SE,SE Receipts,,IF-ANR/LA,IF-ANR/LA,GDP-ANR/LA_ONSH
ANR,SEMARKETS,,,ANR/SE-MKT,IF-ANR/LA,GDC-ANR/SE-MKT
ANR,SW,,501865,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
ANR,SW,,,IF-ANR/OK,IF-ANR/OK,GDP-ANR/OK
ANRF,GATHERING,,,IF-ANR/OK,IF-ANR/OK,GDP-ANR/OK
AOG,AOG,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
AWGC,AWGC,Arkansas Western Gas,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
CEC,ANR,,,CNSMR-POWER,MICH/CONS,GDC-CNSMR-POWER
CEC,PEPL,,,CNSMR-POWER,MICH/CONS,GDC-CNSMR-POWER
CEC,TRKL,,,CNSMR-POWER,MICH/CONS,GDC-CNSMR-POWER
CROD,CROSSROADS,,508415,PEPL/MKT,MICH_CG-GD,GDC-PEPL/MKT
CROD,CROSSROADS,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
DELH,OK,,,IF-PAN/TX/OK,IF-PAN/TX/OK,GDP-PAN/TX/OK
EMPI,CHIPPAWA,,,CHIPPAWA/IM,MICH_CG-GD,GDC-CHIPPAWA-US
EMPI,NIAG MOHAK,,,CNG/NORTH CITY,IF-CNG/N_CITYGA,GDC-CNG/NH/CITY
ENOG,EAST,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
ENOG,ENOGEX,West,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
GPM,GATHERING,,,NNG/MID10,IF-NNG/TOK,GDP-NNG/TOK/PAN
GRLK,BELLERIVER,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
GRLK,CENTRAL,,,ST.CLAIR-CENT,MICH_CG-GD,GDC-ST.CLAIR-US
GRLK,EASTERN,,,ST.CLAIR/IM,MICH_CG-GD,GDC-ST.CLAIR-US
GRLK,FARWELL,,,ML7/CG,ML7/CG,GDP-ML7/CG
