Harrier Note to Talon Amortization Table,,,,,,,,
,Inputs,,,,,,,
Principle,50000000,,,,,,,
Annual Interest Rate,0.07,,,,,,,
Term (in months),60,,,,,,,
Payments Per Year,2,,,,,,,
Payment,0,,,,,,,
,,,,,,,,
,Period,Beginning Balance,Payment,Principle,Interest,Ending Balance,Cum. Interest,
2000-04-18 00:00:00,0,50000000,0,0,0,50000000,0,2000-04-18 00:00:00
2000-10-01 00:00:00,1,50000000,1613888.888888889,0,1613888.888888889,50000000,1613888.888888889,2000-10-01 00:00:00
2001-04-01 00:00:00,2,50000000,1769444.4444444445,0,1769444.4444444445,50000000,3383333.3333333335,2001-04-01 00:00:00
2001-10-01 00:00:00,3,50000000,1779166.6666666667,0,1779166.6666666667,50000000,5162500,2001-10-01 00:00:00
2002-04-01 00:00:00,4,50000000,1769444.4444444445,0,1769444.4444444445,50000000,6931944.444444444,2002-04-01 00:00:00
2002-10-01 00:00:00,5,50000000,1779166.6666666667,0,1779166.6666666667,50000000,8711111.11111111,2002-10-01 00:00:00
2003-04-01 00:00:00,6,50000000,1769444.4444444445,0,1769444.4444444445,50000000,10480555.555555554,2003-04-01 00:00:00
2003-10-01 00:00:00,7,50000000,1779166.6666666667,0,1779166.6666666667,50000000,12259722.22222222,2003-10-01 00:00:00
2004-04-01 00:00:00,8,50000000,1779166.6666666667,0,1779166.6666666667,50000000,14038888.888888886,2004-04-01 00:00:00
2004-10-01 00:00:00,9,50000000,1779166.6666666667,0,1779166.6666666667,50000000,15818055.555555552,2004-10-01 00:00:00
2005-04-01 00:00:00,10,50000000,1769444.4444444445,0,1769444.4444444445,50000000,17587499.999999996,2005-04-01 00:00:00
,,,17587499.999999996,0,17587499.999999996,,,
,,,,,,,,
2001-03-09 00:00:00,,,,Period,1,,,
Principle Received,0,,,Date,2000-10-01 00:00:00,,,
Interest Received,1613888.888888889,,,Next Interest,1769444.4444444445,,,
Total Cash Received,1613888.888888889,,,Next Date,2001-04-01 00:00:00,,,
Time Outstanding,159,,,,,,,
Interest Receivable:,1545833.3333333335,,,,,,,
Interest Income,3159722.2222222225,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Talon Note to Harrier Interest Calculation,,,,,,,,
,Inputs,,,,,,,
Principle,400000000,,,,,,,
Annual Interest Rate,0.07,,,,,,,
Payments Per Year,2,,,,,,,
,,,,,,,,
,Period,Beginning Balance,Increase (+) Decrease (-),Principle,Interest,Ending Balance,Cum. Interest,
2000-04-18 00:00:00,0,400000000,0,0,0,400000000,0,2000-04-18 00:00:00
2000-10-01 00:00:00,1,400000000,-32468725.633500002,0,12911111.111111112,380442385.4776111,12911111.111111112,2000-10-01 00:00:00
2001-04-01 00:00:00,2,380442385.4776111,74541909.6103226,0,13463433.308291018,468447728.39622474,26374544.41940213,2001-04-01 00:00:00
2001-10-01 00:00:00,3,468447728.39622474,0,0,16668931.668765666,485116660.0649904,43043476.088167794,2001-10-01 00:00:00
2002-04-01 00:00:00,4,485116660.0649904,0,0,17167739.581188828,502284399.6461792,60211215.66935662,2002-04-01 00:00:00
2002-10-01 00:00:00,5,502284399.6461792,0,0,17872953.220743213,520157352.86692244,78084168.89009984,2002-10-01 00:00:00
2003-04-01 00:00:00,6,520157352.86692244,0,0,18407790.76534609,538565143.6322685,96491959.65544593,2003-04-01 00:00:00
2003-10-01 00:00:00,7,538565143.6322685,0,0,19163943.027581558,557729086.6598501,115655902.68302749,2003-10-01 00:00:00
2004-04-01 00:00:00,8,557729086.6598501,0,0,19845860.000313003,577574946.6601632,135501762.6833405,2004-04-01 00:00:00
2004-10-01 00:00:00,9,577574946.6601632,0,0,20552041.851990808,598126988.512154,156053804.5353313,2004-10-01 00:00:00
2005-04-01 00:00:00,10,598126988.512154,0,0,21167049.53790234,619294038.0500563,177220854.07323366,2005-04-01 00:00:00
,,,42073183.97682259,0,177220854.07323366,,,
,,,,,,,,
2001-03-09 00:00:00,,,,Period,1,,,
,,,,Date,2000-10-01 00:00:00,,,
Interest to Note,12911111.111111112,,,Next Interest,13463433.308291018,,,
Total,12911111.111111112,,,Next Date,2001-04-01 00:00:00,,,
Time Outstanding,159,,,,,,,
Interest Payable:,11762010.417682813,,,,,,,
Interest Expense,24673121.528793924,,,,,,,
,,,,,,,,
Notes:,,,,,,,,
2000-08-03 00:00:00,increase to loan is settlement of Put option,,,3965852,,,,
2000-08-03 00:00:00,addl. interest on Settlement,,2000-10-01 00:00:00,45497.135444444444,,,,
2000-08-03 00:00:00,Merlin Put Premium,,,-36066314,,,,
2000-08-03 00:00:00,addl. interest on Settlement,,2000-10-01 00:00:00,-413760.7689444445,,,,
,,,,-32468725.633500002,,,,
,,,,,,,,
2000-11-01 00:00:00,Brigham Debt,,,-65511,,,,
2000-11-14 00:00:00,Place Termination,,,-299117.99815116153,,,,
2000-12-13 00:00:00,Quicksilver Termination,,,1166000.1205500006,,,,
2000-12-19 00:00:00,DEVX Pref Termination,,,-599260.1400000001,,,,
2001-01-02 00:00:00,Black Bay and Keathley Termination,,,2417178.99,,,,
2001-01-03 00:00:00,Geo. Pursuit Termination,,,887500,,,,
2001-01-16 00:00:00,Avici Termination,,,132061.02,,,,
2001-01-19 00:00:00,Active Power Termination,,,7079860.939999881,,,,
2001-01-19 00:00:00,Merlin,,,63109023.64,,,,
,Additional Interest,,,714174.0379238715,,,,
,,,,74541909.6103226,,,,
