#,4.6,,,
Chart title,"Median house price by ward, 2014",,,
Source and notes,Land Registry price paid data. Data produced by Land Registry © Crown copyright 2015,,,
Code,Borough,Ward,Median_14,
E09000001,City of London,City of London,765000,49.0
E05000026,Barking and Dagenham,Abbey,173000,625.0
E05000027,Barking and Dagenham,Alibon,215000,605.0
E05000028,Barking and Dagenham,Becontree,210000,611.0
E05000029,Barking and Dagenham,Chadwell Heath,240500,577.0
E05000030,Barking and Dagenham,Eastbrook,240000,578.0
E05000031,Barking and Dagenham,Eastbury,220000,600.0
E05000032,Barking and Dagenham,Gascoigne,200000,619.0
E05000033,Barking and Dagenham,Goresbrook,205000,616.0
E05000034,Barking and Dagenham,Heath,215000,605.0
E05000035,Barking and Dagenham,Longbridge,312750,412.0
E05000036,Barking and Dagenham,Mayesbrook,212000,610.0
E05000037,Barking and Dagenham,Parsloes,213000,608.0
E05000038,Barking and Dagenham,River,205500,615.0
E05000039,Barking and Dagenham,Thames,219000,602.0
E05000040,Barking and Dagenham,Valence,215000,605.0
E05000041,Barking and Dagenham,Village,202500,618.0
E05000042,Barking and Dagenham,Whalebone,235000,584.0
E05000043,Barnet,Brunswick Park,435000,212.0
E05000044,Barnet,Burnt Oak,250000,510.0
E05000045,Barnet,Childs Hill,507500,131.0
E05000046,Barnet,Colindale,302500,429.0
E05000047,Barnet,Coppetts,335000,371.0
E05000048,Barnet,East Barnet,368000,306.0
E05000049,Barnet,East Finchley,437500,211.0
E05000050,Barnet,Edgware,455000,185.0
E05000051,Barnet,Finchley Church End,528000,121.0
E05000052,Barnet,Garden Suburb,825000,38.0
E05000053,Barnet,Golders Green,555250,110.0
E05000054,Barnet,Hale,397250,257.0
E05000055,Barnet,Hendon,350000,332.0
E05000056,Barnet,High Barnet,419422.5,234.0
E05000057,Barnet,Mill Hill,520000,125.0
E05000058,Barnet,Oakleigh,366000,309.0
E05000059,Barnet,Totteridge,627750,79.0
E05000060,Barnet,Underhill,389950,271.0
E05000061,Barnet,West Finchley,385000,277.0
E05000062,Barnet,West Hendon,346250,349.0
E05000063,Barnet,Woodhouse,370000,300.0
E05000064,Bexley,Barnehurst,250000,510.0
E05000065,Bexley,Belvedere,179500,624.0
E05000066,Bexley,Blackfen and Lamorbey,280000,462.0
E05000067,Bexley,Blendon and Penhill,275000,473.0
E05000068,Bexley,Brampton,315000,402.0
E05000069,Bexley,Christchurch,275000,473.0
E05000070,Bexley,Colyers,247000,565.0
E05000071,Bexley,Crayford,231500,588.0
E05000072,Bexley,Cray Meadows,285000,454.0
E05000073,Bexley,Danson Park,265750,492.0
E05000074,Bexley,East Wickham,259497.5,502.0
E05000075,Bexley,Erith,181000,623.0
E05000076,Bexley,Falconwood and Welling,280000,462.0
