A.06a:  Outcomes of terrorism-related charges under terrorism legislation1,,,,,,,,,,,,,,,,
Numbers,,,,,,,,,,,,,,,,Great Britain
,Time of arrest,,,,,,,,,,Total year ending,,,,,Total since Sep 11 2001
Charge and outcome,Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,,30 Jun 2017,30 Jun 2018,,Change4,,
Charged3,16,28,14,21,25,24,15,15,11,,88,65,,-23,,777
of which:,,,,,,,,,,,,,,,,
Not proceeded against,2,2,-,2,2,1,-,-,-,,6,1,,-5,,93
Awaiting prosecution,-,-,1,1,2,9,7,12,9,,4,37,,33,,43
Other outcome5,-,-,-,-,-,-,-,-,1,,-,1,,1,,1
Prosecuted,14,26,13,18,21,14,8,3,1,,78,26,,-52,,640
Convicted6,12,25,12,16,19,12,8,3,1,,72,24,,-48,,537
TACT offences7,11,22,10,16,19,12,8,3,1,,67,24,,-43,,421
Schedule 7 TACT8,-,2,1,-,-,-,-,-,-,,3,-,,-3,,41
Other legislation (non-TACT) - terrorism related9,-,-,1,-,-,-,-,-,-,,1,-,,-1,,29
Other legislation (non-TACT) - non-terrorism related10,1,1,-,-,-,-,-,-,-,,1,-,,-1,,46
Found not guilty,2,1,1,2,2,2,-,-,-,,6,2,,-4,,103
A.06b:  Outcomes of terrorism-related charges under non-terrorism legislation1,,,,,,,,,,,,,,,,
Numbers,,,,,,,,,,,,,,,,Great Britain
,Time of arrest,,,,,,,,,,Total year ending,,,,,Total since Sep 11 2001
Charge and outcome,Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,,30 Jun 2017,30 Jun 2018,,Change4,,
Charged3,10,12,12,14,13,6,10,9,2,,51,27,,-24,,348
of which:,,,,,,,,,,,,,,,,
Not proceeded against,-,-,1,-,-,-,-,-,-,,1,-,,-1,,20
Awaiting prosecution,-,-,1,1,-,1,-,2,1,,2,4,,2,,6
Other outcome5,1,-,-,-,-,-,-,1,-,,-,1,,1,,2
Prosecuted,9,12,10,13,13,5,10,6,1,,48,22,,-26,,320
Convicted6,8,11,10,13,13,5,10,6,1,,47,22,,-25,,285
TACT offences7,-,-,-,-,-,-,-,-,-,,-,-,,-,,-
Schedule 7 TACT8,-,-,-,-,-,-,-,-,-,,-,-,,-,,-
Other legislation (non-TACT) - terrorism related9,7,6,8,6,10,4,8,4,1,,30,17,,-13,,259
Other legislation (non-TACT) - non-terrorism related10,1,5,2,7,3,1,2,2,-,,17,5,,-12,,26
Found not guilty,1,1,-,-,-,-,-,-,-,,1,-,,-1,,35
A.06c:  Total outcomes of charges2 for terrorism-related activity under terrorism and non-terrorism legislation1,,,,,,,,,,,,,,,,
Numbers,,,,,,,,,,,,,,,,Great Britain
,Time of arrest,,,,,,,,,,Total year ending,,,,,Total since Sep 11 2001
Charge and outcome,Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,,30 Jun 2017,30 Jun 2018,,Change4,,
Charged3,26,40,26,35,38,30,25,24,13,,139,92,,-47,,"1,125"
of which:,,,,,,,,,,,,,,,,
Not proceeded against,2,2,1,2,2,1,-,-,-,,7,1,,-6,,113
Awaiting prosecution,-,-,2,2,2,10,7,14,10,,6,41,,35,,49
Other outcome5,1,-,-,-,-,-,-,1,1,,-,2,,2,,3
Prosecuted,23,38,23,31,34,19,18,9,2,,126,48,,-78,,960
Convicted6,20,36,22,29,32,17,18,9,2,,119,46,,-73,,822
TACT offences7,11,22,10,16,19,12,8,3,1,,67,24,,-43,,421
Schedule 7 TACT8,-,2,1,-,-,-,-,-,-,,3,-,,-3,,41
Other legislation (non-TACT) - terrorism related9,7,6,9,6,10,4,8,4,1,,31,17,,-14,,288
Other legislation (non-TACT) - non-terrorism related10,2,6,2,7,3,1,2,2,-,,18,5,,-13,,72
Found not guilty,3,2,1,2,2,2,-,-,-,,7,2,,-5,,138
Source: National Counter-Terrorism Police Operations Centre (NCTPOC),,,,,,,,,,,,,,,,
' - ' = Nil,,,,,,,,,,,,,,,,
1.  Data presented here are based on the latest position with each case as at the date of data provision from NCTPOC (30 July 2018).,,,,,,,,,,,,,,,,
2.  Includes all charges under terrorism legislation and under other legislation where considered by NCTPOC to be terrorism related.,,,,,,,,,,,,,,,,
3.  Refers to the substantive charge at indictment recorded by the Crown Prosecution Service.,,,,,,,,,,,,,,,,
4.  Difference in numbers between the totals for the 12 months ending 30 June 2017 and 30 June 2018.,,,,,,,,,,,,,,,,
"5. Includes other cases/outcomes such as cautions, transfers to UK Border Agencies, the offender being circulated as wanted and extraditions.",,,,,,,,,,,,,,,,
6.  Excludes cases when a conviction was later quashed on appeal.,,,,,,,,,,,,,,,,
7.  Offences under terrorism legislation (see table A.08a for a further breakdown).,,,,,,,,,,,,,,,,
8.  Offences under Schedule 7 to the Terrorism Act 2000.,,,,,,,,,,,,,,,,
"9.  Offences under non-terrorism legislation, where the offence is considered to be terrorism related (see table A.08b for a further breakdown).",,,,,,,,,,,,,,,,
