"A.07:  Outcomes of charges considered non-terrorism related at the time of charge1,2",,,,,,,,,,,,,,,,
Numbers,,,,,,,,,,,,,,,,Great Britain
,Time of arrest,,,,,,,,,,Total year ending,,,,,Total since Sep 11 2001
Charge and outcome,Jul-Sep 2015,Oct-Dec 2015,Jan-Mar 2016,Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,,30 Sep 2016,30 Sep 2017,,Change4,,
Charged3,2,5,5,9,4,3,7,5,3,,23,18,,-5,,453
of which:,,,,,,,,,,,,,,0,,
Not proceeded against,-,2,1,-,-,-,-,-,-,,3,-,,-3,,62
Awaiting prosecution,2,-,-,1,1,-,3,3,2,,2,8,,6,,13
Other outcome5,-,-,1,-,-,-,-,-,1,,1,1,,0,,3
Prosecuted,-,3,3,8,3,3,4,2,-,,17,9,,-8,,375
Convicted6,-,2,2,8,3,3,3,2,-,,15,8,,-7,,349
TACT offences7,-,-,-,-,-,-,-,-,-,,-,-,,0,,-
Schedule 7 TACT8,-,-,-,-,-,-,-,-,-,,-,-,,0,,-
Other legislation (non-TACT) - terrorism related9,-,-,-,1,-,-,-,-,-,,1,-,,-1,,1
Other legislation (non-TACT) - non-terrorism related10,-,2,2,7,3,3,3,2,-,,14,8,,-6,,348
Found not guilty,-,1,1,-,-,-,1,-,-,,2,1,,-1,,26
Source: National Counter-Terrorism Police Operations Centre (NCTPOC),,,,,,,,,,,,,,,,
' - ' = Nil,,,,,,,,,,,,,,,,
1.  Data presented here are based on the latest position with each case as at the date of data provision from NCTPOC (6 November 2017).,,,,,,,,,,,,,,,,
2.  Based upon assessment by the NCTPOC.,,,,,,,,,,,,,,,,
3.  Charged here relates to the substantive charge at indictment recorded by the Crown Prosecution Service.,,,,,,,,,,,,,,,,
4.  Difference in numbers between the totals for the 12 months ending 30 September 2016 and 30 September 2017.,,,,,,,,,,,,,,,,
"5. Includes other cases/outcomes such as cautions, transfers to UK Border Agencies, the offender being circulated as wanted and extraditions.",,,,,,,,,,,,,,,,
6.  Excludes cases when a conviction was later quashed on appeal.,,,,,,,,,,,,,,,,
7.  Offences under terrorism legislation (see table A.08a for a further breakdown).,,,,,,,,,,,,,,,,
8.  Offences under Schedule 7 to the Terrorism Act 2000.,,,,,,,,,,,,,,,,
"9.  Offences under non-terrorism legislation, where the offence is considered to be terrorism related (see table A.08b for a further breakdown).",,,,,,,,,,,,,,,,
