number of datasets:,
6,
,
reference_solution:,
-,7.3053383520606634E-003
,
calculated_solutions:,k_p1
20,6.5989123771198459E-003
80,7.0953269615285051E-003
320,7.2332932821456202E-003
1280,7.2779780340769019E-003
5120,7.2960530764645589E-003
,
end,
,
reference_solution:,
-,7.3053383520606634E-003
,
calculated_solutions:,k_p2
20,6.9160269246985335E-003
80,7.2065695493250849E-003
320,7.2805227316613836E-003
1280,7.2991280376014179E-003
5120,7.3037834780058765E-003
,
end,
,
reference_solution:,
-,7.3053383520606634E-003
,
calculated_solutions:,k_p3
20,6.9200948570295176E-003
80,7.2082054965796954E-003
320,7.2810622301459982E-003
1280,7.2992727719652399E-003
5120,7.3038224257354102E-003
,
end,
,
reference_solution:,
-,0.91608841778
,
calculated_solutions:,volume
20,0.82476934957598935
80,0.89261332735588483
320,0.91017751949045600
1280,0.91460803039433536
5120,0.91571815403920243
,
end,
,
reference_solution:,
-,3.39292006588
,
calculated_solutions:,surface_area
20,3.3063848556343745
80,3.3710563645559537
320,3.3874389822084936
1280,3.3915488339948641
5120,3.3925771976326722
,
end,
,
reference_solution:,
-,4.30900848366
,
calculated_solutions:,geom_error
20,4.13115420521
80,4.26366969191
320,4.2976165017
1280,4.30615686439
5120,4.30829535167
,
end,
,
FEM SAAF,
,
S2 LCT,
keff converged to -7,
,
number of elements are:,
20,
80,
320,
1280,
5120,
20480,
81920,
