Data for Scan-Plate on 2018-03-20 01:52:03,,,,,,,
,1,2,3,4,5,6,
A,,,,,34.214,34.562,
B,,,,,56.530,57.266,
C,,,,,77.557,78.699,
D,,,,,95.987,96.840,
E,,,,,96.273,97.561,
F,,,,,77.315,78.242,
G,,,,,56.116,56.588,
H,,,,,34.210,34.231,
,,,,,,,
Data for Scan-Plate on 2018-03-20 01:52:29,,,,,,,
,1,2,3,4,5,6,
A,,,34.664,34.806,,,
B,,,56.697,57.213,,,
C,,,77.343,78.041,,,
D,,,95.818,96.533,,,
E,,,96.695,98.182,,,
F,,,77.771,78.521,,,
G,,,56.656,57.240,,,
H,,,34.515,34.683,,,
,,,,,,,
Data for Scan-Plate on 2018-03-20 01:52:54,,,,,,,
,1,2,3,4,5,6,
A,35.062,34.854,,,,,
B,58.156,56.889,,,,,
C,78.463,77.691,,,,,
D,97.729,96.402,,,,,
E,96.287,95.721,,,,,
F,77.759,77.213,,,,,
G,56.670,56.226,,,,,
H,34.603,34.070,,,,,
,,,,,,,
Data for Scan-Plate on 2018-03-20 03:02:43,,,,,,,
,1,2,3,4,5,6,
A,35.487,35.000,,,,,
B,73.884,57.457,,,,,
C,79.127,78.361,,,,,
D,98.587,97.091,,,,,
E,97.215,96.401,,,,,
F,78.401,77.718,,,,,
G,57.173,56.587,,,,,
H,34.017,33.646,,,,,
,,,,,,,
Data for Scan-Plate on 2018-03-20 03:02:47,,,,,,,
,1,2,3,4,5,6,
A,,,35.024,34.904,,,
B,,,57.202,57.811,,,
C,,,77.884,78.781,,,
D,,,96.669,97.291,,,
E,,,97.470,98.772,,,
F,,,78.439,79.194,,,
G,,,57.143,57.629,,,
H,,,34.096,34.322,,,
,,,,,,,
Data for Scan-Plate on 2018-03-20 03:02:51,,,,,,,
,1,2,3,4,5,6,
A,,,,,34.791,35.031,
B,,,,,57.234,57.928,
C,,,,,78.368,79.565,
D,,,,,96.964,97.827,
E,,,,,97.183,98.589,
F,,,,,77.985,79.115,
G,,,,,56.509,57.244,
H,,,,,33.715,33.728,
,,,,,,,
