Table 593. Type of Work Flexibility Provided to Employees: 2008,,,
,,,
See notes,,,
,,,
Type of work flexibility provided (to employee),Employer allows all or most employees (percent),Employer size,
,,,
,,50 to 99 employees (percent),"1,000 or more employees (percent)"
,,,
,,,
FLEX TIME AND PLACE,,,
Periodically change starting and quitting times,,,
within some range of hours,37.0,40.0,37.0
Change starting and quitting times on a daily,,,
basis,10.0,11.0,7.0
Compress workweek by working longer hours on,,,
fewer days for at least part of the year,8.0,10.0,5.0
Work some regular paid hours at home occasionally,3.0,3.0,2.0
Work some regular paid hours at home on regular basis,1.0,1.0,1.0
,,,
CHOICES IN MANAGING TIME,,,
Have control over when to take breaks,55.0,54.0,51.0
Have choices about and control over which shifts,,,
to work,16.0,16.0,16.0
Have control over paid and unpaid overtime hours,13.0,14.0,15.0
,,,
REDUCED TIME,,,
Move from full time to part time and back again while,,,
remaining in same position or level,13.0,12.0,12.0
Share jobs,8.0,9.0,5.0
Work part year (work reduced time on annual basis),11.0,10.0,11.0
,,,
CAREGIVING LEAVE,,,
Return to work gradually after childbirth or adoption,57.0,56.0,54.0
,,,
TIME OFF,,,
Familly or personal time off without loss of pay,45.0,46.0,47.0
Compensatory time off program,18.0,21.0,9.0
Do volunteer work during regular work hours,21.0,24.0,20.0
,,,
FLEX CAREERS,,,
Phase into retirement by working reduced hours over,,,
time prior to full retirement,25.0,25.0,20.0
Take sabbaticals (paid or unpaid for six months or more),21.0,24.0,14.0
Take paid or unpaid time off for education or job,,,
training skills,40.0,41.0,33.0
Take extended career breaks for caregiving or other,,,
personal or familly reasons,47.0,48.0,44.0
Receive special consideration when returning to the,,,
organization after an extended career break,28.0,29.0,21.0
,,,
"Source: Families and Work Institute, ""2008 National Study of Employers."" (copyright)",,,
