Table 729. Number of Tax Returns and Business Receipts by Size of Receipts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Returns (1,000)",,,,,,,,,,,,,
,,,,,,,,Business receipts \1 (billion dollars),,,,,,
,,,,,,,,,,,,,,
SIZE-CLASS OF RECEIPTS,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0
,,,,,,,,,,,,,,
"Corporations, total",5045.0,5136.0,5267.0,5401.0,5558.0,5671.0,5841.0,19593.0,19308.0,18849.0,19755.0,21717.0,24060.0,26070.0
"Under $25,000 \2",1220.0,1248.0,1283.0,1280.0,1317.0,1300.0,1363.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
"$25,000 to $49,999",302.0,296.0,314.0,346.0,334.0,340.0,341.0,10.0,11.0,12.0,13.0,12.0,12.0,13.0
"$50,000 to $99,999",477.0,485.0,514.0,522.0,545.0,544.0,554.0,35.0,36.0,38.0,39.0,40.0,40.0,41.0
"$100,000 to $499,999",1515.0,1550.0,1583.0,1649.0,1703.0,1755.0,1780.0,397.0,388.0,395.0,412.0,424.0,437.0,443.0
"$500,000 to $999,999",582.0,601.0,611.0,623.0,635.0,644.0,668.0,407.0,428.0,434.0,441.0,448.0,458.0,473.0
"$1,000,000 or more",946.0,956.0,962.0,981.0,1023.0,1088.0,1135.0,18738.0,18442.0,17967.0,18848.0,20788.0,23108.0,25097.0
,,,,,,,,,,,,,,
"Partnerships, total",2058.0,2132.0,2242.0,2375.0,2547.0,2764.0,2947.0,2316.0,2569.0,2669.0,2818.0,3142.0,3719.0,4131.0
"Under $25,000 \2",1105.0,1130.0,1204.0,1284.0,1373.0,1465.0,1568.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
"$25,000 to $49,999",183.0,183.0,185.0,192.0,193.0,218.0,240.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0
"$50,000 to $99,999",187.0,192.0,195.0,206.0,226.0,233.0,245.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0
"$100,000 to $499,999",353.0,373.0,394.0,410.0,436.0,489.0,498.0,82.0,88.0,92.0,95.0,102.0,114.0,118.0
"$500,000 to $999,999",92.0,103.0,105.0,111.0,121.0,131.0,149.0,66.0,73.0,74.0,78.0,86.0,92.0,106.0
"$1,000,000 or more",137.0,151.0,159.0,172.0,198.0,227.0,248.0,2143.0,2383.0,2478.0,2619.0,2925.0,3482.0,3875.0
,,,,,,,,,,,,,,
"Nonfarm proprietorships, total",17905.0,18338.0,18926.0,19710.0,20591.0,21468.0,22075.0,1021.0,1017.0,1030.0,1050.0,1140.0,1223.0,1278.359791
"Under $25,000 \2",11997.0,12345.0,12716.0,13308.0,13916.0,14456.0,14867.2,82.0,86.0,87.0,93.0,97.0,100.0,104.300389
"$25,000 to $49,999",2247.0,2239.0,2358.0,2450.0,2536.0,2587.0,2720.7,80.0,79.0,83.0,87.0,90.0,92.0,96.380424
"$50,000 to $99,999",1645.0,1704.0,1752.0,1805.0,1792.0,1981.0,1983.4,117.0,121.0,124.0,128.0,128.0,140.0,139.809658
"$100,000 to $499,999",1733.0,1759.0,1803.0,1851.0,2020.0,2091.0,2139.3,355.0,353.0,362.0,373.0,405.0,425.0,436.697602
"$500,000 to $999,999",190.0,197.0,203.0,200.0,218.0,235.0,236.3,126.0,133.0,138.0,135.0,147.0,160.0,161.211688
"$1,000,000 or more",92.0,93.0,93.0,96.0,109.0,117.0,128.1,261.0,245.0,234.0,235.0,273.0,306.0,340.154338
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Internal Revenue Service,",,,,,,,,,,,,,,
Statistics of Income Bulletin; and unpublished data.,,,,,,,,,,,,,,
