Table 794. Employment and earnings in Science & Engineering (S&E) occupations,,,,,,
by industry: 2006,,,,,,
,,,,,,
See notes,,,,,,
,,,,,,
Industry,NAICS          code \1,Workers employed                   (number),,S&E workers as percent of all employed,Mean earnings           (Dollars),
,,All occupations,S&E occupations,,S&E occupations,Non-S&E occupations
Computer systems design and related services,5415,1254320,609590,48.6,75040,69900
Software publishers,5112,240130,116260,48.4,79120,76100
Scientific research and development services,5417,586220,247310,42.2,81220,63900
Computer and peripheral equipment manufacturing,3341,199370,79040,39.6,90710,64700
Internet service providers and Web search portals,5181,119560,46120,38.6,69720,61900
"Data processing, hosting, and related services",5182,264320,83470,31.6,70460,51400
Internet publishing and broadcasting,5161,33220,9810,29.5,69800,60500
"Architectural, engineering, and related services",5413,1361280,397910,29.2,74570,53500
Communications equipment manufacturing,3342,144200,39270,27.2,83400,52000
"Navigational, measuring, electromedical,",,,,,,
and control instruments manufacturing,3345,435510,117950,27.1,82190,51400
Aerospace product and parts manufacturing,3364,464990,114620,24.6,80410,53400
Securities and commodity exchanges,5232,8850,1930,21.8,74000,69000
Semiconductor and other electronic,,,,,,
component manufacturing,3344,452060,93940,20.8,83490,45900
Pharmaceutical and medicine manufacturing,3254,288270,55640,19.3,73710,49100
Other telecommunications,5179,5300,980,18.5,73820,50700
"Management, scientific, and technical consulting services",5416,909540,165380,18.2,71690,60400
Audio and video equipment manufacturing,3343,31260,5520,17.7,76430,41100
Oil and gas extraction,2111,129000,22190,17.2,96180,57400
Manufacturing and reproducing magnetic and optical media,3346,41660,7070,17,75150,42200
Telecommunications resellers,5173,129260,21790,16.9,72420,51400
Wired telecommunications carriers,5171,485830,78540,16.2,74920,54800
Professional and commercial equipment and,,,,,,
supplies merchant wholesalers,4234,643370,97150,15.1,75870,52500
Monetary authorities – central bank,5211,20710,3090,14.9,69760,49800
"Colleges, universities, and professional schools",6113,2677900,385700,14.4,66230,48900
Federal government,9991,1787830,250940,14,81870,60800
Commercial and service industry machinery manufacturing,3333,108770,15110,13.9,74000,44300
Junior colleges,6112,715380,92520,12.9,57370,46700
Management of companies and enterprises,5511,1786440,222830,12.5,70600,57400
Industrial machinery manufacturing,3332,123340,15170,12.3,73780,45400
Wireless telecommunications carriers (except satellite),5172,196740,23110,11.7,71370,43300
Satellite telecommunications,5174,16340,1770,10.8,74740,52400
"Electric power generation, transmission, and distribution",2211,394660,39850,10.1,76180,55600
Basic chemical manufacturing,3251,146490,13880,9.5,73400,49700
Business schools and computer and management training,6114,82220,7780,9.5,60290,49300
Pipeline transportation of crude oil,4861,7330,680,9.3,83160,59800
Electrical equipment manufacturing,3353,153360,14100,9.2,69310,37900
"Engine, turbine, and power transmission equipment manufacturing",3336,99240,8650,8.7,71650,41300
Pipeline transportation of natural gas,4862,25950,2260,8.7,75210,53500
Securities and commodity contracts intermediation and brokerage,5231,494530,42140,8.5,80320,76700
Electrical and electronic goods merchant wholesalers,4236,342930,29090,8.5,75670,48900
Cable and other subscription programming,5152,89190,7450,8.4,60100,48100
"Pesticide, fertilizer, and other agricultural chemical manufacturing",3253,39490,3240,8.2,77640,42200
"Resin, synthetic rubber, and artificial synthetic fibers",,,,,,
and filaments manufacturing,3252,103820,8150,7.9,72760,45900
Petroleum and coal products manufacturing,3241,112750,8790,7.8,82930,50900
Insurance carriers,5241,1263470,97220,7.7,66280,51000
Other general purpose machinery manufacturing,3339,270990,20560,7.6,64900,40500
Other financial investment activities,5239,303310,22270,7.3,76500,75800
State government,9992,2257680,165600,7.3,57240,43900
"Paint, coating, and adhesive manufacturing",3255,67530,4880,7.2,73410,42900
Other chemical product and preparation manufacturing,3259,106430,7620,7.2,67830,41500
Cable and other program distribution,5175,140850,10080,7.2,60490,41700
Other electrical equipment and component manufacturing,3359,135910,9130,6.7,69180,38100
Medical equipment and supplies manufacturing,3391,305530,19890,6.5,70370,40200
Natural gas distribution,2212,106400,6880,6.5,78560,54100
Lessors of nonfinancial intangible assets (except copyrighted works),5331,27310,1750,6.4,66010,53500
Office administrative services,5611,361540,23120,6.4,70300,51200
"Other professional, scientific, and technical services",5419,542500,34020,6.3,52180,35400
Ship and boat building,3366,152650,9570,6.3,64570,37400
Educational support services,6117,99010,6020,6.1,58080,43000
Other transportation equipment manufacturing,3369,39820,2400,6,70410,37900
Motor vehicle parts manufacturing,3363,667720,39480,5.9,71430,40500
Other information services,5191,50750,2910,5.7,68310,39800
Metal ore mining,2122,29990,1710,5.7,67870,47000
Electronic and precision equipment repair and maintenance,8112,105820,6030,5.7,64600,40600
Insurance and employee benefit funds,5251,47880,2720,5.7,71820,52800
Facilities support services,5612,119170,6700,5.6,68400,36300
Other fabricated metal product manufacturing,3329,281870,15500,5.5,65320,37600
Electronics and appliance stores,4431,562120,29890,5.3,58320,32000
Tobacco manufacturing,3122,23340,1240,5.3,71280,45200
"Agriculture, construction, and mining machinery manufacturing",3331,214120,11130,5.2,65940,37300
Metalworking machinery manufacturing,3335,199800,9650,4.8,62820,41600
Household appliance manufacturing,3352,79860,3660,4.6,36490,36500
Railroad rolling stock manufacturing,3365,27070,1240,4.6,66370,38900
"Newspaper, periodical, book, and directory publishers",5111,662000,30060,4.5,64270,43200
"Soap, cleaning compound, and toilet preparation manufacturing",3256,111750,4890,4.4,66500,38700
"Pulp, paper, and paperboard mills",3221,137960,5980,4.3,69670,46400
Specialized design services,5414,135750,5840,4.3,67040,49000
"Ventilation, heating, air conditioning,",,,,,,
and commercial refrigeration equipment,3334,154370,6580,4.3,63980,35200
Remediation and other waste management services,5629,114900,4810,4.2,70920,39800
Wholesale electronic markets and agents and brokers,4251,774770,31960,4.1,73520,51800
Drugs and druggists’ sundries merchant wholesalers,4242,213040,8560,4,70560,52300
Advertising and related services,5418,452840,17990,4,62720,52200
Support activities for mining,2131,241950,9540,3.9,80400,39600
Cutlery and handtool manufacturing,3322,54300,2140,3.9,71210,36600
Social advocacy organizations,8133,166570,6250,3.8,57480,36700
Waste treatment and disposal,5622,102260,3820,3.7,68690,40900
Sound recording industries,5122,21190,790,3.7,66040,51300
Electric lighting equipment manufacturing,3351,63430,2340,3.7,D,36800
Nonferrous metal (except aluminum) production and processing,3314,72440,2610,3.6,64870,41200
Alumina and aluminum production and processing,3313,73150,2600,3.6,70450,37500
"Business, professional, labor, political, and",8139,425760,14740,3.5,60360,45500
similar organizations,,,,,,
