Table 1302. Percent Distribution of Households by Type and Country,,,,,,,,,,
,,,,,,,,,,
See notes,,,,,,,,,,
,,,,,,,,,,
Year,,Total,Married-couple households \1,,,Single parent \2,One-person,Other \3,,
,,,,,,,,,,
,FIPS,,Total,With children \2,Without children \2,,,,,
,Code,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
United States:,US,,,,,,,,,
1980,,100.0,60.8,30.9,29.9,7.5,22.7,9.0,,
1990,,100.0,56.0,26.3,29.8,8.3,24.6,11.0,,
1995,,100.0,54.4,25.5,28.9,9.1,25.0,11.5,,
2000,,100.0,52.8,24.1,28.7,8.9,25.5,12.7,,
2001,,100.0,52.3,24.0,28.3,8.7,26.1,13.0,,
2002,,100.0,51.9,23.6,28.3,9.1,26.3,12.7,,
2003,,100.0,51.5,23.3,28.2,9.0,26.4,13.0,,
2004,,100.0,51.5,23.0,28.5,9.1,26.4,13.0,,
2005,,100.0,51.2,22.9,28.3,9.1,26.6,13.2,,
2006,,100.0,50.9,22.7,28.1,9.2,26.6,13.3,,
2007,,100.0,50.8,22.5,28.3,9.1,26.8,13.2,,
Canada:,CA,,,,,,,,,
1981,,100.0,66.8,36.3,30.5,5.3,20.3,7.6,,
1991,,100.0,62.8,29.6,33.2,5.7,22.9,8.6,,
1996,,100.0,60.5,27.8,32.7,6.4,24.2,8.9,,
2001 \4,,100.0,58.529919851941216,33.361872701445776,25.16804715049544,10.240963073949395,25.744888318101527,5.4842287560078615,,
2006,,100.0,57.446731529804694,31.376075680986567,26.070655848818127,10.260366457165324,26.750175075799177,5.542726937230803,,
Japan:,JA,,,,,,,,,
1980,,100.0,68.4,42.9,25.6,2.2,19.8,9.5,,
1985,,100.0,67.4,39.2,28.2,2.5,20.8,9.4,,
1990,,100.0,65.2,33.1,32.1,2.3,23.1,9.4,,
1995,,100.0,62.8,27.4,35.4,2.0,25.6,9.6,,
2000,,100.0,60.3,23.6,36.7,2.1,27.6,10.0,,
2005,,100.0,57.6,20.8,36.8,2.4,29.5,10.5,,
Denmark: \5,DA,,,,,,,,,
1980,,100.0,50.3,25.0,25.3,3.9,44.9,1.0,,
1990,,100.0,45.6,19.5,26.1,4.2,49.6,0.6,,
1995,,100.0,44.9,18.2,26.6,4.2,50.4,0.5,,
2001,,100.0,45.7,18.5,27.2,4.2,49.6,0.6,,
2003,,100.0,45.7,18.5,27.2,4.4,49.3,0.6,,
2005,,100.0,45.3,18.4,26.9,4.7,49.4,0.6,,
2006,,100.0,45.1,18.4,26.7,4.7,49.6,0.6,,
2007,,100.0,44.9,18.2,26.7,4.8,49.8,0.6,,
2008 \4,,100.0,47.7,21.4,26.4,5.8,45.9,0.6,,
France:,FR,,,,,,,,,
1982,,100.0,67.5,39.8,27.7,4.5,24.6,3.4,,
1990,,100.0,64.0,35.9,28.1,5.5,27.1,3.4,,
1999,,100.0,59.3,29.9,29.4,6.3,31.0,3.4,,
2005 \4,,100.0,56.4,27.2,29.2,6.7,32.8,4.1,,
Germany:,GM,,,,,,,,,
1991,,100.0,55.3,31.6,23.7,7.1,33.6,4.0,,
1995,,100.0,53.3,29.2,24.0,6.8,34.9,5.1,,
2000 \4,,100.0,56.8,28.0,28.8,6.0,36.1,1.2,,
2001,,100.0,56.3,27.3,28.9,6.0,36.6,1.2,,
2002,,100.0,56.0,27.0,29.0,6.1,36.7,1.2,,
2003,,100.0,55.6,26.5,29.0,6.2,37.0,1.2,,
2004,,100.0,55.3,26.1,29.2,6.3,37.2,1.2,,
2005,,100.0,54.7,25.5,29.1,6.4,37.5,1.4,,
2006,,100.0,53.1,24.5,28.6,6.6,38.8,1.5,,
2007,,100.0,53.4,24.3,29.1,6.5,38.7,1.4,,
Ireland:,EI,,,,,,,,,
1981,,100.0,(NA),(NA),(NA),(NA),16.9,(NA),,
1991,,100.0,61.6,47.9,13.7,10.6,20.2,7.6,,
1996,,100.0,59.6,44.5,15.1,11.2,21.5,7.7,,
2002,,100.0,59.2,41.4,17.7,11.7,21.6,7.6,,
2006,,100.0,57.3,37.4,20.0,11.6,22.4,8.7,,
Netherlands:,NL,,,,,,,,,
1988,,100.0,64.7,37.3,27.4,5.4,28.7,1.2,,
1993,,100.0,63.1,33.3,29.9,5.0,30.9,1.0,,
1995 \4,,100.0,61.2,32.6,28.5,5.6,32.6,0.7,,
2000,,100.0,60.2,30.6,29.6,5.6,33.4,0.7,,
2004,,100.0,58.77429422613137,29.677968506171087,29.110512129380055,6.156901688182721,34.38785643353667,0.680947652149241,,
2005,,100.0,58.51078832322663,29.43167395289804,29.079114370328586,6.261458186433507,34.53673670850374,0.6910167818361304,,
2006,,100.0,58.0,29.1,28.9,6.3,35.0,0.7,,
2007,,100.0,57.7,28.7,28.9,6.4,35.3,0.7,,
2008,,100.0,57.4,28.4,29.0,6.4,35.5,0.7,,
Sweden:,SW,,,,,,,,,
1985,,100.0,54.8,23.8,31.0,3.2,36.1,5.9,,
1990,,100.0,52.1,21.9,30.2,3.9,39.6,4.4,,
1995 \4,,100.0,50.7,21.2,29.4,4.6,42.3,2.4,,
2000,,100.0,45.8,19.1,26.7,5.3,46.5,2.3,,
2002,,100.0,44.3,17.9,26.4,5.1,47.9,2.7,,
2003,,100.0,46.0,18.9,27.1,5.3,46.2,2.6,,
2004,,100.0,46.3,18.9,27.3,4.7,46.4,2.6,,
2005,,100.0,45.4,18.8,26.6,5.4,46.3,2.8,,
2007,,100.0,45.6,18.8,26.9,5.0,46.5,2.9,,
United Kingdom: \6,UK,,,,,,,,,
1981,,100.0,65.0,31.0,34.0,5.0,22.0,8.0,,
1991,,100.0,61.0,25.0,36.0,6.0,27.0,6.0,,
1994-95,,100.0,58.0,25.0,33.0,7.0,27.0,8.0,,
2000,,100.0,58.0,23.0,35.0,6.0,29.0,7.0,,
2001,,100.0,58.0,23.0,35.0,7.0,29.0,6.0,,
2002,,100.0,58.0,23.0,35.0,6.0,29.0,7.0,,
2003,,100.0,56.0,22.0,34.0,5.0,29.0,10.0,,
2004,,100.0,57.0,22.0,35.0,7.0,29.0,7.0,,
2005,,100.0,57.0,22.0,35.0,7.0,29.0,7.0,,
2006,,100.0,57.0,22.0,35.0,7.0,28.0,8.0,,
2007,,100.0,56.0,21.0,35.0,7.0,29.0,8.0,,
2008,,100.0,56.0,21.0,35.0,7.0,30.0,7.0,,
,,,,,,,,,,
,,,,,,,,,,
"Source: U.S. Bureau of Labor Statistics, updated and revised from ""Families and Work in Transition",,,,,,,,,,
"in 12 Countries, 1980-2001,"" Monthly Labor Review, September 2003, with national sources, some of which may be unpublished.",,,,,,,,,,
