"Table 1344. World Energy Consumption by Region and Energy Source, 1990 to 2005, and Projections, 2010 to 2025",,,,,,,,
,,,,,,,,
See notes,,,,,,,,
,,,,,,,,
Region and energy source,1990.0,2004.0,2005.0,Projections,,,,
,,,,,,,,
,,,,2010.0,2015.0,2020.0,2025.0,
,,,,,,,,
,,,,,,,,
,(Quadrillion Btu),,,,,,,
"World, total",347.4,447.3,462.2,512.5,563.0,608.4,651.8,
"OECD, total",197.5,239.4,240.9,249.7,260.5,269.0,277.6,
OECD North America,100.7,120.6,121.3,126.4,132.3,137.8,143.4,
United States \1,84.7,100.1,100.1,103.3,107.3,110.8,114.5,
Canada,11.0,14.0,14.3,15.7,16.7,17.6,18.4,
Mexico,5.0,6.5,6.9,7.4,8.4,9.4,10.4,
OECD Europe,70.0,81.0,81.4,83.9,86.8,88.5,90.4,
OECD Asia,26.8,37.8,38.2,39.3,41.4,42.7,43.7,
Japan,18.5,22.7,22.6,22.4,22.9,23.1,23.3,
South Korea,3.8,9.0,9.3,10.3,11.6,12.4,13.0,
Australia/New Zealand,4.5,6.1,6.3,6.6,6.9,7.2,7.5,
,,,,,,,,
"Non-OECD, total",149.9,207.9,221.3,262.8,302.5,339.4,374.2,
Non-OECD Europe and Eurasia,67.3,49.5,50.7,55.1,59.5,63.3,66.0,
Russia,39.4,29.9,30.3,32.7,34.9,36.7,38.0,
Other,28.0,19.6,20.4,22.4,24.5,26.5,28.0,
Non-OECD Asia,47.4,101.0,109.9,137.1,164.2,189.4,215.3,
China,27.0,59.9,67.1,87.3,104.0,120.6,138.0,
India,7.9,15.5,16.2,19.4,23.2,26.6,29.9,
Other Non-OECD Asia,12.5,25.6,26.6,30.5,37.0,42.2,47.3,
Middle East,11.2,20.9,22.9,26.4,29.5,32.6,34.7,
Africa,9.5,14.0,14.4,16.5,18.9,20.9,22.5,
Central and South America,14.5,22.5,23.4,27.7,30.5,33.2,35.7,
Brazil,5.7,9.0,9.3,11.1,12.6,14.1,15.5,
Other Central and South America,8.8,13.5,14.1,16.6,17.9,19.1,20.3,
,,,,,,,,
Liquids,136.4,166.6,169.4,181.1,194.4,206.1,216.9,
Natural gas,75.2,103.3,107.4,120.3,134.4,146.9,155.8,
Coal,89.2,116.1,122.5,140.2,157.8,171.7,186.7,
Nuclear,20.4,27.4,27.5,28.8,31.4,34.5,37.7,
Other,26.2,33.8,35.5,42.0,45.0,49.3,54.7,
,,,,,,,,
,,,,,,,,
"Source: U.S. Energy Information Administration (EIA),",,,,,,,,
"International Energy Outlook, annual (published June 2008).",,,,,,,,
