, Regional Council and Total Personal Income(1) ,,,,,,,, Regional Council and Total Personal Income(1),,,,,,,,
,for the M?ori Ethnic Group(2) ,,,,,,,,for the M?ori Ethnic Group(2),,,,,,,,
,2006 Census,,,,,,,,2006 Census,,,,,,,,
,,,,,,,,,,,,,,,,,
Regional council,Total personal income,,,,,,,,,,,,,,,,
,Loss,Zero Income,"$1Ð$5,000","$5,001Ð $10,000","$10,001Ð $15,000","$15,001Ð $20,000","$20,001Ð $25,000","$25,001Ð $30,000","$30,001Ð $35,000","$35,001Ð $40,000","$40,001Ð $50,000","$50,001Ð $70,000","$70,001Ð $100,000","$100,001 or More",Not Stated,Total,Median Income
Northland Region,168,"1,641","2,103","2,844","3,933","2,787","2,295","2,115","1,638","1,521","1,470","1,224",339,219,"3,654","27,948","$17,600 "
Auckland Region,651,"5,250","6,477","6,570","8,010","6,627","6,279","6,897","6,549","6,726","8,127","6,807","2,406","1,476","9,951","88,806","$24,700 "
Waikato Region,339,"2,685","4,023","4,629","5,712","4,335","3,936","3,981","3,390","3,138","3,135","2,829",828,423,"6,033","49,407","$20,000 "
Bay of Plenty Region,249,"2,265","3,321","4,260","5,508","4,335","3,666","3,381","2,694","2,394","2,607","2,295",759,333,"5,478","43,539","$19,000 "
Gisborne Region,93,609,"1,068","1,308","1,929","1,425","1,041","1,071",786,717,678,492,138,66,"1,530","12,954","$17,500 "
Hawke's Bay Region,114,"1,020","1,803","1,917","2,688","2,106","1,815","1,764","1,542","1,311","1,317",873,210,105,"2,898","21,486","$19,200 "
Taranaki Region,57,546,762,900,"1,257",870,837,702,645,561,657,528,168,99,"1,545","10,128","$19,400 "
Manawatu-Wanganui Region,144,"1,401","2,160","2,550","3,228","2,619","2,199","2,358","1,929","1,599","1,680","1,254",294,150,"3,297","26,862","$19,400 "
Wellington Region,174,"1,863","2,805","2,787","3,672","2,868","2,787","2,940","2,676","2,649","3,063","2,736","1,158",705,"3,513","36,396","$24,100 "
Tasman Region,18,84,177,174,237,198,183,168,117,123,141,99,39,21,156,"1,932","$20,000 "
Nelson Region,18,87,219,180,270,249,210,225,171,147,168,114,27,21,219,"2,328","$20,700 "
Marlborough Region,15,96,249,249,315,291,264,261,222,192,222,168,36,24,273,"2,877","$21,600 "
West Coast Region,9,87,159,183,225,189,150,135,129,105,132,96,24,15,183,"1,821","$19,100 "
Canterbury Region,141,"1,119","2,019","1,956","2,574","2,139","2,058","2,145","1,845","1,659","1,875","1,443",390,282,"2,007","23,655","$22,100 "
Otago Region,48,339,948,891,924,732,675,681,576,549,603,501,120,90,603,"8,286","$19,700 "
Southland Region,39,315,606,546,810,642,606,558,477,426,462,471,93,42,633,"6,717","$20,700 "
Area Outside Region,0,6,15,33,24,21,30,18,24,21,18,18,9,15,12,264,"$24,500 "
Total,"2,277","19,413","28,911","31,968","41,322","32,430","29,031","29,397","25,416","23,835","26,355","21,942","7,044","4,083","41,979","365,406","$20,900 "
