"Homicide offences, number and rate, by province and territory ",,,,,
(Number of homicides),,,,,
,2004 homicides,2005 homicides,2006 homicides,2007 homicides,2008 homicides
Canada,624,663,606,594,611
Newfoundland and Labrador,2,11,7,3,5
Prince Edward Island,0,0,1,0,2
Nova Scotia,14,20,16,13,12
New Brunswick,7,9,7,8,3
Quebec,111,100,93,90,92
Ontario,187,219,196,202,176
Manitoba,50,49,39,61,54
Saskatchewan,39,43,42,30,30
Alberta,86,108,95,88,110
British Columbia1,113,101,108,88,117
Yukon,7,1,0,2,3
Northwest Territories,4,0,0,2,3
Nunavut,4,2,2,7,4
"Notes: Homicide includes Criminal Code offences of murder, manslaughter and infanticide.",,,,,
There are some homicides that are included in a given year's total that occurred in previous years. Homicides are counted according to the year in which police submit the Homicide Survey to Statistics Canada.,,,,,
"1. As a result of investigations in Port Coquitlam, B.C., there were 5 homicides reported in 2007,5 reported in 2004 that occurred in previous years. Homicides are counted according to the year in which police file the report.",,,,,
"Source: Statistics Canada, CANSIM, table (for fee) 253-0001 and Homicide Survey, Canadian Centre for Justice Statistics.",,,,,
Last modified: 2009-10-28.,,,,,
,,,,,
