"Renewable Energy Trends in Consumption and Electricity, 2007",,,,,
Release Date: April 2009,,,,,
Next Release Date: April 2010,,,,,
,,,,,
"Table 1.12 U.S. Electric Net Summer Capacity, 2003 - 2007",,,,,
(Megawatts),,,,,
Source,2003,2004,2005,2006,2007
Total,"948,446","962,942","978,020","986,215","994,888"
Renewable Total,"96,847","96,357","98,746","101,934","107,954"
 Biomass,"9,628","9,711","9,802","10,100","10,839"
  Waste,"3,758","3,529","3,609","3,727","4,134"
   Landfill Gas,863,859,887,978,"1,319"
   MSW1,"2,442","2,196","2,167","2,188","2,218"
   Other Biomass2,453,474,554,561,598
  Wood and Derived Fuels3,"5,871","6,182","6,193","6,372","6,704"
 Geothermal,"2,133","2,152","2,285","2,274","2,214"
 Hydroelectric Conventional,"78,694","77,641","77,541","77,821","77,885"
 Solar/PV,397,398,411,411,502
 Wind,"5,995","6,456","8,706","11,329","16,515"
Nonrenewable Total,"851,599","866,585","879,274","884,281","886,934"
1Includes total capacity whose primary energy source is MSW.,,,,,
"2Agriculture byproducts/crops, sludge waste and other biomass solids, liquids and gases.  Does not include tires.",,,,,
"3Black liquor, and wood/woodwaste solids and liquids.",,,,,
MSW = Municipal Solid Waste.,,,,,
PV = Photovoltaic.,,,,,
Notes: Totals may not equal sum of components due to independent rounding.,,,,,
Data revisions are discussed in the Highlights section.,,,,,
Revisions to biomass capacity removed tires from renewable waste energy.,,,,,
"Source: Energy Information Administration, Form EIA-860, ""Annual Electric Generator Report.""",,,,,
