"Television viewing, by age and sex, by province",,,,,
,2004,,,,
,Total population 2 years and older (average hours/week),Children 2 to 11 years (average hours/week),Teens 12 to 17 years (average hours/week),18 years and over,
,,,,Male (average hours/week),Female (average hours/week)
Canada,21.4,14.1,12.9,20.9,25.6
Newfoundland and Labrador,22.7,18.9,12.3,21.3,26.8
Prince Edward Island,20,14.5,12.3,19.8,23.5
Nova Scotia,22.7,12.9,13.8,22.4,27.2
New Brunswick,23.7,14.7,12.6,23.2,28.4
Quebec1,23.3,14.3,13.5,22.4,28.5
"  Quebec, Anglophones1",20.6,14.2,13.4,19.8,24.2
"  Quebec, Francophones1",23.8,14.3,13.7,22.9,29.2
Ontario,20.6,13.5,13.2,20.1,24.7
Manitoba,22.1,15.5,13,22,26.4
Saskatchewan,21.2,15.2,12.7,20.5,25.7
Alberta,19.4,14.1,12.4,18.2,23.9
British Columbia,20.7,14.4,11.7,21.5,23.4
Note: Data are collected over the Fall period (4 weeks of November).,,,,,
"1. For Quebec, the language classification is based on the language spoken at home. For Quebec as a total, respondents who did not reply to this question or who indicated a language other than English or French are included.",,,,,
"Source:Statistics Canada CANSIM, tables (for fee) 502-0002 and 502-0003 and Catalogue no. 87F0006XIE.",,,,,
Last modified: 2006-12-22.,,,,,
,,,,,
