New Housing Price Index,,,,,
,2005 (1997=100),2006 (1997=100),2007 (1997=100),2008 (1997=100),2009 (1997=100)
Canada,129.4,142,153,158.2,154.6
  House only,137.6,151.7,162.9,167.5,162.4
  Land only,113.4,122.9,133.6,139.9,138.3
St. John's (N.L.),125.2,129.8,136.3,163,181.7
Charlottetown (P.E.I),114,116.5,118,119.6,120.7
Halifax (N.S.),125,130.4,138,149,150.6
"Saint John, Moncton, and Fredericton (N.B.)",109.2,112.9,113.9,116.8,120.6
Québec (Que.),134.9,141.9,147.6,155.4,166.2
Montréal (Que.),141.8,147.7,154.1,161.6,165.4
Ottawa–Gatineau (Ont./Que.),154.2,158.9,161.7,167.8,170.3
Toronto and Oshawa (Ont.),132.3,137.3,141,146,145.8
Hamilton (Ont.),134.6,142,148.4,152.5,150.9
St. Catharines–Niagara (Ont.),137.8,144.2,150.1,156.6,155.7
London (Ont.),126.3,132.8,137.6,142.4,144.4
Kitchener (Ont.),131.4,136.8,138.8,142.2,143
Windsor (Ont.),105.5,105.4,103.2,103.6,103.7
Greater Sudbury / Grand Sudbury and Thunder Bay (Ont.),100,101.7,106.1,111.9,112.6
Winnipeg (Man.),132,144.5,161.5,178,182.5
Regina (Sask.),142.2,154.5,188.8,238.3,251.6
Saskatoon (Sask.),126.5,138,191.5,230.9,213.3
Calgary (Alta.),147.8,212.2,246.6,248.2,231.6
Edmonton (Alta.),137.7,177.5,234.4,236.8,210.3
Vancouver (B.C.),105.4,112.7,120.7,123.5,115.7
Victoria (B.C.),113.3,117.7,118.2,118.1,108.9
"Sources: Statistics Canada, CANSIM, table (for fee) 327-0005 and Catalogue no 62-007-X.",,,,,
Last modified: 2010-04-13.,,,,,
,,,,,
