ID_AWARD,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE
7202216,UAB „Proit“,,Šeimyniškių g. 3A,Vilnius,09213,LT
7210101,Mindware OÜ,,Pärnu mnt.158,Tallinn,11317,EE
7210454,AB „TEO LT“,,Savanorių pr. 28,Vilnius,03501,LT
7210465,UAB „Algoritmų sistemos“,,A. Juozapavičiaus g.6/2,Vilnius,,LT
7213178,UAB „e-Projects“,,Konstitucijos pr. 12,Vilnius,,LT
7216824,SIA “Lattelecom Technology”,,Pērses iela 8,Rīga,1011,LV
7233289,Tieto Estonia Aktsiaselts,,Tammsaare tee 47,Tallinn,11316,EE
7240526,AS “OpusCapita”,,Straupes iela 5/3,Rīga,1073,LV
7240530,Uždaroji akcinė bendrovė „Komsetas“ (Ūkio subjektų grupė; sudaryta iš UAB „Komsetas“; UAB „Blue Bridge“ ir UAB „Blue Bridge Code“; atstovaujama partnerio UAB „Komsetas“),,Aukštaičių g. 7,Vilnius,11341,LT
7240596,Osaühing MS Ärisüsteemid,,Lõõtsa 2,Tallinn,11415,EE
7240597,Osaühing MS Ärisüsteemid,,Lõõtsa 2,Tallinn,11415,EE
7240993,Osaühing ASA Quality Services,,Ehitajate tee 108,Tallinn,12915,EE
7240994,Osaühing Aktors,,A. H. Tammsaare tee 118d,Tallinn,12918,EE
7240995,AS CGI Eesti,,A. H. Tammsaare tee 47,Tallinn,11316,EE
7240996,Trinidad Consulting OÜ,,Teaduspargi tn 8,Tallinn,12618,EE
7240997,Osaühing Icefire,,Pärnu mnt 102 C,Tallinn,11312,EE
7240998,BitWeb OÜ,,Lai tn 6,Tartu,51005,EE
7240999,OÜ TripleDev,,Pärnu mnt 130-45,Tallinn,11317,EE
7241000,Aktsiaselts Fujitsu Estonia,,Mustamäe tee 16,Tallinn,10617,EE
7241001,Concise Systems OÜ,,Aasa 2,Elva,61503,EE
7241002,Nortal AS,,Lõõtsa 6,Tallinn,11415,EE
7241003,AS Finestmedia,,Pärnu mnt 139,Tallinn,11317,EE
7241004,Aktsiaselts Datel,,Endla 4,Tallinn,10142,EE
