id	university	collection	creatorName	resource - creators - creator - affiliation	creatorNameURI	resource - relatedIdentifiers - relatedIdentifier	resource - relatedIdentifiers - relatedIdentifier - relationType	rightsOA	resource - relatedIdentifiers - relatedIdentifier - relatedIdentifierType	otherDescription	abstract	resource - relatedIdentifiers - relatedIdentifier - resourceTypeGeneral	subject	rights	rightsURI	date	dateType	url	title	publisher	identifier	identifierType	resourceTypeGeneral	resourceType	publicationYear	resource - version	language	resource - contributors	resource - contributors - contributor	resource - contributors - contributor - contributorType	resource - contributors - contributor - contributorName	resource - contributors - contributor - givenName	resource - contributors - contributor - familyName	resource - contributors - contributor - affiliation	resource - contributors - contributor - nameIdentifier	resource - contributors - contributor - nameIdentifier - schemeURI	resource - contributors - contributor - nameIdentifier - nameIdentifierScheme
10.5281_zenodo.1402067	Technische Universität Hamburg	Forschungsdaten TU Hamburg	Kuladinithi, Koojana	@ComNetsHH	https://orcid.org/0000-0001-6083-4048	https://github.com/ComNetsHH/Teaching_OMNeT/tree/v1.0.0	IsSupplementTo	Open Access	URL		All exercises and lecture contents of Simulation and Modelling of Communication Networks Course from Hamburg University of Technology can be found here.			Creative Commons Attribution Share Alike 4.0 International	https://creativecommons.org/licenses/by-sa/4.0/legalcode	2018-08-22	Issued	https://doi.org/10.5281/zenodo.1402067	ComNetsHH/Teaching Modelling and Analysis of Communication Networks using OMNeT++ Simulator: Final Version of Tasks	Zenodo	10.5281/zenodo.1402067	DOI	InteractiveResource	Interactive Resource	2018	v1.0.0	en										
						10.5281/zenodo.1402066	IsVersionOf		DOI																												
						https://zenodo.org/communities/tuhh	IsPartOf		URL																												
			Elsner, Raphael	@ComNetsHH	https://orcid.org/0000-0003-2849-9053																																
			Krüger, Leo	@ComNetsHH	https://orcid.org/0000-0002-9886-889X																																
			Lindner, Sebastian	@ComNetsHH	https://orcid.org/0000-0002-5694-9675																																
			Petersen, Christoph	@ComNetsHH	https://orcid.org/0000-0002-9720-9833																																
			Plöger, Daniel	@ComNetsHH	https://orcid.org/0000-0002-7124-0074																																
			Vatandas, Zeynep	@ComNetsHH																																	
			Timm-Giel, Andreas	@ComNetsHH	https://orcid.org/0000-0002-5998-6113																																
