ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
1,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,21,Imperial,http://www.wikidata.org/entity/Q3773740,CALLE CHULAPOS,S/N,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
1,,,,,,,,,,,Dual_Mennekes,,
2,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,26,Palos de la Frontera,http://www.wikidata.org/entity/Q521009,RONDA DE VALENCIA,1,VÍA PÚBLICA,1,CHAdeMO,3,GIC
2,,,,,,,,,,,Dual_Mennekes,,
3,3,Retiro,http://www.wikidata.org/entity/Q2002296,32,Adelfas,http://www.wikidata.org/entity/Q3774001,CALLE CERRO DE LA PLATA,4,VÍA PÚBLICA,1,CHAdeMO,3,GIC
3,,,,,,,,,,,Dual_Mennekes,,
4,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,CALLE ALFONSO XII,2,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
4,,,,,,,,,,,Dual_Mennekes,,
5,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE GOYA,36,VÍA PÚBLICA,1,CHAdeMO,3,GIC
5,,,,,,,,,,,Dual_Mennekes,,
6,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE GOYA,123,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
6,,,,,,,,,,,Dual_Mennekes,,
7,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,CALLE CASTELLÓ,105,VÍA PÚBLICA,1,CHAdeMO,3,GIC
7,,,,,,,,,,,Dual_Mennekes,,
8,4,Salamanca,http://www.wikidata.org/entity/Q1773521,44,La Guindalera,http://www.wikidata.org/entity/Q3814559,PLAZA DE SAN CAYETANO,S/N,APARCAMIENTO,1,CHAdeMO,3,ENDESA
8,,,,,,,,,,,Dual_Mennekes,,
9,10,Latina,http://www.wikidata.org/entity/Q794954,106,Cuatro Vientos,http://www.wikidata.org/entity/Q5191881,CALLE SINFONIA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,DRIVE THE CITY
9,,,,,,,,,,,Dual_Mennekes,,
10,5,Chamartín,http://www.wikidata.org/entity/Q1766348,54,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,AVENIDA ALFONSO XIII,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
10,,,,,,,,,,,Dual_Mennekes,,
11,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,CALLE VELÁZQUEZ,74,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
11,,,,,,,,,,,Dual_Mennekes,,
12,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,PASEO CASTELLANA,52,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
12,,,,,,,,,,,Dual_Mennekes,,
13,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,PASEO CASTELLANA,106,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
13,,,,,,,,,,,Dual_Mennekes,,
14,5,Chamartín,http://www.wikidata.org/entity/Q1766348,54,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,PASEO CASTELLANA,160,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
14,,,,,,,,,,,Dual_Mennekes,,
15,5,Chamartín,http://www.wikidata.org/entity/Q1766348,56,Castilla,http://www.wikidata.org/entity/Q3813735,CALLE CARDENAL MARCELO SPÍNOLA,6,VÍA PÚBLICA,1,CHAdeMO,3,GIC
15,,,,,,,,,,,Dual_Mennekes,,
16,7,Chamberí,http://www.wikidata.org/entity/Q1763370,72,Arapiles,http://www.wikidata.org/entity/Q10856744,CALLE FERNÁNDEZ DE LOS RÍOS,42,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
16,,,,,,,,,,,Dual_Mennekes,,
17,7,Chamberí,http://www.wikidata.org/entity/Q1763370,72,Arapiles,http://www.wikidata.org/entity/Q10856744,PLAZA DEL CONDE DE VALLE DE SUCHIL,S/N,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
17,,,,,,,,,,,Dual_Mennekes,,
18,7,Chamberí,http://www.wikidata.org/entity/Q1763370,73,Trafalgar,http://www.wikidata.org/entity/Q10384027,CALLE MANUEL SILVELA,16,VÍA PÚBLICA,1,CHAdeMO,3,GIC
18,,,,,,,,,,,Dual_Mennekes,,
19,5,Chamartín,http://www.wikidata.org/entity/Q1766348,55,Nueva España,http://www.wikidata.org/entity/Q10338128,AVENIDA ALBERTO ALCOCER,11,APARCAMIENTO,1,CHAdeMO,3,ENDESA
19,,,,,,,,,,,Dual_Mennekes,,
20,7,Chamberí,http://www.wikidata.org/entity/Q1763370,73,Trafalgar,http://www.wikidata.org/entity/Q10384027,CALLE SANTA ENGRACIA,115,VÍA PÚBLICA,1,CHAdeMO,3,GIC
20,,,,,,,,,,,Dual_Mennekes,,
21,7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432,PASEO CASTELLANA,33,VÍA PÚBLICA,1,CHAdeMO,3,GIC
21,,,,,,,,,,,Dual_Mennekes,,
22,8,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,85,La Paz,http://www.wikidata.org/entity/Q5869740,CALLE DE SINESIO DELGADO,2,VÍA PÚBLICA,1,CHAdeMO,3,GIC
22,,,,,,,,,,,Dual_Mennekes,,
23,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,156,San Juan Bautista,http://www.wikidata.org/entity/Q165609,CALLE BUESO PINEDA,29,VÍA PÚBLICA,1,CHAdeMO,3,GIC
23,,,,,,,,,,,Dual_Mennekes,,
24,1,Centro,http://www.wikidata.org/entity/Q1763376,11,Palacio,http://www.wikidata.org/entity/Q2136510,PLAZA DE LA CEBADA,S/N,APARCAMIENTO,1,CHAdeMO,2,DRIVE THE CITY
25,5,Chamartín,http://www.wikidata.org/entity/Q1766348,55,Nueva España,http://www.wikidata.org/entity/Q10338128,CALLE MATEO INURRIA,4,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
25,,,,,,,,,,,Dual_Mennekes,,
26,6,Tetuán,http://www.wikidata.org/entity/Q1773540,66,Berruguete,http://www.wikidata.org/entity/Q11909208,CALLE OFELIA NIETO,64,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
26,,,,,,,,,,,Dual_Mennekes,,
27,8,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,86,Valverde,http://www.wikidata.org/entity/Q31132,CALLE DEL ABETAL,8,ESTACIÓN DE SERVICIO,2,CHAdeMO,3,REPSOL
27,,,,,,,,,,,Dual_Mennekes,,
28,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,93,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,"CRED HIPODROMOCR A-6  P.K. 8,00 D (AVDA PADRE HUIDOBRO SN)",S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
28,,,,,,,,,,,Dual_Mennekes,,
29,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,96,El Plantío,http://www.wikidata.org/entity/Q3773742,AVENIDA VICTORIA,34,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
29,,,,,,,,,,,Dual_Mennekes,,
30,10,Latina,http://www.wikidata.org/entity/Q794954,106,Cuatro Vientos,http://www.wikidata.org/entity/Q5191881,CRED A5 PK 9,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
30,,,,,,,,,,,Dual_Mennekes,,
31,10,Latina,http://www.wikidata.org/entity/Q794954,106,Cuatro Vientos,http://www.wikidata.org/entity/Q5191881,AVENIDA DE LA PESETA,6,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
31,,,,,,,,,,,Dual_Mennekes,,
32,10,Latina,http://www.wikidata.org/entity/Q794954,107,Las Águilas,http://www.wikidata.org/entity/Q5971372,CALLE DE JOSÉ DE CADALSO,51,APARCAMIENTO,1,CHAdeMO,3,DRIVE THE CITY
32,,,,,,,,,,,Dual_Mennekes,,
33,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,134,Palomeras Sureste,http://www.wikidata.org/entity/Q10343901,AVENIDA DE LA ALBUFERA,319,APARCAMIENTO,2,CHAdeMO,3,ECOLINERAS
33,,,,,,,,,,,Dual_Mennekes,,
34,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,166,Valdefuentes,http://www.wikidata.org/entity/Q10388714,AVENIDA MARÍA DE PORTUGAL,15,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,IBERDROLA
34,,,,,,,,,,,Dual_Mennekes,,
35,17,Villaverde,http://www.wikidata.org/entity/Q919536,173,Butarque,http://www.wikidata.org/entity/Q390453,AVDA. DE LOS ROSALES,147,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
35,,,,,,,,,,,Dual_Mennekes,,
36,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,183,Ensanche de Vallecas,http://www.wikidata.org/entity/Q3847485,AVENIDA REAL DE ARGANDA,74,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
36,,,,,,,,,,,Dual_Mennekes,,
37,20,San Blas,http://www.wikidata.org/entity/Q2001937,206,Rejas,http://www.wikidata.org/entity/Q10359029,"BARAJAS II A2 KM 12,6",S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
37,,,,,,,,,,,Dual_Mennekes,,
38,1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181,PLAZA DE JACINTO BENAVENTE,6,APARCAMIENTO,1,CHAdeMO,3,EMT
38,,,,,,,,,,,Dual_Mennekes,,
39,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,JARDINES DEL DESCUBRIMIENTO - ACCESO A COMPLEJO DE APARCAMIENTOS SUBTERRÁNEOS POR CALLE DE LA ARMADA ESPAÑOLA,S/N,VÍA PÚBLICA,4,CHAdeMO,3,EMT
39,,,,,,,,,,,Dual_Mennekes,,
40,4,Salamanca,http://www.wikidata.org/entity/Q1773521,45,Lista,http://www.wikidata.org/entity/Q4779,PLAZA DE MARQUÉS DE SALAMANCA,S/N,APARCAMIENTO,1,CHAdeMO,3,EMT
40,,,,,,,,,,,Dual_Mennekes,,
41,5,Chamartín,http://www.wikidata.org/entity/Q1766348,56,Castilla,http://www.wikidata.org/entity/Q3813735,CALLE HIEDRA,36,APARCAMIENTO,1,CHAdeMO,3,EMT
41,,,,,,,,,,,Dual_Mennekes,,
