id,codeserc,tipologia,nome,indirizzo,cap,citta,provincia,stelle,email,url,lt,lg,telefono
7786,050025AAT0017,Agriturismi,I Moricci,"Via Di Ripassaia, 10 - - Fabbrica",56037,Peccioli,PI,2,imoricci@tiscali.it,www.imoricci.it,41.0,13.0,0587 697446
1046,053010ALB0002,Alberghi - Hotel,Da Augusto,"Via Marconi, 101 - - Bagno Di Gavorrano",58021,Gavorrano,GR,1,albergo.augusto@tiscali.it,www.albergoaugusto.it,42.938,10.88813,0566 844373
8959,048002CAV0006,Case per Vacanze,La Valle Dei Medici,"Via San Gavino, 57/a",,Barberino di Mugello,FI,,info@lavalledemedici.it, www.lavalledemedici.it,44.219,11151.0,558423053
6455,050017ALB0001,Alberghi - Hotel,Dany,"Via Gioacchino Rossini, 4 - Quattro Strade - Perignano",56035,Lari,PI,3,ristorantelidomasi@gmail.com,,37.404254,13.618518,0587 616020
244,049020AFR0007,Affittacamere,B & B Belvedere Di Suvereto,"Piazza San Tommaso, 33-35 - Belvedere",57028,Suvereto,LI,,info@belvederedisuvereto.it,www.belvederedisuvereto.it,39.184123,16.881545,0565 827061
770,049018STB0004,Stabilimenti Balneari,Bagno Nettuno,"Via Andrea Costa, 3",57027,San Vincenzo,LI,,bagno.nettuno@libero.it,,39.330971,16.181266,0565 701095
13047,046033STB0089,Stabilimenti Balneari,Principe Azzurro,"Via Della Repubblica, 4 - Citta Giardino - ",55049,Viareggio,LU,,info@bagnoprincipeazzurro.it,www.bagnoprincipeazzurro.it,41.95226,12.729531,0584 50021
18151,053012AFR0012,Affittacamere,La Rosada B&b,"Via Dell'asilo, 42 - - Giglio Porto",58012,Isola del Giglio,GR,,faber51@hotmail.it,bedandbreakfastlarosada.it,42.357869,10.921581,0564 809079
1086,053012ALB0011,Alberghi - Hotel,Da Ruggero,"Via Del Saraceno, 90 - - Giglio Porto",58013,Isola del Giglio,GR,2,info@daruggero.com,www.isoladelgiglio.biz,42.358505,10.923202,0564 809121
1085,053012ALB0010,Alberghi - Hotel,Bahamas,"Via Cardinale Oreglia, 22 - - Giglio Porto",58013,Isola del Giglio,GR,2,info@bahamashotel.it,www.hotelbahamas.net,42.358766,10.920631,0564 809254
