City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Achille,530.0,3.0,1.0,0.0,0.0,2.0,15.0,5.0,9.0,1.0,0.0
Ada,15901.0,137.0,1.0,16.0,7.0,113.0,1011.0,195.0,757.0,59.0,3.0
Altus,19284.0,45.0,0.0,0.0,16.0,29.0,794.0,225.0,547.0,22.0,2.0
Alva,4747.0,10.0,0.0,0.0,0.0,10.0,144.0,20.0,117.0,7.0,0.0
Anadarko,6519.0,47.0,0.0,1.0,4.0,42.0,409.0,125.0,266.0,18.0,20.0
Antlers,2481.0,36.0,0.0,3.0,1.0,32.0,74.0,15.0,55.0,4.0,2.0
Apache,1583.0,9.0,0.0,1.0,0.0,8.0,47.0,20.0,25.0,2.0,0.0
Ardmore,24663.0,241.0,3.0,17.0,25.0,196.0,1276.0,341.0,860.0,75.0,2.0
Arkoma,2205.0,1.0,0.0,1.0,0.0,0.0,21.0,9.0,11.0,1.0,0.0
Atoka,3044.0,7.0,0.0,3.0,0.0,4.0,118.0,37.0,75.0,6.0,1.0
Bartlesville,34902.0,114.0,0.0,15.0,18.0,81.0,1333.0,255.0,993.0,85.0,14.0
Beaver,1378.0,1.0,0.0,0.0,0.0,1.0,18.0,9.0,9.0,0.0,0.0
Beggs,1374.0,2.0,0.0,0.0,0.0,2.0,22.0,9.0,10.0,3.0,0.0
Bethany,19456.0,70.0,2.0,13.0,16.0,39.0,724.0,212.0,421.0,91.0,5.0
Bixby,20303.0,20.0,0.0,4.0,2.0,14.0,276.0,74.0,184.0,18.0,3.0
Blackwell,7134.0,19.0,0.0,3.0,2.0,14.0,153.0,52.0,92.0,9.0,3.0
Blanchard,6351.0,2.0,0.0,2.0,0.0,0.0,108.0,26.0,64.0,18.0,1.0
Boise City,1284.0,1.0,0.0,0.0,0.0,1.0,14.0,7.0,6.0,1.0,0.0
Boley,1086.0,2.0,0.0,1.0,0.0,1.0,9.0,6.0,3.0,0.0,2.0
Bristow,4402.0,14.0,0.0,1.0,3.0,10.0,212.0,46.0,148.0,18.0,2.0
Broken Arrow,89463.0,187.0,1.0,24.0,27.0,135.0,1961.0,426.0,1397.0,138.0,26.0
Broken Bow,4217.0,25.0,1.0,3.0,1.0,20.0,253.0,105.0,118.0,30.0,0.0
Caddo,982.0,5.0,0.0,0.0,1.0,4.0,21.0,10.0,11.0,0.0,1.0
Calera,1817.0,3.0,0.0,0.0,1.0,2.0,46.0,16.0,29.0,1.0,0.0
Carnegie,1589.0,9.0,0.0,0.0,0.0,9.0,31.0,18.0,11.0,2.0,0.0
Catoosa,6789.0,39.0,2.0,2.0,6.0,29.0,149.0,38.0,84.0,27.0,3.0
Chandler,2876.0,8.0,0.0,3.0,1.0,4.0,99.0,37.0,55.0,7.0,0.0
Checotah,3520.0,6.0,0.0,0.0,0.0,6.0,134.0,17.0,110.0,7.0,1.0
Chelsea,2269.0,1.0,0.0,0.0,0.0,1.0,31.0,14.0,13.0,4.0,0.0
Cherokee,1445.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0
Chickasha,17346.0,120.0,0.0,6.0,10.0,104.0,779.0,217.0,507.0,55.0,7.0
Choctaw2,11009.0,,0.0,1.0,2.0,,230.0,51.0,162.0,17.0,4.0
Chouteau,2016.0,7.0,0.0,0.0,1.0,6.0,63.0,22.0,39.0,2.0,1.0
Claremore,17519.0,53.0,1.0,14.0,3.0,35.0,516.0,122.0,365.0,29.0,0.0
Clayton,722.0,14.0,0.0,0.0,0.0,14.0,10.0,6.0,4.0,0.0,0.0
Cleveland,3230.0,17.0,0.0,2.0,1.0,14.0,116.0,29.0,78.0,9.0,0.0
Clinton,8395.0,32.0,1.0,1.0,4.0,26.0,207.0,30.0,160.0,17.0,2.0
Coalgate,1836.0,2.0,0.0,1.0,0.0,1.0,18.0,9.0,6.0,3.0,0.0
Colbert,1115.0,4.0,0.0,1.0,0.0,3.0,21.0,12.0,9.0,0.0,0.0
Collinsville,4559.0,12.0,0.0,4.0,2.0,6.0,82.0,29.0,47.0,6.0,0.0
Comanche,1525.0,4.0,0.0,1.0,0.0,3.0,65.0,21.0,42.0,2.0,1.0
Cordell,2910.0,9.0,0.0,0.0,0.0,9.0,27.0,1.0,26.0,0.0,0.0
Coweta,8847.0,21.0,1.0,5.0,1.0,14.0,168.0,44.0,107.0,17.0,0.0
Crescent,1356.0,4.0,0.0,0.0,0.0,4.0,13.0,2.0,8.0,3.0,0.0
Cushing,8479.0,27.0,1.0,6.0,0.0,20.0,198.0,40.0,134.0,24.0,1.0
Davenport,893.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0
Davis,2671.0,1.0,0.0,0.0,0.0,1.0,62.0,14.0,44.0,4.0,3.0
Del City,21872.0,115.0,2.0,15.0,35.0,63.0,1213.0,401.0,713.0,99.0,16.0
Dewey,3281.0,6.0,0.0,1.0,1.0,4.0,143.0,34.0,108.0,1.0,0.0
Drumright,2890.0,1.0,0.0,0.0,0.0,1.0,50.0,9.0,37.0,4.0,0.0
Duncan,22486.0,50.0,0.0,8.0,10.0,32.0,923.0,178.0,702.0,43.0,3.0
Durant,15177.0,54.0,2.0,13.0,4.0,35.0,891.0,203.0,617.0,71.0,5.0
Edmond,77879.0,92.0,2.0,21.0,31.0,38.0,1845.0,387.0,1377.0,81.0,8.0
Elk City,11079.0,18.0,0.0,1.0,2.0,15.0,245.0,40.0,192.0,13.0,0.0
El Reno,16221.0,68.0,2.0,4.0,7.0,55.0,568.0,158.0,381.0,29.0,7.0
Enid,46454.0,155.0,3.0,22.0,22.0,108.0,1990.0,465.0,1452.0,73.0,2.0
Eufaula,2797.0,8.0,1.0,1.0,1.0,5.0,141.0,40.0,92.0,9.0,0.0
Fairfax2,1486.0,,0.0,0.0,0.0,,59.0,38.0,15.0,6.0,0.0
Fairview,2592.0,4.0,0.0,1.0,0.0,3.0,69.0,19.0,49.0,1.0,0.0
Fort Gibson,4328.0,2.0,0.0,2.0,0.0,0.0,48.0,11.0,35.0,2.0,0.0
Frederick,4113.0,17.0,0.0,1.0,3.0,13.0,134.0,43.0,84.0,7.0,6.0
Geary,1239.0,7.0,0.0,1.0,0.0,6.0,42.0,13.0,28.0,1.0,0.0
