Offense charged,Arrests 18 and over Total,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander,Percent distribution1 Total,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander,,
Murder and nonnegligent manslaughter,1797.0,1145.0,634.0,6.0,12.0,100.0,63.7,35.3,0.3,0.7,,
Forcible rape,2526.0,1923.0,555.0,28.0,20.0,100.0,76.1,22.0,1.1,0.8,,
Robbery,8650.0,4433.0,4140.0,42.0,35.0,100.0,51.2,47.9,0.5,0.4,,
Aggravated assault,49399.0,37224.0,11446.0,397.0,332.0,100.0,75.4,23.2,0.8,0.7,,
Burglary,29372.0,23149.0,5979.0,128.0,116.0,100.0,78.8,20.4,0.4,0.4,,
Larceny-theft,80980.0,57822.0,21961.0,513.0,684.0,100.0,71.4,27.1,0.6,0.8,,
Motor vehicle theft,11010.0,8605.0,2280.0,73.0,52.0,100.0,78.2,20.7,0.7,0.5,,
Arson,1273.0,1027.0,228.0,12.0,6.0,100.0,80.7,17.9,0.9,0.5,,
Violent crime2,62372.0,44725.0,16775.0,473.0,399.0,100.0,71.7,26.9,0.8,0.6,,
Property crime2,122635.0,90603.0,30448.0,726.0,858.0,100.0,73.9,24.8,0.6,0.7,,
Other assaults,129629.0,99639.0,28517.0,728.0,745.0,100.0,76.9,22.0,0.6,0.6,,
Forgery and counterfeiting,12705.0,9241.0,3314.0,45.0,105.0,100.0,72.7,26.1,0.4,0.8,,
Fraud,50754.0,35582.0,14778.0,205.0,189.0,100.0,70.1,29.1,0.4,0.4,,
Embezzlement,2446.0,1509.0,912.0,7.0,18.0,100.0,61.7,37.3,0.3,0.7,,
"Stolen property; buying, receiving, possessing",13604.0,9957.0,3478.0,93.0,76.0,100.0,73.2,25.6,0.7,0.6,,
Vandalism,19267.0,15772.0,3233.0,152.0,110.0,100.0,81.9,16.8,0.8,0.6,,
"Weapons; carrying, possessing, etc.",16068.0,10734.0,5157.0,93.0,84.0,100.0,66.8,32.1,0.6,0.5,,
Prostitution and commercialized vice,2419.0,1549.0,717.0,8.0,145.0,100.0,64.0,29.6,0.3,6.0,,
Sex offenses (except forcible rape and prostitution),9713.0,7969.0,1598.0,57.0,89.0,100.0,82.0,16.5,0.6,0.9,,
Drug abuse violations,200956.0,146831.0,52122.0,1033.0,970.0,100.0,73.1,25.9,0.5,0.5,,
Gambling,565.0,407.0,145.0,3.0,10.0,100.0,72.0,25.7,0.5,1.8,,
Offenses against the family and children,34485.0,21707.0,12509.0,141.0,128.0,100.0,62.9,36.3,0.4,0.4,,
Driving under the influence,238353.0,213428.0,21956.0,1274.0,1695.0,100.0,89.5,9.2,0.5,0.7,,
Liquor laws,40274.0,35804.0,3607.0,503.0,360.0,100.0,88.9,9.0,1.2,0.9,,
Drunkenness,38885.0,35392.0,2857.0,470.0,166.0,100.0,91.0,7.3,1.2,0.4,,
Disorderly conduct,34205.0,26156.0,7679.0,250.0,120.0,100.0,76.5,22.4,0.7,0.4,,
Vagrancy,2147.0,1464.0,677.0,3.0,3.0,100.0,68.2,31.5,0.1,0.1,,
All other offenses (except traffic),518884.0,377166.0,135297.0,3744.0,2677.0,100.0,72.7,26.1,0.7,0.5,,
Suspicion,554.0,266.0,284.0,0.0,4.0,100.0,48.0,51.3,0.0,0.7,,
Curfew and loitering law violations,-,-,-,-,-,-,-,-,-,-,,
Runaways,-,-,-,-,-,-,-,-,-,-,,
