,Futures Commission Merchant / Retail Foreign Exchange Dealer,Reg As   (a),DSRO   (b),A/O Date,Adjusted Net Capital,Net Capital Requirement  (c),Excess Net Capital  (d),Customers' Seg Required 4d(a)(2) (e),Customer Amount Pt. 30 Required (f),Total Amount of Retail Forex Obligation (g)
1.0,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2010-12-31 00:00:00,223334513,95664932,127669581,1494689483,276743797,0
2.0,ADM INVESTOR SERVICES INC,FCM,CBOT,2010-12-31 00:00:00,292004689,164552915,127451774,2498246016,50828936,3221453
3.0,ADVANCED MARKETS LLC,RFED,NFA,2010-12-31 00:00:00,20219163,20000000,219163,0,0,1536882
4.0,ADVANTAGE FUTURES LLC,FCM,CME,2010-12-31 00:00:00,21341943,11438349,9903594,362516782,40559039,0
5.0,ALLIANZ GLOBAL INVESTORS DISTRIBUTORS LLC,FCM BD,NFA,2010-12-31 00:00:00,74553831,11501943,63051888,0,0,0
6.0,ALPARI (US) LLC,RFED,NFA,2010-12-31 00:00:00,21821249,20000000,1821249,0,0,5432547
7.0,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2010-12-31 00:00:00,119013207,1000000,118013207,0,0,0
8.0,AMP GLOBAL CLEARING LLC,FCM,NFA,2010-12-31 00:00:00,1380472,1000000,380472,22440576,88950,0
9.0,BARCLAYS CAPITAL INC,FCM BD,NYME,2010-12-31 00:00:00,6072239569,689934711,5382304858,4983085169,1951833130,0
10.0,BGC FINANCIAL LP,FCM BD,NFA,2010-12-31 00:00:00,45496814,1000000,44496814,0,0,0
11.0,BNP PARIBAS COMMODITY FUTURES INC,FCM,NYME,2010-12-31 00:00:00,376556237,210752076,165804161,1282006200,402961246,0
12.0,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2010-12-31 00:00:00,1743573534,71087486,1672486048,439882745,0,0
13.0,BNY MELLON CLEARING LLC,FCM,CME,2010-12-31 00:00:00,77850302,4820037,73030265,673096,0,0
14.0,CANTOR FITZGERALD & CO,FCM BD,CBOT,2010-12-31 00:00:00,164750275,12449134,152301141,10836575,0,0
15.0,CAPITAL MARKET SERVICES LLC,RFED,NFA,2010-12-31 00:00:00,3048589,1000000,2048589,0,0,0
16.0,CIBC WORLD MARKETS CORP,FCM BD,CME,2010-12-31 00:00:00,491108043,1500000,489608043,0,0,0
17.0,CITADEL SECURITIES LLC,FCM BD,CME,2010-12-31 00:00:00,414093015,1000000,413093015,0,0,0
18.0,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2010-12-31 00:00:00,8902804356,684878661,8217925695,10307993493,1404747746,0
19.0,COMMONWEALTH FOREIGN EXCHANGE INC,FCM,NFA,2010-12-31 00:00:00,1565758,1000000,565758,0,0,0
20.0,COMPASS PROFESSIONAL SERVICES LLC,FCM BD,NFA,2010-12-31 00:00:00,3328963,1000000,2328963,0,0,0
21.0,COUNTRY HEDGING INC,FCM,NFA,2010-12-31 00:00:00,26867889,19616150,7251739,169675927,44432,0
22.0,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2010-12-31 00:00:00,8105024274,914725872,7190298402,5155653820,1398331513,0
23.0,CROSSLAND LLC,FCM,CBOT,2010-12-31 00:00:00,10705254,5735480,4969774,73362485,46119763,0
24.0,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2010-12-31 00:00:00,3166630,1000000,2166630,46983081,59143,0
25.0,CX CAPITAL MARKETS LLC,FCM,NFA,2010-12-31 00:00:00,2324913,1000000,1324913,23552383,0,0
26.0,DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2010-12-31 00:00:00,337602216,1158861,336443355,8232249,40979,0
27.0,DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2010-12-31 00:00:00,6131422510,571734615,5559687895,13677764613,1232840312,0
28.0,DORMAN TRADING LLC,FCM,CME,2010-12-31 00:00:00,7649889,1000000,6649889,106537087,1392282,0
29.0,EAGLE MARKET MAKERS INC,FCM,CBOT,2010-12-31 00:00:00,6392485,1000000,5392485,5778594,0,0
30.0,EASY FOREX US LTD,FCM,NFA,2010-12-31 00:00:00,2029017,1000000,1029017,0,0,0
31.0,ELECTRONIC BROKERAGE SYSTEMS LLC,FCM BD,NFA,2010-12-31 00:00:00,7853150,1000000,6853150,0,0,0
32.0,ENSKILDA FUTURES LTD,FCM,CME,2010-12-31 00:00:00,28885080,18436093,10448987,302692406,0,0
33.0,FARR FINANCIAL INC,FCM,NFA,2010-12-31 00:00:00,1814592,1000000,814592,42996376,113089,0
34.0,FCSTONE LLC,FCM,CME,2010-12-31 00:00:00,92452940,75460512,16992428,1025416482,11187781,16170712
35.0,FOREX CAPITAL MARKETS LLC,RFED,NFA,2010-12-31 00:00:00,87549746,26500998,61048748,0,0,140019969
36.0,FOREX CLUB FINANCIAL COMPANY INC,RFED,NFA,2010-12-31 00:00:00,20631753,20000000,631753,0,0,2469949
37.0,FRIEDBERG MERCANTILE GROUP INC,FCM,NFA,2010-12-31 00:00:00,3411418,1000000,2411418,9076245,376184,0
38.0,FRONTIER FUTURES INC,FCM,NFA,2010-12-31 00:00:00,1803161,1444179,358982,30790558,0,0
39.0,FUTURES TECH LLC,FCM,NFA,2010-12-31 00:00:00,1598972,1000000,598972,0,0,0
40.0,FX SOLUTIONS LLC,RFED,NFA,2010-12-31 00:00:00,38692609,20616699,18075910,0,0,22333976
41.0,FXDIRECTDEALER LLC,RFED,NFA,2010-12-31 00:00:00,24292230,21526800,2765430,0,0,40535996
42.0,GAIN CAPITAL GROUP LLC,RFED,NFA,2010-12-31 00:00:00,75975719,26408104,49567615,0,0,138162077
43.0,GLOBAL FUTURES & FOREX LTD,RFED,NFA,2010-12-31 00:00:00,70448625,24097848,46350777,439224,190557,91956970
44.0,GOLDMAN SACHS & CO,FCM BD,CBOT,2010-12-31 00:00:00,11144351902,1934352725,9209999177,19901570542,6587231873,0
45.0,GOLDMAN SACHS EXECUTION & CLEARING LP,FCM BD,CME,2010-12-31 00:00:00,1960801715,132932757,1827868958,1167454504,36979688,0
46.0,HSBC SECURITIES USA INC,FCM BD,CME,2010-12-31 00:00:00,1086263365,101082797,985180568,848031272,91787656,0
47.0,ICAP FUTURES LLC,FCM,NFA,2010-12-31 00:00:00,8280693,1000000,7280693,0,0,0
48.0,IG MARKETS INC,FCM,NFA,2010-12-31 00:00:00,29049601,20000000,9049601,113563,0,1292673
49.0,IKON GLOBAL MARKETS INC,FCM,NFA,2010-12-31 00:00:00,15655916,1000000,14655916,17040101,108434,0
50.0,INSTINET LLC,FCM BD,NFA,2010-12-31 00:00:00,120846803,1000000,119846803,0,0,0
51.0,INSTITUTIONAL LIQUIDITY LLC,FCM,NFA,2010-12-31 00:00:00,21146263,20000000,1146263,0,0,0
52.0,INTEGRATED BROKERAGE SERVICES LLC,FCM,NFA,2010-12-31 00:00:00,1778660,1000000,778660,0,0,0
53.0,INTERACTIVE BROKERS LLC,FCM BD,NFA,2010-12-31 00:00:00,1154986340,161767638,993218702,600801346,176713967,0
54.0,INTERBANK FX LLC,RFED,NFA,2010-12-31 00:00:00,25794840,21110769,4684071,0,0,32215388
55.0,IRONBEAM INC,FCM,NFA,2010-12-31 00:00:00,1828699,1000000,828699,0,0,0
56.0,ITG DERIVATIVES LLC,FCM BD,NFA,2010-12-31 00:00:00,5690907,1000000,4690907,0,0,0
57.0,JP MORGAN CLEARING CORP,FCM BD,CME,2010-12-31 00:00:00,5720845541,1814270694,3906574847,529511949,250807563,0
58.0,JP MORGAN FUTURES INC,FCM,NYME,2010-12-31 00:00:00,2346186811,1295860102,1050326709,15975573189,1899997154,0
59.0,JP MORGAN SECURITIES LLC,FCM BD,NFA,2010-12-31 00:00:00,6857016996,545747951,6311269045,0,0,0
60.0,LEK SECURITIES CORPORATION,FCM BD,NFA,2010-12-31 00:00:00,10821069,1500000,9321069,250218,0,0
61.0,LIMESTONE TRADING LLC,FCM,NFA,2010-12-31 00:00:00,9563098,1000000,8563098,0,0,0
62.0,LINN GROUP THE,FCM,NFA,2010-12-31 00:00:00,2444365,1108880,1335485,35302187,188420,0
63.0,LPL FINANCIAL CORPORATION,FCM BD,NFA,2010-12-31 00:00:00,95362174,5530100,89832074,0,0,0
64.0,MACQUARIE FUTURES USA INC,FCM,CBOT,2010-12-31 00:00:00,124499519,59258146,65241373,774118055,21456352,0
65.0,MAREX NORTH AMERICA LLC,FCM,NFA,2010-12-31 00:00:00,11776056,1000000,10776056,33955336,0,0
66.0,MAREX USA LIMITED,FCM,NFA,2010-12-31 00:00:00,2748527,1000000,1748527,0,0,0
67.0,MB TRADING FUTURES INC,RFED,NFA,2010-12-31 00:00:00,22031406,21234588,796818,0,0,34691760
68.0,MBF CLEARING CORP,FCM,NYME,2010-12-31 00:00:00,10384620,1236711,9147909,81564454,487669,0
69.0,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2010-12-31 00:00:00,9149094,4588259,4560835,739820028,0,0
70.0,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2010-12-31 00:00:00,9843107283,735931408,9107175875,8804316798,1990808679,0
71.0,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2010-12-31 00:00:00,2335172066,187563930,2147608136,645131704,41132570,0
72.0,MF GLOBAL INC,FCM BD,CME,2010-12-31 00:00:00,566914106,410800746,156113360,8333979852,649799785,0
73.0,MID CO COMMODITIES INC,FCM,NFA,2010-12-31 00:00:00,14537713,8909553,5628160,46902983,0,0
74.0,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2010-12-31 00:00:00,109754768,1143993,108610775,0,0,0
75.0,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2010-12-31 00:00:00,2529663,1000000,1529663,0,0,0
76.0,MIZUHO SECURITIES USA INC,FCM BD,CME,2010-12-31 00:00:00,444331218,67083069,377248149,762958673,417967875,0
77.0,MORGAN KEEGAN & COMPANY INC,FCM BD,NFA,2010-12-31 00:00:00,459596890,8955849,450641041,0,0,0
78.0,MORGAN STANLEY & CO INCORPORATED,FCM BD,CME,2010-12-31 00:00:00,7462511520,1107649084,6354862436,4664327531,1648470790,0
79.0,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2010-12-31 00:00:00,1022715233,47978013,974737220,634255216,1457362880,0
80.0,NATIXIS SECURITIES NORTH AMERICA INC,FCM BD,NFA,2010-12-31 00:00:00,222507516,1000000,221507516,0,0,0
81.0,NEUBERGER BERMAN LLC,FCM BD,NFA,2010-12-31 00:00:00,124128778,1500000,122628778,0,0,0
82.0,NEWEDGE USA LLC,FCM BD,NYME,2010-12-31 00:00:00,2232382565,1373751236,858631329,21003318136,6950962489,0
83.0,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2010-12-31 00:00:00,2055038405,23831402,2031207003,75875406,720341,0
84.0,OANDA CORPORATION,RFED,NFA,2010-12-31 00:00:00,168140077,27912354,140227723,0,0,168247089
85.0,OPEN E CRY LLC,FCM,NFA,2010-12-31 00:00:00,2688424,1000000,1688424,84586957,1115234,0
86.0,OPPENHEIMER & CO INC,FCM BD,NFA,2010-12-31 00:00:00,170758265,24429796,146328469,22961116,0,0
87.0,OPTIONSXPRESS INC,FCM BD,NFA,2010-12-31 00:00:00,81791630,11237909,70553721,94699695,1715942,0
88.0,PENSON FUTURES,FCM,CBOT,2010-12-31 00:00:00,32094395,27928283,4166112,749075970,31923105,0
89.0,PEREGRINE FINANCIAL GROUP INC,FCM,NFA,2010-12-31 00:00:00,35873805,21506327,14367478,508025377,27652929,40126533
90.0,PIONEER FUTURES INC,FCM,NFA,2010-12-31 00:00:00,2061117,1000000,1061117,0,0,0
91.0,PRUDENTIAL BACHE COMMODITIES LLC,FCM,CBOT,2010-12-31 00:00:00,229543000,197356400,32186600,2938779000,319172000,1301000
92.0,RAND FINANCIAL SERVICES INC,FCM,CME,2010-12-31 00:00:00,71461732,18575239,52886493,268538400,21399600,0
93.0,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2010-12-31 00:00:00,361814300,28949972,332864328,0,0,0
94.0,RBC CAPITAL MARKETS LLC,FCM BD,CME,2010-12-31 00:00:00,1156477701,106362199,1050115502,279592880,25159846,0
95.0,RBS SECURITIES INC,FCM BD,CBOT,2010-12-31 00:00:00,1441720000,181796000,1259924000,1711672000,86382000,0
96.0,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2010-12-31 00:00:00,142324061,111139781,31184280,2276839623,54740239,2845378
97.0,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2010-12-31 00:00:00,81299258,50493302,30805956,1499479782,37305981,0
98.0,ROSENTHAL GLOBAL SECURITIES LLC,FCM BD,NFA,2010-12-31 00:00:00,33223397,1000000,32223397,0,0,0
