,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,1.0,Alpena Community College,,,Alpena,,MI,,,Associate of Arts Colleges,,,Associate's Colleges,,,168607.0,,,2237.0,,,www.alpenacc.edu
,2.0,Beaufort County Community College,,,Washington,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,197966.0,,,8558.0,,,www.beaufort.cc.nc.us
,3.0,College of the Albemarle,,,Elizabeth City,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,197814.0,,,2917.0,,,www.albemarle.edu
,4.0,Dabney S. Lancaster Community College,,,Clifton Forge,,VA,,,Associate of Arts Colleges,,,Associate's Colleges,,,231873.0,,,4996.0,,,www.dl.cc.va.us
,5.0,Glen Oaks Community College,,,Centreville,,MI,,,Associate of Arts Colleges,,,Associate's Colleges,,,169974.0,,,2263.0,,,www.glenoaks.cc.mi.us
,6.0,"Kent State University, Tuscarawas Campus",,,New Philadelphia,,OH,,,Associate of Arts Colleges,,,Associate's Colleges,,,203483.0,,,3062.0,,,www.tusc.kent.edu
,7.0,Kirtland Community College,,,Roscommon,,MI,,,Associate of Arts Colleges,,,Associate's Colleges,,,170587.0,,,7171.0,,,www.kirtland.cc.mi.us
,8.0,Mitchell Community College,,,Statesville,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198987.0,,,2947.0,,,www.mitchell.cc.nc.us
,9.0,North Arkansas College 2/,,,Harrison,,AR,,,Associate of Arts Colleges,,,Associate's Colleges,,,107460.0,,,12261.0,,,www.northark.cc.ar.us
,10.0,Northern New Mexico Community College,,,Espanola,,NM,,,Associate of Arts Colleges,,,Associate's Colleges,,,188058.0,,,20839.0,,,www.nnmcc.edu
,11.0,Northern Wyoming Community College District (Sheridan College),,,Sheridan,,WY,,,Associate of Arts Colleges,,,Associate's Colleges,,,240666.0,,,3930.0,,,www.sheridan.edu
,12.0,Salem Community College,,,Carneys Point,,NJ,,,Associate of Arts Colleges,,,Associate's Colleges,,,186469.0,,,5461.0,,,www.salemcc.edu
,13.0,Shawnee Community College,,,Ullin,,IL,,,Associate of Arts Colleges,,,Associate's Colleges,,,148821.0,,,7693.0,,,www.shawneecc.edu
,14.0,Southwestern Community College,,,Creston,,IA,,,Associate of Arts Colleges,,,Associate's Colleges,,,154396.0,,,1857.0,,,www.swcc.cc.ia.us
,15.0,Western Nebraska Community College,,,Scottsbluff,,NE,,,Associate of Arts Colleges,,,Associate's Colleges,,,181817.0,,,2560.0,,,www.wncc.net
,16.0,Wilkes Community College,,,Wilkesboro,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,199926.0,,,2983.0,,,www.wilkescc.edu
,,"University of Hawai‘i, Kaua‘i Community College",,,Lihu‘e,,HI,,,Associate of Arts Colleges,,,Associate's Colleges,,,141802.0,,,1614.0,,,www.kauai.hawaii.edu
