Start Date,End Date,Meeting Name,HQ Hotel,Venues,Attendees
41927.0,41932.0,Rich Dad Education - Elite Training Super Symposium 2014,Riviera Hotel & Casino,Riviera Hotel & Casino,500.0
41928.0,41936.0,2014 National Commission on Correctional Health Care (NCCHC) Fall Convention,Paris Las Vegas,Paris Las Vegas,1500.0
41929.0,41932.0,Show Your Scars Tour Reunion,Westgate Las Vegas Resort & Casino,Westgate Las Vegas Resort & Casino,100.0
41930.0,41935.0,American Society of Mechanical Engineers - Reinforced Thermoset Plastic Corrosion Resistant Equipment Main Committee,The Platinum Hotel,The Platinum Hotel,70.0
41930.0,41938.0,National Adult Baseball Association - Over 50/60 National Fun Tournament,Palace Station Hotel Casino,Palace Station Hotel Casino,150.0
41930.0,41938.0,Western CPE Continuing Education,Tropicana Las Vegas,Tropicana Las Vegas,165.0
41931.0,41937.0,SANS Institute - Network Security 2014,Caesars Palace,Caesars Palace,1500.0
41931.0,41943.0,"Falmouth Institute, Inc. - October 2014 VEGAS",Hampton Inn Tropicana,Hampton Inn Tropicana,300.0
41931.0,41933.0,Latino Club Leisure Group,Edgewater Casino Resort,Edgewater Casino Resort,56.0
41931.0,41933.0,Basware Inc. - Experience User Forum 2014,The Mirage Hotel & Casino,The Mirage Hotel & Casino,75.0
41932.0,41933.0,US Environmental Protection Agency - American Society of Testing and Materials(ASTM) Standards Committee Meeting 2014,Westgate Las Vegas Resort & Casino,Westgate Las Vegas Resort & Casino,45.0
41932.0,41932.0,Nevada Future Business Leaders Fall Leadership Extravaganza,Cashman Center,Cashman Center,650.0
41932.0,41934.0,"Falmouth Institute, Inc. - Combatting Professional Excellence I for Tribal Secretaries  and Administrative Assistants:Building the Foundation",Hampton Inn Tropicana,Hampton Inn Tropicana,15.0
41932.0,41934.0,Asis Annual Seminar And Exhibits - Video Surveillance: Applications & Advances,"The Westin Las Vegas Hotel, Casino & Spa","The Westin Las Vegas Hotel, Casino & Spa",70.0
41932.0,41934.0,Technology Services World Conference,ARIA Resort & Casino,ARIA Resort & Casino,1000.0
41933.0,41935.0,Solar Energy Trade Show 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,15000.0
41933.0,41935.0,Corporate Executive Board - Sales and Marketing Summit 2014,ARIA Resort & Casino,ARIA Resort & Casino,900.0
41933.0,41934.0,"Falmouth Institute, Inc. - Managing the Federally Funded Construction Project Under Grants, Contracts and Self-Determination Awards",Hampton Inn Tropicana,Hampton Inn Tropicana,15.0
