36837.0,"Rubens, r","Below, d",Scatter,,
Alexandria,388.0,212.0,,,
Andover,512.0,520.0,,,
Canaan,737.0,627.0,,,
Danbury,295.0,209.0,,,
Enfield,984.0,954.0,1.0,,
Grafton,300.0,223.0,1.0,,
Grantham,752.0,663.0,,,
Hanover,1652.0,3172.0,,,
Hill,258.0,158.0,,,
Lebanon Ward 1,827.0,1065.0,2.0,,
Lebanon Ward 2,829.0,988.0,,,
Lebanon Ward 3,817.0,895.0,1.0,,
New London,1435.0,1048.0,,,
Newbury,568.0,420.0,,,
Orange,72.0,68.0,,,
Plainfield,497.0,683.0,,,
Springfield,314.0,216.0,,,
Sutton,473.0,438.0,,,
Wilmot,301.0,318.0,1.0,,
