col_0,col_1,col_2
Owner Name,,Reliant - Houston Light and Power
Station Name,,South Texas Project Electric Generating Station
Unit Name,,South Texas 01
NERC Region,,ERCOT
State,,TX
Fuel Type,,Nuclear
Capacity,,"1,354 MW"
Start Date,,2001-10-02 00:00:00
End Date,,2001-10-24 00:00:00
Prv. Start Date,,2001-10-02 00:00:00
Prv. End Date,,2001-10-26 00:00:00
Comments,,The unit came back on line yesterday and they hope to be at 100% by Saturday.
SIC,,4911
Plant ID,,1000057
Unit ID,,1004002
Outage ID,,6419
