,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,TOTAL
ADEN,28034.1,0,0,0,0,0,0,0,0,0,0,0,28034.1
CHIPPAWA,92209.4,0,0,0,0,0,0,0,0,0,0,0,92209.4
CORNWALL,22700.08,0,0,0,0,0,0,0,0,0,0,0,22700.08
EAST HEREFORD,61326.6,0,0,0,0,0,0,0,0,0,0,0,61326.6
ELMORE (ALLIANCE),522825.5,0,0,0,0,0,0,0,0,0,0,0,522825.5
EMERSON,1070188.3,0,0,0,0,0,0,0,0,0,0,0,1070188.3
HIGHWATER,105914.8,0,0,0,0,0,0,0,0,0,0,0,105914.8
HUNTINGDON,808702.99,0,0,0,0,0,0,0,0,0,0,0,808702.99
IROQUOIS,988176.9,0,0,0,0,0,0,0,0,0,0,0,988176.9
KINGSGATE,1965324.62,0,0,0,0,0,0,0,0,0,0,0,1965324.62
MONCHY,1793119.86,0,0,0,0,0,0,0,0,0,0,0,1793119.86
NAPIERVILLE,47938.2,0,0,0,0,0,0,0,0,0,0,0,47938.2
NIAGARA FALLS,1311431.608633,0,0,0,0,0,0,0,0,0,0,0,1311431.608633
NORTH PORTAL,839.99,0,0,0,0,0,0,0,0,0,0,0,839.99
PHILIPSBURG,20992.5,0,0,0,0,0,0,0,0,0,0,0,20992.5
REAGAN FIELD,305.4,0,0,0,0,0,0,0,0,0,0,0,305.4
SPRAGUE,15643.1,0,0,0,0,0,0,0,0,0,0,0,15643.1
ST CLAIR,22976.9,0,0,0,0,0,0,0,0,0,0,0,22976.9
ST STEPHEN (M&NE),330884.9,0,0,0,0,0,0,0,0,0,0,0,330884.9
