,,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Dry,,,569.0,543.0,611.0,507.0,547.0,563.0,579.0,572.0,532.0,529.0,540.0,541.0,523.0,482.0,570.0,483.0,545.0,411.0,384.0,349.0,346.0,271.0,241.0,186.0
Wet/Damp,,,364.0,378.0,364.0,430.0,359.0,421.0,350.0,345.0,376.0,414.0,421.0,418.0,378.0,369.0,290.0,313.0,271.0,223.0,199.0,204.0,123.0,111.0,112.0,113.0
Snow,,,4.0,2.0,10.0,1.0,7.0,2.0,11.0,16.0,3.0,6.0,9.0,3.0,5.0,0.0,3.0,4.0,2.0,1.0,2.0,6.0,3.0,5.0,2.0,0.0
Frost/Ice,,,14.0,7.0,10.0,19.0,25.0,16.0,12.0,16.0,6.0,12.0,10.0,6.0,7.0,8.0,18.0,15.0,10.0,5.0,4.0,12.0,8.0,16.0,6.0,10.0
Flood,,,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
Oil or Diesel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mud,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wet/Damp Accidents by Road Class,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorway,,,23.0,19.0,27.0,16.0,12.0,21.0,24.0,34.0,36.0,42.0,37.0,35.0,30.0,38.0,28.0,36.0,36.0,36.0,28.0,29.0,19.0,15.0,11.0,11.0
A (M),,,4.0,9.0,10.0,11.0,4.0,8.0,7.0,2.0,4.0,24.0,8.0,13.0,4.0,3.0,7.0,11.0,4.0,4.0,7.0,6.0,2.0,2.0,3.0,3.0
A,,,192.0,188.0,192.0,231.0,199.0,218.0,178.0,169.0,176.0,179.0,188.0,180.0,199.0,198.0,138.0,146.0,125.0,112.0,80.0,97.0,56.0,50.0,57.0,61.0
B,,,42.0,41.0,26.0,49.0,39.0,58.0,49.0,48.0,44.0,49.0,45.0,47.0,26.0,35.0,22.0,36.0,29.0,18.0,26.0,19.0,16.0,8.0,10.0,7.0
C,,,28.0,41.0,36.0,37.0,33.0,37.0,30.0,29.0,34.0,39.0,36.0,56.0,50.0,26.0,32.0,29.0,29.0,19.0,21.0,24.0,15.0,12.0,17.0,14.0
U,,,75.0,80.0,73.0,86.0,72.0,79.0,62.0,63.0,82.0,81.0,107.0,87.0,69.0,69.0,63.0,55.0,48.0,34.0,37.0,29.0,15.0,24.0,14.0,17.0
Motorway - Dark,,,8.0,8.0,13.0,16.0,8.0,14.0,14.0,13.0,11.0,32.0,24.0,23.0,15.0,19.0,21.0,24.0,19.0,32.0,21.0,22.0,21.0,16.0,13.0,13.0
