,,by Gender4 Male,Female,Uknown,,by Age4 18-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,100-110,Unknown,Total
2011,Q1,"16,652","28,116",611,,146,293,861,"2,456","7,373","13,399","17,444","3,347",41,19,"45,379"
,Q2,"13,423","22,650",469,,121,241,798,"1,974","5,834","10,687","14,038","2,796",45,8,"36,542"
,Q3,"18,193","30,827",613,,146,319,980,"2,756","8,295","14,387","18,908","3,782",49,11,"49,633"
,Q4,"16,928","27,909",644,,152,336,960,"2,697","7,814","13,169","16,702","3,580",59,12,"45,481"
2012,Q1,"18,894","31,239",702,,151,361,"1,049","2,922","8,697","15,023","18,776","3,780",63,13,"50,835"
,Q2,"18,735","31,244",691,,145,389,"1,158","2,709","8,869","14,638","18,749","3,960",50,3,"50,670"
,Q3,"22,950","37,609",851,,178,427,"1,180","3,386","10,546","18,241","22,677","4,707",53,15,"61,410"
,Q4,"23,234","37,481",791,,210,416,"1,255","3,660","10,899","18,184","22,241","4,576",58,7,"61,506"
2013,Q1,"21,122","33,346",804,,208,411,"1,125","3,312","10,072","16,300","19,741","4,040",55,8,"55,272"
,Q2,"26,829","43,111","1,017",,165,409,"1,397","4,238","12,851","20,866","25,431","5,522",67,11,"70,957"
,Q3,"25,877","41,795",930,,210,468,"1,411","3,970","12,423","20,678","24,277","5,091",70,4,"68,602"
,Q4,"23,376","37,654",834,,196,366,"1,264","3,650","11,355","18,503","21,730","4,721",68,11,"61,864"
2014,Q1,"21,732","34,118",852,,172,403,"1,115","3,414","10,797","16,925","19,657","4,153",59,7,"56,702"
,Q2,"27,038","42,354",922,,234,419,"1,457","4,315","13,267","21,189","23,940","5,373",97,23,"70,314"
,Q3,"44,782","68,966","1,625",,304,787,"2,459","7,257","22,560","35,228","38,422","8,224",115,17,"115,373"
,Q4,"40,668","62,914","1,640",,318,666,"2,052","7,027","21,044","32,339","34,347","7,283",122,24,"105,222"
2015,Q1,"38,870","59,012","1,403",,326,694,"2,115","6,793","20,334","30,006","31,993","6,897",102,25,"99,285"
,Q2,"46,352","70,821","1,613",,353,758,"2,409","8,035","24,738","37,661","37,199","7,503",97,33,"118,786"
,Q3,"43,748","66,578","1,445",,335,775,"2,392","7,872","23,137","35,298","34,950","6,865",78,69,"111,771"
