col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,2.0,941.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,1252.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,643.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,656.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,533.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,710.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,628.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,595.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,483.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,562.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,507.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,606.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,598.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,555.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,827.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,483.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,539.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,604.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,534.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,470.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,612.0,1.0,3.0,2.0,4.0,2.0,2.0
1,2.0,567.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,508.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,637.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,493.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,501.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,574.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,454.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,504.0,1.0,1.0,1.0,3.0,1.0,1.0
1,2.0,445.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,421.0,1.0,2.0,2.0,4.0,1.0,1.0
1,2.0,507.0,1.0,4.0,1.0,3.0,2.0,2.0
1,2.0,537.0,0.0,1.0,1.0,3.0,2.0,1.0
