Age group,Unit,Total,2007.0  Males,Females
Under 5 years,1000.0,20730.216,10606.164,10124.052
5 to 9 years,1000.0,19836.93,10142.052,9694.878
10 to 14 years,1000.0,20291.912,10388.301,9903.611
15 to 19 years,1000.0,21445.61,10990.585,10455.025
20 to 24 years,1000.0,20961.811,10809.578,10152.233
25 to 29 years,1000.0,20956.207,10718.697,10237.51
30 to 34 years,1000.0,19444.992,9859.688,9585.304
35 to 39 years,1000.0,21123.246,10626.443,10496.803
40 to 44 years,1000.0,21959.214,10950.322,11008.892
45 to 49 years,1000.0,22855.384,11299.78,11555.604
50 to 54 years,1000.0,21016.461,10293.519,10722.942
55 to 59 years,1000.0,18244.457,8851.435,9393.022
60 to 64 years,1000.0,14481.481,6930.68,7550.801
65 to 74 years,1000.0,19369.726,8896.236,10473.49
75 to 84 years,1000.0,13057.435,5327.982,7729.453
85 years and over,1000.0,5515.25,1774.899,3740.351
5 to 13 years,1000.0,35939.72,18383.054,17556.666
14 to 17 years,1000.0,17189.283,8806.198,8383.085
18 to 24 years,1000.0,29407.26,15141.264,14265.996
18 years and over,1000.0,227431.113,110670.945,116760.168
55 years and over,1000.0,70668.349,31781.232,38887.117
65 years and over,1000.0,37942.411,15999.117,21943.294
75 years and over,1000.0,18572.685,7102.881,11469.804
Median age (years),Years,36.7,35.3,37.9
