-    Industry  -,-  - 1997 NAICS BASIS --------------------- 1987 -,-  -  - 1988 -,-  -  - 1989 -,- CURRENT DOLLARS in millions - 1997 NAICS BASIS - 1990 -,-  -  - 1991 -,-  -  - 1992 -,-  -  - 1993 -,-  -  - 1994 -,- CURRENT DOLLARS in millions - 1997 NAICS BASIS - 1995 -,-  -  - 1996 -,-  -  - 1997 -,-  -  - 1998 -,-  -  - 1999 -,- CURRENT DOLLARS in millions - 1997 NAICS BASIS - 2000 -,-  -  - 2001 -,2002.0,2003.0,2004.0,2005.0,,- CHAINED (2000) DOLLARS in billions - 1997 NAICS BASIS - 1987 -,-  -  - 1988 -,-  -  - 1989 -,- CHAINED (2000) DOLLARS in billions - 1997 NAICS BASIS - 1990 -,-  -  - 1991 -,-  -  - 1992 -,-  -  - 1993 -,-  -  - 1994 -,- CHAINED (2000) DOLLARS in billions - 1997 NAICS BASIS - 1995 -,-  -  - 1996 -,-  -  - 1997 -,-  -  - 1998 -,-  -  - 1999 -,- CHAINED (2000) DOLLARS in billions - 1997 NAICS BASIS - 2000 -,-  -  - 2001 -,-  -  - 2002.0 -,-  -  - 2003.0 -,-  -  - 2004.0 -,-  -  - 2005.0 -
Industries covered,186747.0,192400.0,211668.0,223758.0,206883.0,213237.0,208991.0,226424.0,224212.0,254944.0,254870.0,229334.0,233326.0,274947.0,265578.0,252289.0,302981.0,362448.0,(NA),,237.10000000000002,241.1,242.2,245.10000000000002,249.60000000000002,258.4,256.0,280.5,256.7,259.0,274.79999999999995,268.0,275.0,274.90000000000003,255.5,255.2,259.09999999999997,267.9,(NA)
Percent of all industries,3.940249871768389,3.769747579739762,3.8594903936673632,3.8558576008169476,3.4503922412664463,3.3645568517756477,3.1392252268788736,3.20159497187943,3.0308543929491125,3.261462208236502,3.069117336448812,,,,,,,,,,3.6617195101233957,3.5757189256529287,3.469218208382273,3.4460456942003517,3.515245405253151,3.5220674426846217,3.398515804426036,3.5798608895411905,3.1960855111620203,3.109654336106809,3.1573504911817083,2.955806284397093,2.903815085055384,2.8002444738718553,2.5832347558817874,2.539606719210254,2.5105129546731773,2.490772334669059,(NA)
"Agriculture, forestry, and fishing",79796.0,80230.0,92790.0,96680.0,89173.0,99555.0,93081.0,105553.0,93072.0,113773.0,110737.0,102395.0,93779.0,98019.0,97895.0,95444.0,114217.0,141620.0,119066.0,,70.1,63.4,69.7,73.2,73.9,81.5,71.4,82.9,71.7,78.5,86.6,84.6,87.4,98.0,91.8,96.8,104.2,106.0,101.3
Farms,61576.0,61326.0,73584.0,76598.0,69859.0,78748.0,70593.0,81648.0,68542.0,90663.0,88142.0,78901.0,68774.0,71526.0,73134.0,70819.0,88003.0,112230.0,(NA),,45.5,40.9,46.4,49.3,50.0,57.5,50.6,60.9,49.6,56.1,64.4,61.6,62.9,71.5,65.6,70.1,76.0,75.9,(NA)
Agricultural services,18220.0,18903.0,19207.0,20082.0,19314.0,20807.0,22489.0,23905.0,24530.0,23110.0,22595.0,23494.0,25005.0,26494.0,24761.0,24625.0,26215.0,29390.0,(NA),,29.2,27.0,26.7,26.9,26.6,25.2,21.6,22.5,23.3,22.9,21.7,22.9,24.5,26.5,26.3,26.7,28.1,30.5,(NA)
Mining,71461.0,71450.0,76046.0,84873.0,76002.0,71284.0,72057.0,73637.0,74102.0,87541.0,92649.0,74785.0,85397.0,121334.0,118737.0,106534.0,142323.0,171884.0,213574.0,,111.2,121.3,117.8,116.7,118.5,116.1,117.7,127.8,128.2,119.9,124.3,123.4,126.6,121.3,114.9,107.6,106.0,108.4,105.6
Oil and gas extraction,41710.0,40397.0,44263.0,51777.0,43283.0,39892.0,40381.0,39312.0,39618.0,51624.0,52902.0,35173.0,47217.0,80990.0,72515.0,62753.0,93141.0,115197.0,(NA),,93.9,108.0,102.0,96.3,98.2,93.0,90.8,100.6,103.8,87.1,89.6,90.6,91.5,81.0,77.7,82.0,77.4,76.6,(NA)
"Mining, except oil and gas",22809.0,22287.0,23684.0,23727.0,22719.0,23523.0,22411.0,25132.0,25203.0,25724.0,26414.0,27031.0,27492.0,26992.0,27082.0,26834.0,27445.0,30553.0,(NA),,14.3,14.1,15.0,15.6,15.9,17.1,17.9,19.6,19.3,21.0,22.2,24.5,26.7,27.0,25.8,24.2,24.3,25.1,(NA)
Support activities for mining,6941.0,8766.0,8098.0,9370.0,10001.0,7869.0,9265.0,9193.0,9281.0,10194.0,13333.0,12581.0,10688.0,13353.0,19140.0,16946.0,21737.0,26134.0,(NA),,15.1,16.8,14.8,16.4,16.2,14.7,16.3,16.0,14.8,15.1,15.5,11.7,11.0,13.4,11.6,6.9,7.8,9.1,(NA)
Manufacturing,811345.0,876899.0,927297.0,947356.0,957517.0,996650.0,1039935.0,1118784.0,1177257.0,1209437.0,1279823.0,1343850.0,1373112.0,1426218.0,1341330.0,1352640.0,1369234.0,1420123.0,1496541.0,,866.4,915.8,927.5,917.0,904.4,934.3,973.5,1048.2,1095.6,1136.4,1205.4,1286.2,1342.1,1426.2,1346.9,1384.4,1410.4,1478.1,1536.6
Timber -related manufacturing,55648.0,61024.0,63951.0,62073.0,60611.0,62410.0,66333.0,72845.0,83873.0,80035.0,79432.0,81512.0,86080.0,87031.0,80259.0,80732.0,79422.0,88151.0,(NA),,89.9,91.19999999999999,89.4,89.4,88.80000000000001,89.5,92.7,97.3,87.19999999999999,90.4,93.2,89.9,91.4,87.0,79.69999999999999,81.1,80.3,85.9,(NA)
Wood products,20158.0,20304.0,21119.0,19868.0,18903.0,20012.0,22480.0,25611.0,26835.0,26405.0,27948.0,29358.0,31930.0,31437.0,31313.0,30421.0,32981.0,39207.0,(NA),,34.1,34.8,34.7,34.2,31.6,28.7,25.8,27.5,30.4,29.8,29.3,29.9,30.4,31.4,30.9,30.3,31.4,32.4,(NA)
Paper products,35490.0,40720.0,42832.0,42205.0,41708.0,42398.0,43853.0,47234.0,57038.0,53630.0,51484.0,52154.0,54150.0,55594.0,48946.0,50311.0,46441.0,48944.0,(NA),,55.8,56.4,54.7,55.2,57.2,60.8,66.9,69.8,56.8,60.6,63.9,60.0,61.0,55.6,48.8,50.8,48.9,53.5,(NA)
