Item,1990.0,1995.0,2000.0,2005.0,2006.0,2007.0,2008.0
"Offices, stations, and branches",40067.0,39149.0,38060.0,37142.0,36826.0,36721.0,36723.0
Number of post offices,28959.0,28392.0,27876.0,27385.0,27318.0,27276.0,27232.0
Number of stations and branches,11108.0,10757.0,10184.0,9757.0,9508.0,9445.0,9491.0
Delivery Points (millions),(NA),(NA),135.9,144.3,146.174,148.0,149.0
Residential,(NA),(NA),123.9,131.3,132.979,134.6,135.688
City,(NA),(NA),76.1,78.5,78.949,79.47,79.848
P.O.Box,(NA),(NA),15.9,15.6,15.616,15.635,15.639
Rural/highway contract,(NA),(NA),31.9,37.2,38.413,39.495,40.200783
Business,(NA),(NA),12.1,13.0,13.195,13.39,13.503899
Pieces of mail handled (millions),166301.0,180734.0,207882.0,211743.0,213137.7,212234.0,202702.9
Domestic,165503.0,179933.0,206782.0,210891.0,212344.80000000002,210604.1,201128.0
First class mail \1,89270.0,96296.0,103526.0,98071.0,97617.5,96297.3,91696.7
Priority mail \6,59.0,57.0,71.0,56.0,55.9,(\2),(\2)
Express mail \7,518.0,869.0,1223.0,888.0,924.2,(\2),(\2)
Periodicals (formerly 2d class),10680.0,10194.0,10365.0,9070.0,9022.6,8795.8,8605.2
Standard Mail (formerly Standard A),63725.0,71112.0,90057.0,100942.0,102459.6,103516.1,99084.2
Package Services (formerly Standard B),663.0,936.0,1128.0,1166.0,1174.6,914.5,846.2
U.S. Postal Service,538.0,412.0,363.0,621.0,1015.9,1008.4,823.7
Free for the blind,35.0,52.0,47.0,76.0,74.5,72.0,72.0
Shipping Services Volume \2,(X),(X),(X),(X),(X),1629.9,1574.9
International economy mail (surface),166.0,106.0,79.0,23.0,154.673,(\2),(\2)
International airmail,632.0,696.0,1021.0,829.0,637.9,(\2),(\2)
"Employees, total (1,000)",843.0,875.0,901.0,803.0,796.199,785.929,765.088
Career,761.0,753.0,788.0,705.0,696.138,684.762,663.238
Headquarters,2.0,2.0,2.0,3.0,2.761,2.856,2.892
Headquarters support,6.0,4.0,6.0,4.0,4.402,4.527,4.429
Inspection Service,4.0,4.0,4.0,3.0,3.13,2.991,2.89
Inspector General,(X),(X),1.0,1.0,1.071,1.147,1.159
Field Career,749.0,743.0,775.0,693.0,684.774,673.241,651.868
Postmasters,27.0,27.0,26.0,25.0,25.429,25.285,25.25
Supervisors/managers,43.0,35.0,39.0,33.0,33.201,32.635,31.787
"Professional, administrative,",,,,,,,
and technical,10.0,11.0,10.0,9.0,8.539,8.058,8.01
Clerks,290.0,274.0,282.0,222.0,213.92,204.145,194.773
Mail handlers,51.0,57.0,61.0,56.0,57.158,57.882,55.812
City carriers,236.0,240.0,241.0,228.0,224.4,222.132,211.661
Motor vehicle operators,7.0,8.0,9.0,9.0,8.715,8.726,8.558
Rural carriers,42.0,46.0,57.0,64.0,66.344,67.584,68.9
Special delivery messengers,2.0,2.0,(X),(X),(X),(X),(X)
Building and equipment maintenance,33.0,38.0,42.0,40.0,39.986,39.948,40.248
Vehicle maintenance,5.0,5.0,6.0,5.0,5.521,5.405,5.419
Other \3,1.0,2.0,2.0,2.0,2.0,1.4409999999999998,1.4500000000000002
Noncareer,83.0,122.0,114.0,98.0,100.061,101.167,101.85
Casuals,27.0,26.0,30.0,19.0,22.518,22.078,12.0
Transitionals,(X),32.0,13.0,8.0,5.133,5.232,18.332
Rural substitutes,43.0,50.0,58.0,57.0,59.087,60.444,58.072
Relief/Leave replacements,12.0,13.0,12.0,12.0,12.188,12.169,12.327
Nonbargaining temporary,(Z),1.0,1.0,1.0,1.135,1.244,1.119
Compensation and employee benefits (million dollars),34214.0,41931.0,49532.0,53932.0,56301.858,64270.0,60992.0
Avg. salary per employee (dollars) \4,37570.0,45001.0,50103.0,62635.0,64992.0,65905.0,67076.0
"Pieces of mail per employee, (1,000)",197.0,207.0,231.0,264.0,267.69400614670457,270.0422048302073,264.94063427997827
Total revenue (million dollars) \5,40074.0,54509.0,64540.0,69993.0,72817.0,74973.0,74968.0
Operating postal revenue,39201.0,54176.0,64476.0,69798.0,72551.0,74715.0,74829.0
Mail revenue,37892.0,52490.0,62284.0,66649.0,69144.0,71035.0,71261.0
First class mail,24023.0,31955.0,35516.0,36062.0,37038.8,38404.5,38179.3
Priority mail \6,1555.0,3075.0,4837.0,4634.0,5042.5,(\2),(\2)
Express mail \7,630.0,711.0,996.0,872.0,918.1,(\2),(\2)
Periodicals (formerly 2d class),1509.0,1972.0,2171.0,2161.0,2215.1,2187.9,2294.9
Standard Mail (formerly Standard A),8082.0,11792.0,15193.0,18954.0,19876.8,20778.6,20586.3
Package Services (formerly Standard B),919.0,1525.0,1912.0,2201.0,2259.0,1812.3,1845.0
Shipping Services \2,(X),(X),(X),(X),(X),7851.6,8355.0
International economy mail (surface),222.0,205.0,180.0,134.0,118.058,(\2),(\2)
International airmail,941.0,1254.0,1477.0,1631.0,1678.441,(\2),(\2)
Service revenue,1310.0,1687.0,2191.0,3150.0,3407.4,3743.2,3671.0
Registry \8,174.0,118.0,98.0,77.0,72.8,53.3,56.9
Certified \8,310.0,560.0,385.0,601.0,631.6,698.2,717.8
Insurance \8,47.0,52.0,109.0,132.0,136.7,156.7,144.6
Collect-on-delivery,26.0,21.0,22.0,9.0,9.8,(NA),(NA)
Money orders,155.0,196.0,235.0,208.0,193.3,210.5,204.8
Other \8,592.0,737.0,1342.0,2122.0,2363.2000000000003,2624.0,2547.0
Operating expenses (million dollars) \9,40490.0,50730.0,62992.0,68283.0,71681.0,80105.0,77738.0
