,2005 Balance sheet $ millions,2006 Balance sheet $ millions,2007 Balance sheet $ millions,2008 Balance sheet $ millions,2009 Balance sheet $ millions
Cash and deposits,"5,717","5,948","6,664","8,785","8,005"
Accounts receivable and accrued revenue,"19,353","19,801","20,271","22,782","22,066"
Investments and accounts with affiliates,"43,578","55,380","59,693","58,851","84,659"
Portfolio investments,"208,852","224,426","238,330","232,940","243,039"
  Mortgage,"39,778","40,140","40,650","41,949","41,201"
  Non-mortgage,"5,420","6,073","6,708","6,992","7,539"
Allowance for losses on investments and loans,-52,-54,-56,-303,-382
Bank customers' liabilities under acceptances,0,0,0,0,0
Net capital assets,"7,933","8,316","9,524","10,099","11,285"
Other assets,"31,324","30,810","39,848","44,249","41,994"
Liabilities,"273,670","289,703","306,235","308,389","329,270"
Deposits,"5,335","5,651","5,683","5,890","6,194"
Actuarial liabilities of insurers,"152,698","158,962","177,797","175,474","190,653"
Accounts payable and accrued liabilities,"60,339","62,077","64,809","67,900","68,209"
Loans and accounts with affiliates,"8,171","12,114","12,316","10,883","21,938"
  Loans and other borrowings,"3,363","3,634","5,605","6,519","3,571"
  Bankers' acceptances and paper,6,6,6,15,7
  Bonds and debentures,"5,202","5,742","6,663","7,802","9,064"
  Mortgages,236,312,509,443,437
Future income tax,-499,-750,147,572,197
Bank customers' liabilities under acceptances,0,0,0,0,0
Other liabilities,"38,820","41,957","32,699","32,891","28,999"
Equity,"88,233","101,138","115,398","117,955","130,137"
Share capital,"26,514","29,770","29,419","30,441","43,177"
Contributed surplus and other,"2,091","2,468","2,322","3,020","5,786"
Retained earnings,"59,629","68,900","83,657","84,494","81,175"
