Year,Population1,Violent crime,"Violent 
crime rate",Murder and nonnegligent manslaughter,Murder and nonnegligent manslaughter rate,Forcible rape,Forcible rape rate,Robbery,Robbery rate,Aggravated assault,Aggravated assault rate,Property crime,Property crime rate,Burglary,Burglary rate,Larceny-theft,Larceny-theft rate,"Motor 
vehicle 
theft",Motor vehicle theft rate,,,,
1988.0,244498982.0,1566221.0,640.6,20675.0,8.5,92486.0,37.8,542968.0,222.1,910092.0,372.2,12356865.0,5054.0,3218077.0,1316.2,7705872.0,3151.7,1432916.0,586.1,,,,
1989.0,246819230.0,1646037.0,666.9,21500.0,8.7,94504.0,38.3,578326.0,234.3,951707.0,385.6,12605412.0,5107.1,3168170.0,1283.6,7872442.0,3189.6,1564800.0,634.0,,,,
1990.0,249464396.0,1820127.0,729.6,23438.0,9.4,102555.0,41.1,639271.0,256.3,1054863.0,422.9,12655486.0,5073.1,3073909.0,1232.2,7945670.0,3185.1,1635907.0,655.8,,,,
1991.0,252153092.0,1911767.0,758.2,24703.0,9.8,106593.0,42.3,687732.0,272.7,1092739.0,433.4,12961116.0,5140.2,3157150.0,1252.1,8142228.0,3229.1,1661738.0,659.0,,,,
1992.0,255029699.0,1932274.0,757.7,23760.0,9.3,109062.0,42.8,672478.0,263.7,1126974.0,441.9,12505917.0,4903.7,2979884.0,1168.4,7915199.0,3103.6,1610834.0,631.6,,,,
1993.0,257782608.0,1926017.0,747.1,24526.0,9.5,106014.0,41.1,659870.0,256.0,1135607.0,440.5,12218777.0,4740.0,2834808.0,1099.7,7820909.0,3033.9,1563060.0,606.3,,,,
1994.0,260327021.0,1857670.0,713.6,23326.0,9.0,102216.0,39.3,618949.0,237.8,1113179.0,427.6,12131873.0,4660.2,2712774.0,1042.1,7879812.0,3026.9,1539287.0,591.3,,,,
1995.0,262803276.0,1798792.0,684.5,21606.0,8.2,97470.0,37.1,580509.0,220.9,1099207.0,418.3,12063935.0,4590.5,2593784.0,987.0,7997710.0,3043.2,1472441.0,560.3,,,,
1996.0,265228572.0,1688540.0,636.6,19645.0,7.4,96252.0,36.3,535594.0,201.9,1037049.0,391.0,11805323.0,4451.0,2506400.0,945.0,7904685.0,2980.3,1394238.0,525.7,,,,
1997.0,267783607.0,1636096.0,611.0,18208.0,6.8,96153.0,35.9,498534.0,186.2,1023201.0,382.1,11558475.0,4316.3,2460526.0,918.8,7743760.0,2891.8,1354189.0,505.7,,,,
1998.0,270248003.0,1533887.0,567.6,16974.0,6.3,93144.0,34.5,447186.0,165.5,976583.0,361.4,10951827.0,4052.5,2332735.0,863.2,7376311.0,2729.5,1242781.0,459.9,,,,
1999.0,272690813.0,1426044.0,523.0,15522.0,5.7,89411.0,32.8,409371.0,150.1,911740.0,334.3,10208334.0,3743.6,2100739.0,770.4,6955520.0,2550.7,1152075.0,422.5,,,,
2000.0,281421906.0,1425486.0,506.5,15586.0,5.5,90178.0,32.0,408016.0,145.0,911706.0,324.0,10182584.0,3618.3,2050992.0,728.8,6971590.0,2477.3,1160002.0,412.2,,,,
20012,285317559.0,1439480.0,504.5,16037.0,5.6,90863.0,31.8,423557.0,148.5,909023.0,318.6,10437189.0,3658.1,2116531.0,741.8,7092267.0,2485.7,1228391.0,430.5,,,,
2002.0,287973924.0,1423677.0,494.4,16229.0,5.6,95235.0,33.1,420806.0,146.1,891407.0,309.5,10455277.0,3630.6,2151252.0,747.0,7057379.0,2450.7,1246646.0,432.9,,,,
2003,290788976.0,1383676.0,475.8,16528.0,5.7,93883.0,32.3,414235.0,142.5,859030.0,295.4,10442862.0,3591.2,2154834.0,741.0,7026802.0,2416.5,1261226.0,433.7,,,,
2004,293656842.0,1360088.0,463.2,16148.0,5.5,95089.0,32.4,401470.0,136.7,847381.0,288.6,10319386.0,3514.1,2144446.0,730.3,6937089.0,2362.3,1237851.0,421.5,,,,
2005,296507061.0,1390745.0,469.0,16740.0,5.6,94347.0,31.8,417438.0,140.8,862220.0,290.8,10174754.0,3431.5,2155448.0,726.9,6783447.0,2287.8,1235859.0,416.8,,,,
20063,299398484.0,1418043.0,473.6,17030.0,5.7,92757.0,31.0,447403.0,149.4,860853.0,287.5,9983568.0,3334.5,2183746.0,729.4,6607013.0,2206.8,1192809.0,398.4,,,,
2007,301621157.0,1408337.0,466.9,16929.0,5.6,90427.0,30.0,445125.0,147.6,855856.0,283.8,9843481.0,3263.5,2179140.0,722.5,6568572.0,2177.8,1095769.0,363.3,,,,
