Area,,Population1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,
,"Rate per 100,000 inhabitants",,466.9,5.6,30.0,147.6,283.8,3263.5,722.5,2177.8,363.3,,
Metropolitan Statistical Area,,251045164.0,,,,,,,,,,,
,Area actually reporting2,95.7%,1188875.0,14389.0,69828.0,402338.0,702320.0,8121245.0,1766346.0,5375999.0,978900.0,,
,Estimated total,100.0%,1265166.0,15224.0,75114.0,427731.0,747097.0,8577047.0,1858602.0,5698194.0,1020251.0,,
,"Rate per 100,000 inhabitants",,504.0,6.1,29.9,170.4,297.6,3416.5,740.3,2269.8,406.4,,
Cities outside metropolitan areas,,20083243.0,,,,,,,,,,,
,Area actually reporting2,88.0%,71138.0,670.0,6633.0,11094.0,52741.0,672408.0,139699.0,500678.0,32031.0,,
,Estimated total,100.0%,79335.0,752.0,7695.0,12426.0,58462.0,757846.0,157165.0,565406.0,35275.0,,
,"Rate per 100,000 inhabitants",,395.0,3.7,38.3,61.9,291.1,3773.5,782.6,2815.3,175.6,,
Nonmetropolitan Counties,,30492750.0,,,,,,,,,,,
,Area actually reporting2,90.0%,59066.0,874.0,6644.0,4546.0,47002.0,466163.0,148953.0,279938.0,37272.0,,
,Estimated total,100.0%,63836.0,953.0,7618.0,4968.0,50297.0,508588.0,163373.0,304972.0,40243.0,,
,"Rate per 100,000 inhabitants",,209.3,3.1,25.0,16.3,164.9,1667.9,535.8,1000.1,132.0,,
