Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Burleigh,20.0,0.0,6.0,1.0,13.0,123.0,40.0,75.0,8.0,1.0
,Cass,11.0,0.0,3.0,0.0,8.0,176.0,50.0,107.0,19.0,3.0
,Grand Forks,6.0,0.0,1.0,0.0,5.0,117.0,32.0,66.0,19.0,0.0
,Morton,10.0,0.0,6.0,0.0,4.0,69.0,20.0,43.0,6.0,1.0
Nonmetropolitan Counties,Barnes,0.0,0.0,0.0,0.0,0.0,31.0,15.0,13.0,3.0,0.0
,Bottineau,1.0,0.0,0.0,0.0,1.0,40.0,12.0,22.0,6.0,1.0
,Cavalier,3.0,0.0,0.0,0.0,3.0,90.0,12.0,72.0,6.0,0.0
,Dickey,1.0,0.0,0.0,0.0,1.0,38.0,5.0,30.0,3.0,0.0
,Dunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Eddy,1.0,0.0,0.0,1.0,0.0,19.0,14.0,5.0,0.0,0.0
,Emmons,0.0,0.0,0.0,0.0,0.0,19.0,2.0,16.0,1.0,0.0
,Griggs,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0
,Hettinger,2.0,0.0,2.0,0.0,0.0,13.0,1.0,12.0,0.0,0.0
,Kidder,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
,Logan,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
,McHenry,2.0,0.0,0.0,0.0,2.0,29.0,11.0,17.0,1.0,0.0
,McIntosh,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
,McKenzie,0.0,0.0,0.0,0.0,0.0,34.0,6.0,25.0,3.0,0.0
,McLean,2.0,0.0,0.0,0.0,2.0,122.0,21.0,91.0,10.0,1.0
,Mercer,1.0,0.0,0.0,0.0,1.0,9.0,0.0,8.0,1.0,1.0
,Nelson,3.0,0.0,0.0,0.0,3.0,24.0,9.0,8.0,7.0,0.0
,Pembina,2.0,0.0,0.0,0.0,2.0,18.0,4.0,10.0,4.0,0.0
,Ramsey,3.0,0.0,1.0,0.0,2.0,22.0,3.0,16.0,3.0,0.0
,Renville,2.0,0.0,2.0,0.0,0.0,13.0,2.0,11.0,0.0,0.0
,Richland,13.0,0.0,0.0,0.0,13.0,77.0,20.0,51.0,6.0,1.0
,Rolette,5.0,0.0,3.0,0.0,2.0,14.0,5.0,6.0,3.0,3.0
,Sargent,1.0,0.0,1.0,0.0,0.0,23.0,2.0,21.0,0.0,0.0
,Stark,4.0,0.0,1.0,0.0,3.0,24.0,2.0,20.0,2.0,0.0
,Stutsman,3.0,0.0,1.0,0.0,2.0,52.0,13.0,32.0,7.0,2.0
,Towner,0.0,0.0,0.0,0.0,0.0,19.0,8.0,8.0,3.0,0.0
,Traill,7.0,0.0,1.0,0.0,6.0,22.0,7.0,9.0,6.0,1.0
,Walsh,4.0,0.0,0.0,1.0,3.0,71.0,19.0,42.0,10.0,2.0
,Ward,20.0,0.0,3.0,0.0,17.0,97.0,29.0,57.0,11.0,1.0
,Wells,3.0,2.0,0.0,0.0,1.0,25.0,11.0,11.0,3.0,2.0
,Williams,5.0,0.0,0.0,1.0,4.0,70.0,18.0,41.0,11.0,3.0
