Population group,,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,"Motor 
vehicle 
theft",Arson,"Number 
of 
agencies","2007 
estimated 
population",,,
"GROUP I (250,000 and over)",2006.0,499515.0,6878.0,20314.0,205368.0,266955.0,2470035.0,521783.0,1504248.0,444004.0,19416.0,,,,,
,2007.0,486694.0,6509.0,19097.0,201730.0,259358.0,2412156.0,519248.0,1493204.0,399704.0,18020.0,72.0,54390034.0,,,
,Percent change,-2.6,-5.4,-6.0,-1.8,-2.8,-2.3,-0.5,-0.7,-10.0,-7.2,,,,,
"1,000,000 and over (Group I subset)",2006.0,217074.0,3089.0,6739.0,97212.0,110034.0,933153.0,180151.0,579452.0,173550.0,6832.0,,,,,
,2007.0,209002.0,2790.0,6203.0,94385.0,105624.0,923358.0,187272.0,579090.0,156996.0,6343.0,10.0,25220230.0,,,
,Percent change,-3.7,-9.7,-8.0,-2.9,-4.0,-1.0,4.0,-0.1,-9.5,-7.2,,,,,
"500,000 to 999,999 (Group I subset)",2006.0,158661.0,2197.0,7188.0,60655.0,88621.0,871317.0,194906.0,521463.0,154948.0,6803.0,,,,,
,2007.0,158406.0,2195.0,6876.0,61177.0,88158.0,850503.0,188743.0,523071.0,138689.0,6231.0,24.0,16012700.0,,,
,Percent change,-0.2,-0.1,-4.3,0.9,-0.5,-2.4,-3.2,0.3,-10.5,-8.4,,,,,
"250,000 to 499,999 (Group I subset)",2006.0,123780.0,1592.0,6387.0,47501.0,68300.0,665565.0,146726.0,403333.0,115506.0,5781.0,,,,,
,2007.0,119286.0,1524.0,6018.0,46168.0,65576.0,638295.0,143233.0,391043.0,104019.0,5446.0,38.0,13157104.0,,,
,Percent change,-3.6,-4.3,-5.8,-2.8,-4.0,-4.1,-2.4,-3.0,-9.9,-5.8,,,,,
"GROUP II (100,000 to 249,999)",2006.0,172672.0,2128.0,10271.0,61369.0,98904.0,1202994.0,254612.0,791870.0,156512.0,7413.0,,,,,
,2007.0,171921.0,2164.0,9822.0,61515.0,98420.0,1180160.0,254933.0,780935.0,144292.0,7280.0,182.0,27358620.0,,,
,Percent change,-0.4,1.7,-4.4,0.2,-0.5,-1.9,0.1,-1.4,-7.8,-1.8,,,,,
"GROUP III (50,000 to 99,999)",2006.0,139544.0,1400.0,9556.0,44967.0,83621.0,1108140.0,231346.0,753096.0,123698.0,7806.0,,,,,
,2007.0,138191.0,1447.0,9128.0,45485.0,82131.0,1085205.0,229805.0,743212.0,112188.0,7015.0,434.0,29826593.0,,,
,Percent change,-1.0,3.4,-4.5,1.2,-1.8,-2.1,-0.7,-1.3,-9.3,-10.1,,,,,
"GROUP IV (25,000 to 49,999)",2006.0,93956.0,864.0,7487.0,27572.0,58033.0,853125.0,168378.0,609597.0,75150.0,5372.0,,,,,
,2007.0,93018.0,875.0,7267.0,27578.0,57298.0,839615.0,166475.0,604540.0,68600.0,5102.0,724.0,24939612.0,,,
,Percent change,-1.0,1.3,-2.9,*,-1.3,-1.6,-1.1,-0.8,-8.7,-5.0,,,,,
"GROUP V (10,000 to 24,999)",2006.0,78252.0,712.0,6964.0,19463.0,51113.0,798645.0,157439.0,582080.0,59126.0,4624.0,,,,,
,2007.0,80169.0,719.0,6679.0,19998.0,52773.0,794856.0,156745.0,583352.0,54759.0,4435.0,1596.0,25359101.0,,,
,Percent change,2.4,1.0,-4.1,2.7,3.2,-0.5,-0.4,0.2,-7.4,-4.1,,,,,
"GROUP VI (under 10,000)",2006.0,67277.0,515.0,5926.0,11354.0,49482.0,709914.0,132606.0,536633.0,40675.0,4398.0,,,,,
,2007.0,67219.0,513.0,5696.0,11372.0,49638.0,696746.0,130935.0,527758.0,38053.0,4078.0,6519.0,20853611.0,,,
,Percent change,-0.1,-0.4,-3.9,0.2,0.3,-1.9,-1.3,-1.7,-6.4,-7.3,,,,,
METROPOLITAN COUNTIES,2006.0,217441.0,2651.0,15348.0,49418.0,150024.0,1571524.0,393567.0,987794.0,190163.0,13405.0,,,,,
,2007.0,214836.0,2662.0,14952.0,50412.0,146810.0,1562763.0,395802.0,988988.0,177973.0,12230.0,1647.0,64261573.0,,,
,Percent change,-1.2,0.4,-2.6,2.0,-2.1,-0.6,0.6,0.1,-6.4,-8.8,,,,,
NONMETROPOLITAN COUNTIES1,2006.0,52310.0,824.0,5875.0,3998.0,41613.0,416723.0,134630.0,248311.0,33782.0,4046.0,,,,,
,2007.0,53766.0,818.0,6028.0,4094.0,42826.0,417418.0,135650.0,248614.0,33154.0,3840.0,2294.0,25234830.0,,,
,Percent change,2.8,-0.7,2.6,2.4,2.9,0.2,0.8,0.1,-1.9,-5.1,,,,,
SUBURBAN AREA2,2006.0,361169.0,3903.0,26748.0,88639.0,241879.0,3059794.0,672929.0,2069505.0,317360.0,22403.0,,,,,
,2007.0,359085.0,3891.0,26002.0,90090.0,239102.0,3032594.0,673059.0,2065399.0,294136.0,20632.0,7078.0,113965191.0,,,
,Percent change,-0.6,-0.3,-2.8,1.6,-1.1,-0.9,*,-0.2,-7.3,-7.9,,,,,
