Offense charged,Total arrests Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,Percent distribution1 Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,,
Murder and nonnegligent manslaughter,7505.0,3151.0,4201.0,66.0,87.0,100.0,42.0,56.0,0.9,1.2,,
Forcible rape,12586.0,7510.0,4803.0,147.0,126.0,100.0,59.7,38.2,1.2,1.0,,
Robbery,83230.0,34316.0,47838.0,489.0,587.0,100.0,41.2,57.5,0.6,0.7,,
Aggravated assault,250587.0,152552.0,92326.0,2974.0,2735.0,100.0,60.9,36.8,1.2,1.1,,
Burglary,171066.0,111597.0,56693.0,1333.0,1443.0,100.0,65.2,33.1,0.8,0.8,,
Larceny-theft,758380.0,513012.0,225979.0,10390.0,8999.0,100.0,67.6,29.8,1.4,1.2,,
Motor vehicle theft,70337.0,40959.0,27917.0,743.0,718.0,100.0,58.2,39.7,1.1,1.0,,
Arson,8377.0,6066.0,2146.0,77.0,88.0,100.0,72.4,25.6,0.9,1.1,,
Violent crime2,353908.0,197529.0,149168.0,3676.0,3535.0,100.0,55.8,42.1,1.0,1.0,,
Property crime2,1008160.0,671634.0,312735.0,12543.0,11248.0,100.0,66.6,31.0,1.2,1.1,,
Other assaults,748930.0,468205.0,262874.0,10594.0,7257.0,100.0,62.5,35.1,1.4,1.0,,
Forgery and counterfeiting,59871.0,40726.0,18198.0,315.0,632.0,100.0,68.0,30.4,0.5,1.1,,
Fraud,104976.0,69289.0,33928.0,882.0,877.0,100.0,66.0,32.3,0.8,0.8,,
Embezzlement,13411.0,8429.0,4693.0,84.0,205.0,100.0,62.9,35.0,0.6,1.5,,
"Stolen property; buying, receiving, possessing",71264.0,42674.0,27437.0,498.0,655.0,100.0,59.9,38.5,0.7,0.9,,
Vandalism,176865.0,130924.0,41660.0,2610.0,1671.0,100.0,74.0,23.6,1.5,0.9,,
"Weapons; carrying, possessing, etc.",114183.0,63339.0,49039.0,717.0,1088.0,100.0,55.5,42.9,0.6,1.0,,
Prostitution and commercialized vice,56665.0,32477.0,22483.0,535.0,1170.0,100.0,57.3,39.7,0.9,2.1,,
Sex offenses (except forcible rape and prostitution),44991.0,31546.0,12496.0,443.0,506.0,100.0,70.1,27.8,1.0,1.1,,
Drug abuse violations,1071105.0,646325.0,411972.0,6164.0,6644.0,100.0,60.3,38.5,0.6,0.6,,
Gambling,8245.0,1613.0,6516.0,14.0,102.0,100.0,19.6,79.0,0.2,1.2,,
Offenses against the family and children,40211.0,28723.0,10310.0,792.0,386.0,100.0,71.4,25.6,2.0,1.0,,
Driving under the influence,673205.0,589540.0,67680.0,9281.0,6704.0,100.0,87.6,10.1,1.4,1.0,,
Liquor laws,384375.0,323904.0,43862.0,12602.0,4007.0,100.0,84.3,11.4,3.3,1.0,,
Drunkenness,390822.0,322964.0,57991.0,7577.0,2290.0,100.0,82.6,14.8,1.9,0.6,,
Disorderly conduct,465163.0,290450.0,164479.0,7003.0,3231.0,100.0,62.4,35.4,1.5,0.7,,
Vagrancy,22888.0,13573.0,8711.0,493.0,111.0,100.0,59.3,38.1,2.2,0.5,,
All other offenses (except traffic),2155456.0,1389962.0,719763.0,29064.0,16667.0,100.0,64.5,33.4,1.3,0.8,,
Suspicion,883.0,563.0,306.0,4.0,10.0,100.0,63.8,34.7,0.5,1.1,,
Curfew and loitering law violations,105326.0,66446.0,36878.0,914.0,1088.0,100.0,63.1,35.0,0.9,1.0,,
Runaways,63396.0,42363.0,18540.0,1466.0,1027.0,100.0,66.8,29.2,2.3,1.6,,
