Offense charged,Number of persons arrested Total all ages 2006.0,2007.0,Percent change,Under 18 years of age 2006.0,2007.0,Percent change,18 years of age and over 2006.0,2007.0,Percent change,,,
Murder and nonnegligent manslaughter,1665.0,1593.0,-4.3,128.0,120.0,-6.3,1537.0,1473.0,-4.2,,,
Forcible rape,3115.0,2880.0,-7.5,454.0,458.0,0.9,2661.0,2422.0,-9.0,,,
Robbery,9615.0,9477.0,-1.4,2253.0,2244.0,-0.4,7362.0,7233.0,-1.8,,,
Aggravated assault,52093.0,51696.0,-0.8,6168.0,6097.0,-1.2,45925.0,45599.0,-0.7,,,
Burglary,35482.0,35405.0,-0.2,9393.0,8703.0,-7.3,26089.0,26702.0,2.3,,,
Larceny-theft,89892.0,93965.0,4.5,20747.0,21488.0,3.6,69145.0,72477.0,4.8,,,
Motor vehicle theft,14722.0,12219.0,-17.0,3045.0,2502.0,-17.8,11677.0,9717.0,-16.8,,,
Arson,2016.0,2032.0,0.8,864.0,831.0,-3.8,1152.0,1201.0,4.3,,,
Violent crime2,66488.0,65646.0,-1.3,9003.0,8919.0,-0.9,57485.0,56727.0,-1.3,,,
Property crime2,142112.0,143621.0,1.1,34049.0,33524.0,-1.5,108063.0,110097.0,1.9,,,
Other assaults,147981.0,149632.0,1.1,28769.0,28567.0,-0.7,119212.0,121065.0,1.6,,,
Forgery and counterfeiting,12392.0,11449.0,-7.6,376.0,319.0,-15.2,12016.0,11130.0,-7.4,,,
Fraud,55780.0,49950.0,-10.5,760.0,760.0,0.0,55020.0,49190.0,-10.6,,,
Embezzlement,2332.0,2601.0,11.5,172.0,183.0,6.4,2160.0,2418.0,11.9,,,
"Stolen property; buying, receiving, possessing",14571.0,13498.0,-7.4,1797.0,1619.0,-9.9,12774.0,11879.0,-7.0,,,
Vandalism,28762.0,27314.0,-5.0,10733.0,9819.0,-8.5,18029.0,17495.0,-3.0,,,
"Weapons; carrying, possessing, etc.",18336.0,17755.0,-3.2,4153.0,3910.0,-5.9,14183.0,13845.0,-2.4,,,
Prostitution and commercialized vice,2315.0,2075.0,-10.4,50.0,48.0,-4.0,2265.0,2027.0,-10.5,,,
Sex offenses (except forcible rape and prostitution),10901.0,10930.0,0.3,2100.0,1994.0,-5.0,8801.0,8936.0,1.5,,,
Drug abuse violations,201325.0,196307.0,-2.5,18267.0,18303.0,0.2,183058.0,178004.0,-2.8,,,
Gambling,603.0,607.0,0.7,34.0,28.0,-17.6,569.0,579.0,1.8,,,
Offenses against the family and children,34198.0,34458.0,0.8,746.0,913.0,22.4,33452.0,33545.0,0.3,,,
Driving under the influence,226415.0,226355.0,*,2314.0,2163.0,-6.5,224101.0,224192.0,*,,,
Liquor laws,51692.0,51237.0,-0.9,13876.0,13534.0,-2.5,37816.0,37703.0,-0.3,,,
Drunkenness,38894.0,40861.0,5.1,1128.0,1110.0,-1.6,37766.0,39751.0,5.3,,,
Disorderly conduct,42261.0,42858.0,1.4,12943.0,12824.0,-0.9,29318.0,30034.0,2.4,,,
Vagrancy,2644.0,2185.0,-17.4,253.0,307.0,21.3,2391.0,1878.0,-21.5,,,
All other offenses (except traffic),535986.0,529237.0,-1.3,35525.0,34126.0,-3.9,500461.0,495111.0,-1.1,,,
Suspicion,493.0,460.0,-6.7,93.0,58.0,-37.6,400.0,402.0,0.5,,,
Curfew and loitering law violations,3495.0,3755.0,7.4,3495.0,3755.0,7.4,-,-,-,,,
Runaways,13230.0,13439.0,1.6,13230.0,13439.0,1.6,-,-,-,,,
