Offense charged,Male Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,Female Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,,
Murder and nonnegligent manslaughter,2186.0,2141.0,-2.1,184.0,184.0,0.0,315.0,263.0,-16.5,9.0,15.0,66.7,,
Forcible rape,5635.0,5353.0,-5.0,884.0,886.0,0.2,81.0,56.0,-30.9,14.0,16.0,14.3,,
Robbery,19465.0,19039.0,-2.2,5233.0,4966.0,-5.1,2271.0,2396.0,5.5,469.0,493.0,5.1,,
Aggravated assault,79699.0,78049.0,-2.1,10921.0,10513.0,-3.7,19779.0,20229.0,2.3,3215.0,3041.0,-5.4,,
Burglary,62213.0,62110.0,-0.2,18469.0,17480.0,-5.4,9791.0,9763.0,-0.3,2102.0,2049.0,-2.5,,
Larceny-theft,160621.0,167611.0,4.4,40544.0,41559.0,2.5,94118.0,107533.0,14.3,25196.0,28055.0,11.3,,
Motor vehicle theft,21692.0,18714.0,-13.7,5028.0,4318.0,-14.1,4804.0,4210.0,-12.4,1119.0,983.0,-12.2,,
Arson,3811.0,3641.0,-4.5,2049.0,1927.0,-6.0,696.0,598.0,-14.1,283.0,257.0,-9.2,,
Violent crime3,106985.0,104582.0,-2.2,17222.0,16549.0,-3.9,22446.0,22944.0,2.2,3707.0,3565.0,-3.8,,
Property crime3,248337.0,252076.0,1.5,66090.0,65284.0,-1.2,109409.0,122104.0,11.6,28700.0,31344.0,9.2,,
Other assaults,231700.0,232677.0,0.4,44307.0,43154.0,-2.6,79490.0,80920.0,1.8,21797.0,21104.0,-3.2,,
Forgery and counterfeiting,16609.0,15028.0,-9.5,659.0,563.0,-14.6,10555.0,9597.0,-9.1,294.0,255.0,-13.3,,
Fraud,50251.0,45021.0,-10.4,1330.0,1266.0,-4.8,44153.0,38673.0,-12.4,684.0,695.0,1.6,,
Embezzlement,2318.0,2557.0,10.3,223.0,263.0,17.9,2604.0,2779.0,6.7,156.0,164.0,5.1,,
"Stolen property; buying, receiving, possessing",26089.0,24192.0,-7.3,4613.0,4380.0,-5.1,6233.0,6134.0,-1.6,870.0,1047.0,20.3,,
Vandalism,63348.0,60766.0,-4.1,27803.0,26160.0,-5.9,11348.0,11580.0,2.0,3984.0,4003.0,0.5,,
"Weapons; carrying, possessing, etc.",37740.0,35967.0,-4.7,9878.0,9008.0,-8.8,3346.0,3134.0,-6.3,1178.0,973.0,-17.4,,
Prostitution and commercialized vice,1951.0,1785.0,-8.5,49.0,33.0,-32.7,2558.0,2656.0,3.8,60.0,73.0,21.7,,
Sex offenses (except forcible rape and prostitution),18981.0,18710.0,-1.4,3861.0,3729.0,-3.4,1180.0,1190.0,0.8,354.0,306.0,-13.6,,
Drug abuse violations,341172.0,334568.0,-1.9,41166.0,41158.0,*,83613.0,83188.0,-0.5,8971.0,8991.0,0.2,,
Gambling,829.0,866.0,4.5,123.0,100.0,-18.7,171.0,180.0,5.3,8.0,9.0,12.5,,
Offenses against the family and children,36364.0,36393.0,0.1,941.0,1174.0,24.8,8764.0,9180.0,4.7,610.0,673.0,10.3,,
Driving under the influence,345550.0,343939.0,-0.5,4394.0,4064.0,-7.5,88493.0,91811.0,3.7,1246.0,1266.0,1.6,,
Liquor laws,119305.0,117843.0,-1.2,27059.0,26183.0,-3.2,47015.0,47503.0,1.0,15576.0,15678.0,0.7,,
Drunkenness,102833.0,107768.0,4.8,3637.0,3588.0,-1.3,20957.0,23075.0,10.1,1389.0,1371.0,-1.3,,
Disorderly conduct,124529.0,123780.0,-0.6,38921.0,36932.0,-5.1,44326.0,44868.0,1.2,17861.0,17192.0,-3.7,,
Vagrancy,4005.0,3301.0,-17.6,470.0,431.0,-8.3,1329.0,971.0,-26.9,161.0,151.0,-6.2,,
All other offenses (except traffic),830658.0,816767.0,-1.7,76943.0,74174.0,-3.6,247952.0,246810.0,-0.5,28057.0,26788.0,-4.5,,
Suspicion,743.0,734.0,-1.2,135.0,113.0,-16.3,193.0,191.0,-1.0,31.0,35.0,12.9,,
Curfew and loitering law violations,13129.0,13442.0,2.4,13129.0,13442.0,2.4,6337.0,6306.0,-0.5,6337.0,6306.0,-0.5,,
Runaways,10885.0,10835.0,-0.5,10885.0,10835.0,-0.5,13430.0,13100.0,-2.5,13430.0,13100.0,-2.5,,
