State,City,Population,Total law enforcement employees,Total officers,Total civilians
MINNESOTA,Albany,2072.0,5.0,4.0,1.0
,Albert Lea,17663.0,39.0,29.0,10.0
,Alexandria,11029.0,24.0,19.0,5.0
,Annandale,3114.0,5.0,5.0,0.0
,Anoka,17413.0,33.0,26.0,7.0
,Appleton,1929.0,4.0,4.0,0.0
,Apple Valley,50794.0,59.0,50.0,9.0
,Aurora,1720.0,4.0,4.0,0.0
,Austin,23300.0,34.0,31.0,3.0
,Avon,1284.0,3.0,3.0,0.0
,Babbitt,1588.0,4.0,4.0,0.0
,Baxter,8243.0,16.0,15.0,1.0
,Bayport,3266.0,5.0,5.0,0.0
,Becker,4294.0,6.0,5.0,1.0
,Belgrade,705.0,2.0,2.0,0.0
,Belle Plaine,4998.0,9.0,7.0,2.0
,Bemidji,13448.0,34.0,31.0,3.0
,Benson,3096.0,8.0,7.0,1.0
,Big Lake,9852.0,14.0,11.0,3.0
,Biwabik,944.0,3.0,3.0,0.0
,Blackduck,765.0,2.0,2.0,0.0
,Blaine,56747.0,69.0,57.0,12.0
,Blooming Prairie,1975.0,3.0,3.0,0.0
,Bloomington,80218.0,147.0,116.0,31.0
,Blue Earth,3366.0,6.0,6.0,0.0
,Brainerd,13731.0,33.0,26.0,7.0
,Breckenridge,3325.0,6.0,6.0,0.0
,Brooklyn Center,27118.0,55.0,44.0,11.0
,Brooklyn Park,70112.0,116.0,90.0,26.0
,Browns Valley,619.0,3.0,3.0,0.0
,Brownton,795.0,2.0,2.0,0.0
,Buffalo,14456.0,22.0,18.0,4.0
,Burnsville,59127.0,81.0,72.0,9.0
,Caledonia,2910.0,4.0,4.0,0.0
,Cambridge,7687.0,14.0,12.0,2.0
,Cannon Falls,4038.0,11.0,9.0,2.0
,Centennial Lakes,11454.0,19.0,17.0,2.0
,Champlin,23463.0,30.0,25.0,5.0
,Chaska,24764.0,27.0,24.0,3.0
,Chisholm,4592.0,12.0,11.0,1.0
,Cloquet,11523.0,21.0,19.0,2.0
,Cold Spring,3726.0,9.0,8.0,1.0
,Columbia Heights,17894.0,29.0,22.0,7.0
,Coon Rapids,62299.0,74.0,64.0,10.0
,Corcoran,5698.0,7.0,7.0,0.0
,Cottage Grove,33288.0,46.0,39.0,7.0
,Crookston,7752.0,16.0,14.0,2.0
,Crosby,2232.0,9.0,8.0,1.0
,Crystal,21325.0,37.0,27.0,10.0
,Dawson,1405.0,3.0,3.0,0.0
,Dayton,4620.0,6.0,5.0,1.0
,Deephaven-Woodland,4129.0,8.0,7.0,1.0
,Detroit Lakes,8111.0,17.0,15.0,2.0
,Dilworth,3600.0,7.0,6.0,1.0
,Duluth,83932.0,169.0,143.0,26.0
,Eagan,63718.0,82.0,69.0,13.0
,Eagle Lake,2130.0,2.0,2.0,0.0
,East Grand Forks,7896.0,24.0,22.0,2.0
,Eden Prairie,61910.0,87.0,65.0,22.0
,Edina,45007.0,68.0,51.0,17.0
,Elk River,23224.0,40.0,30.0,10.0
,Elmore,677.0,1.0,1.0,0.0
,Ely,3565.0,8.0,7.0,1.0
,Eveleth,3577.0,11.0,10.0,1.0
,Fairmont,10337.0,20.0,17.0,3.0
,Faribault,22408.0,39.0,30.0,9.0
,Farmington,19276.0,26.0,23.0,3.0
,Fergus Falls,13842.0,29.0,23.0,6.0
,Floodwood,493.0,3.0,3.0,0.0
,Forest Lake,17984.0,27.0,24.0,3.0
,Fridley,26124.0,45.0,39.0,6.0
,Gilbert,1743.0,5.0,5.0,0.0
