Circumstances,20131.0,20141.0,20151.0,20161.0,20171.0,,,,
Rape,20.0,26.0,14.0,21.0,18.0,,,,
Robbery,686.0,586.0,618.0,747.0,680.0,,,,
Burglary,94.0,82.0,105.0,87.0,90.0,,,,
Larceny-theft,16.0,24.0,16.0,14.0,20.0,,,,
Motor vehicle theft,27.0,25.0,40.0,62.0,31.0,,,,
Arson,37.0,23.0,22.0,40.0,31.0,,,,
Prostitution and commercialized vice,13.0,19.0,7.0,15.0,15.0,,,,
Other sex offenses,9.0,3.0,15.0,4.0,8.0,,,,
Narcotic drug laws,386.0,386.0,483.0,503.0,533.0,,,,
Gambling,7.0,11.0,5.0,11.0,10.0,,,,
Other-not specified,614.0,677.0,760.0,805.0,800.0,,,,
Suspected felony type,122.0,84.0,118.0,107.0,153.0,,,,
Other than felony type total:,5782.0,5771.0,6128.0,6782.0,6663.0,,,,
Romantic triangle,69.0,85.0,113.0,115.0,107.0,,,,
Child killed by babysitter,30.0,39.0,42.0,36.0,32.0,,,,
Brawl due to influence of alcohol,93.0,100.0,117.0,105.0,118.0,,,,
Brawl due to influence of narcotics,59.0,50.0,73.0,137.0,129.0,,,,
Argument over money or property,133.0,151.0,185.0,206.0,199.0,,,,
Other arguments,2889.0,2863.0,3046.0,3276.0,3224.0,,,,
Gangland killings,138.0,144.0,195.0,495.0,369.0,,,,
Juvenile gang killings,584.0,578.0,605.0,430.0,381.0,,,,
Institutional killings,15.0,18.0,24.0,18.0,14.0,,,,
Sniper attack,6.0,3.0,5.0,10.0,2.0,,,,
Other-not specified,1766.0,1740.0,1723.0,1954.0,2088.0,,,,
Unknown,4440.0,4553.0,5419.0,6098.0,6077.0,,,,
