Age,Total,Sex Male,Female,Unknown,Race White,"Black
or African
American",Other1,Unknown,"Ethnicity Hispanic
or Latino","Not
Hispanic
or Latino",Unknown
Percent distribution2,100.0,78.4,21.3,0.3,43.5,51.9,3.0,1.6,16.6,68.7,14.7
Under 183,1208.0,864.0,341.0,3.0,512.0,642.0,33.0,21.0,215.0,754.0,178.0
Under 223,2994.0,2405.0,583.0,6.0,1113.0,1767.0,73.0,41.0,548.0,1863.0,429.0
18 and over3,13754.0,10893.0,2840.0,21.0,6010.0,7149.0,417.0,178.0,2120.0,8941.0,1840.0
Infant (under 1),167.0,93.0,74.0,0.0,85.0,74.0,6.0,2.0,25.0,103.0,31.0
1 to 4,248.0,150.0,97.0,1.0,127.0,108.0,7.0,6.0,41.0,153.0,41.0
5 to 8,91.0,56.0,35.0,0.0,44.0,41.0,5.0,1.0,15.0,59.0,11.0
9 to 12,61.0,29.0,31.0,1.0,31.0,22.0,1.0,7.0,9.0,36.0,11.0
13 to 16,365.0,298.0,67.0,0.0,136.0,218.0,10.0,1.0,77.0,226.0,46.0
17 to 19,1132.0,985.0,146.0,1.0,373.0,734.0,16.0,9.0,204.0,712.0,156.0
20 to 24,2428.0,2055.0,369.0,4.0,827.0,1513.0,54.0,34.0,453.0,1532.0,311.0
25 to 29,2457.0,2059.0,397.0,1.0,840.0,1526.0,63.0,28.0,379.0,1557.0,317.0
30 to 34,1790.0,1441.0,348.0,1.0,719.0,983.0,68.0,20.0,282.0,1188.0,230.0
35 to 39,1508.0,1191.0,315.0,2.0,637.0,810.0,44.0,17.0,259.0,958.0,216.0
40 to 44,1077.0,834.0,242.0,1.0,521.0,507.0,37.0,12.0,187.0,672.0,141.0
45 to 49,928.0,684.0,238.0,6.0,479.0,393.0,31.0,25.0,134.0,610.0,125.0
50 to 54,832.0,622.0,204.0,6.0,475.0,310.0,30.0,17.0,101.0,549.0,120.0
55 to 59,691.0,515.0,176.0,0.0,426.0,235.0,24.0,6.0,75.0,483.0,89.0
60 to 64,456.0,324.0,132.0,0.0,286.0,143.0,21.0,6.0,47.0,318.0,63.0
65 to 69,314.0,206.0,108.0,0.0,204.0,97.0,11.0,2.0,29.0,219.0,53.0
70 to 74,151.0,91.0,60.0,0.0,100.0,41.0,9.0,1.0,6.0,113.0,14.0
75 and over,266.0,124.0,142.0,0.0,212.0,36.0,13.0,5.0,12.0,207.0,43.0
Unknown,167.0,105.0,41.0,21.0,57.0,60.0,6.0,44.0,19.0,66.0,67.0
