Population group,,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,"Number 
of 
agencies","2017 
estimated 
population"
"GROUP I (all cities 250,000 and over)",Total clearances,166660.0,3563.0,10930.0,36652.0,115515.0,220644.0,32036.0,165921.0,22687.0,1835.0,76.0,56778339.0
,Percent under 18,8.1,4.2,13.0,14.0,5.8,9.4,8.8,9.1,12.4,16.4,,
"1,000,000 and over (Group I subset)",Total clearances,74979.0,1298.0,4528.0,17612.0,51541.0,76700.0,10825.0,58326.0,7549.0,518.0,10.0,25129639.0
,Percent under 18,8.1,4.5,12.7,15.4,5.3,8.4,6.5,8.6,10.3,16.8,,
"500,000 to 999,999 (Group I subset)",Total clearances,51585.0,1288.0,3621.0,10605.0,36071.0,71826.0,11092.0,53279.0,7455.0,728.0,23.0,16676765.0
,Percent under 18,8.2,4.0,12.7,12.9,6.4,9.6,10.8,8.6,14.4,19.1,,
"250,000 to 499,999 (Group I subset)",Total clearances,40096.0,977.0,2781.0,8435.0,27903.0,72118.0,10119.0,54316.0,7683.0,589.0,43.0,14971935.0
,Percent under 18,7.9,3.9,13.7,12.5,6.0,10.2,9.2,10.1,12.4,12.7,,
"GROUP II (100,000 to 249,999)",Total clearances,60522.0,1211.0,4552.0,11309.0,43450.0,145437.0,18863.0,113186.0,13388.0,1082.0,197.0,29500128.0
,Percent under 18,7.9,5.4,14.3,11.4,6.4,10.4,10.4,10.1,13.1,19.7,,
"GROUP III (50,000 to 99,999)",Total clearances,50711.0,759.0,3921.0,8910.0,37121.0,143002.0,16696.0,116812.0,9494.0,949.0,436.0,30481898.0
,Percent under 18,8.6,5.0,14.5,11.9,7.2,10.6,9.9,10.6,11.9,21.7,,
"GROUP IV (25,000 to 49,999)",Total clearances,38352.0,619.0,3187.0,6282.0,28264.0,143756.0,14826.0,121718.0,7212.0,715.0,791.0,27474766.0
,Percent under 18,8.7,4.4,14.9,10.5,7.7,9.3,9.3,9.1,12.9,27.0,,
"GROUP V (10,000 to 24,999)",Total clearances,36572.0,503.0,2993.0,4792.0,28284.0,149359.0,16144.0,125841.0,7374.0,705.0,1648.0,26285968.0
,Percent under 18,8.7,3.6,16.1,10.0,7.7,8.9,9.6,8.7,11.3,27.5,,
"GROUP VI (under 10,000)",Total clearances,37101.0,418.0,2735.0,3146.0,30802.0,128885.0,15394.0,106070.0,7421.0,991.0,7514.0,21784476.0
,Percent under 18,9.3,3.6,15.7,13.6,8.3,8.5,10.8,8.0,10.1,24.2,,
METROPOLITAN COUNTIES,Total clearances,79411.0,1383.0,6986.0,8592.0,62450.0,167219.0,30475.0,120754.0,15990.0,1518.0,1661.0,61831313.0
,Percent under 18,8.4,3.7,18.4,12.2,6.9,9.6,9.0,9.7,10.5,19.4,,
NONMETROPOLITAN COUNTIES,Total clearances,25413.0,549.0,3027.0,1047.0,20790.0,51345.0,13807.0,31384.0,6154.0,612.0,2081.0,23015735.0
,Percent under 18,6.3,2.6,17.6,4.7,4.8,6.2,6.1,5.8,8.3,12.6,,
SUBURBAN AREA3,Total clearances,145197.0,2240.0,12548.0,18386.0,112023.0,425919.0,56915.0,339785.0,29219.0,2916.0,7781.0,116232117.0
,Percent under 18,9.0,3.9,17.2,12.0,7.7,9.3,9.5,9.2,11.0,24.0,,
