Offense charged,"Total all
ages",Number of persons arrested Under 15,Under 18,Under 21,Under 25,Percent of total all ages Under 15,Under 18,Under 21,Under 25
Murder and nonnegligent manslaughter,7058.0,57.0,561.0,1719.0,3085.0,0.8,7.9,24.4,43.7
Rape1,13036.0,813.0,2132.0,3612.0,5152.0,6.2,16.4,27.7,39.5
Robbery,62927.0,2619.0,13167.0,24584.0,34363.0,4.2,20.9,39.1,54.6
Aggravated assault,229798.0,5602.0,17127.0,34940.0,66558.0,2.4,7.5,15.2,29.0
Burglary,115300.0,5967.0,18839.0,32416.0,47624.0,5.2,16.3,28.1,41.3
Larceny-theft,621866.0,22528.0,78971.0,146049.0,220277.0,3.6,12.7,23.5,35.4
Motor vehicle theft,53010.0,2553.0,10470.0,16713.0,23910.0,4.8,19.8,31.5,45.1
Arson,5421.0,818.0,1431.0,1814.0,2287.0,15.1,26.4,33.5,42.2
Violent crime2,312819.0,9091.0,32987.0,64855.0,109158.0,2.9,10.5,20.7,34.9
Property crime2,795597.0,31866.0,109711.0,196992.0,294098.0,4.0,13.8,24.8,37.0
Other assaults,629727.0,29179.0,72916.0,118990.0,200900.0,4.6,11.6,18.9,31.9
Forgery and counterfeiting,32362.0,122.0,771.0,4523.0,9020.0,0.4,2.4,14.0,27.9
Fraud,68407.0,609.0,3062.0,8781.0,17780.0,0.9,4.5,12.8,26.0
Embezzlement,9910.0,38.0,440.0,2097.0,3809.0,0.4,4.4,21.2,38.4
"Stolen property; buying, receiving, possessing",57682.0,1459.0,6881.0,14048.0,22396.0,2.5,11.9,24.4,38.8
Vandalism,114103.0,9332.0,22392.0,34761.0,51097.0,8.2,19.6,30.5,44.8
"Weapons; carrying, possessing, etc.",98876.0,3375.0,11707.0,24659.0,42914.0,3.4,11.8,24.9,43.4
Prostitution and commercialized vice,24853.0,26.0,185.0,2736.0,6969.0,0.1,0.7,11.0,28.0
Sex offenses (except rape and prostitution),26831.0,2395.0,4727.0,6856.0,9257.0,8.9,17.6,25.6,34.5
Drug abuse violations,906754.0,9000.0,56569.0,179405.0,325800.0,1.0,6.2,19.8,35.9
Gambling,1789.0,19.0,160.0,441.0,720.0,1.1,8.9,24.7,40.2
Offenses against the family and children,37793.0,795.0,2272.0,4252.0,8592.0,2.1,6.0,11.3,22.7
Driving under the influence,442122.0,68.0,2981.0,26721.0,96308.0,*,0.7,6.0,21.8
Liquor laws,127086.0,2362.0,18993.0,73428.0,82180.0,1.9,14.9,57.8,64.7
Drunkenness,252852.0,376.0,2976.0,17236.0,48842.0,0.1,1.2,6.8,19.3
Disorderly conduct,228822.0,16297.0,40786.0,61560.0,91959.0,7.1,17.8,26.9,40.2
Vagrancy,16388.0,118.0,469.0,1434.0,2782.0,0.7,2.9,8.8,17.0
All other offenses (except traffic),1746599.0,23770.0,91518.0,226156.0,459841.0,1.4,5.2,12.9,26.3
Suspicion,541.0,12.0,34.0,74.0,127.0,2.2,6.3,13.7,23.5
Curfew and loitering law violations,21958.0,6533.0,21958.0,21958.0,21958.0,29.8,100.0,100.0,100.0
