Offense charged,Number of persons arrested Total,Male,Female,"Percent
male","Percent
female",Percent distribution1 Total,Male,Female,,
Murder and nonnegligent manslaughter,1917.0,1658.0,259.0,86.5,13.5,0.1,0.1,0.1,,
Rape2,3602.0,3513.0,89.0,97.5,2.5,0.2,0.3,*,,
Robbery,10229.0,8745.0,1484.0,85.5,14.5,0.6,0.7,0.3,,
Aggravated assault,58170.0,45506.0,12664.0,78.2,21.8,3.6,3.8,2.9,,
Burglary,29411.0,23997.0,5414.0,81.6,18.4,1.8,2.0,1.3,,
Larceny-theft,104711.0,63776.0,40935.0,60.9,39.1,6.4,5.3,9.5,,
Motor vehicle theft,14046.0,10953.0,3093.0,78.0,22.0,0.9,0.9,0.7,,
Arson,1271.0,1044.0,227.0,82.1,17.9,0.1,0.1,0.1,,
Violent crime3,73918.0,59422.0,14496.0,80.4,19.6,4.5,5.0,3.4,,
Property crime3,149439.0,99770.0,49669.0,66.8,33.2,9.2,8.3,11.5,,
Other assaults,148967.0,106818.0,42149.0,71.7,28.3,9.1,8.9,9.8,,
Forgery and counterfeiting,8775.0,5727.0,3048.0,65.3,34.7,0.5,0.5,0.7,,
Fraud,20799.0,13121.0,7678.0,63.1,36.9,1.3,1.1,1.8,,
Embezzlement,2135.0,1107.0,1028.0,51.9,48.1,0.1,0.1,0.2,,
"Stolen property; buying, receiving, possessing",15784.0,12364.0,3420.0,78.3,21.7,1.0,1.0,0.8,,
Vandalism,25455.0,19854.0,5601.0,78.0,22.0,1.6,1.7,1.3,,
"Weapons; carrying, possessing, etc.",23315.0,20854.0,2461.0,89.4,10.6,1.4,1.7,0.6,,
Prostitution and commercialized vice,3443.0,1766.0,1677.0,51.3,48.7,0.2,0.1,0.4,,
Sex offenses (except rape and prostitution),8202.0,7667.0,535.0,93.5,6.5,0.5,0.6,0.1,,
Drug abuse violations,266029.0,198278.0,67751.0,74.5,25.5,16.3,16.5,15.7,,
Gambling,590.0,394.0,196.0,66.8,33.2,*,*,*,,
Offenses against the family and children,25730.0,19956.0,5774.0,77.6,22.4,1.6,1.7,1.3,,
Driving under the influence,202119.0,150427.0,51692.0,74.4,25.6,12.4,12.5,12.0,,
Liquor laws,21746.0,14776.0,6970.0,67.9,32.1,1.3,1.2,1.6,,
Drunkenness,25656.0,20182.0,5474.0,78.7,21.3,1.6,1.7,1.3,,
Disorderly conduct,32777.0,23140.0,9637.0,70.6,29.4,2.0,1.9,2.2,,
Vagrancy,1949.0,1435.0,514.0,73.6,26.4,0.1,0.1,0.1,,
All other offenses (except traffic),572506.0,421573.0,150933.0,73.6,26.4,35.1,35.1,35.0,,
Suspicion,86.0,63.0,23.0,73.3,26.7,*,*,*,,
Curfew and loitering law violations,1487.0,946.0,541.0,63.6,36.4,0.1,0.1,0.1,,
