Offense charged,Number of persons arrested Total,Male,Female,"Percent
male","Percent
female",Percent distribution1 Total,Male,Female,,,
Murder and nonnegligent manslaughter,601.0,482.0,119.0,80.2,19.8,0.1,0.1,0.1,,,
Rape2,1651.0,1605.0,46.0,97.2,2.8,0.2,0.3,*,,,
Robbery,1184.0,982.0,202.0,82.9,17.1,0.2,0.2,0.1,,,
Aggravated assault,17323.0,13825.0,3498.0,79.8,20.2,2.6,2.8,2.0,,,
Burglary,11754.0,9479.0,2275.0,80.6,19.4,1.8,1.9,1.3,,,
Larceny-theft,24173.0,15361.0,8812.0,63.5,36.5,3.6,3.2,5.0,,,
Motor vehicle theft,4396.0,3364.0,1032.0,76.5,23.5,0.7,0.7,0.6,,,
Arson,488.0,386.0,102.0,79.1,20.9,0.1,0.1,0.1,,,
Violent crime3,20759.0,16894.0,3865.0,81.4,18.6,3.1,3.5,2.2,,,
Property crime3,40811.0,28590.0,12221.0,70.1,29.9,6.2,5.9,6.9,,,
Other assaults,54702.0,39979.0,14723.0,73.1,26.9,8.3,8.2,8.4,,,
Forgery and counterfeiting,2397.0,1444.0,953.0,60.2,39.8,0.4,0.3,0.5,,,
Fraud,7742.0,4505.0,3237.0,58.2,41.8,1.2,0.9,1.8,,,
Embezzlement,487.0,233.0,254.0,47.8,52.2,0.1,*,0.1,,,
"Stolen property; buying, receiving, possessing",4008.0,3089.0,919.0,77.1,22.9,0.6,0.6,0.5,,,
Vandalism,8401.0,6634.0,1767.0,79.0,21.0,1.3,1.4,1.0,,,
"Weapons; carrying, possessing, etc.",7019.0,6282.0,737.0,89.5,10.5,1.1,1.3,0.4,,,
Prostitution and commercialized vice,194.0,107.0,87.0,55.2,44.8,*,*,*,,,
Sex offenses (except rape and prostitution),2817.0,2614.0,203.0,92.8,7.2,0.4,0.5,0.1,,,
Drug abuse violations,103029.0,74745.0,28284.0,72.5,27.5,15.5,15.4,16.1,,,
Gambling,131.0,89.0,42.0,67.9,32.1,*,*,*,,,
Offenses against the family and children,8706.0,6427.0,2279.0,73.8,26.2,1.3,1.3,1.3,,,
Driving under the influence,120328.0,91252.0,29076.0,75.8,24.2,18.2,18.8,16.5,,,
Liquor laws,12445.0,8445.0,4000.0,67.9,32.1,1.9,1.7,2.3,,,
Drunkenness,11100.0,8185.0,2915.0,73.7,26.3,1.7,1.7,1.7,,,
Disorderly conduct,15388.0,10896.0,4492.0,70.8,29.2,2.3,2.2,2.6,,,
Vagrancy,205.0,155.0,50.0,75.6,24.4,*,*,*,,,
All other offenses (except traffic),241827.0,175909.0,65918.0,72.7,27.3,36.5,36.1,37.4,,,
Suspicion,63.0,48.0,15.0,76.2,23.8,*,*,*,,,
Curfew and loitering law violations,254.0,152.0,102.0,59.8,40.2,*,*,*,,,
