State,Agency,"Total law
enforcement
employees","Total 
officers Male",Female,"Total 
civilians Male",Female,,,,
ALASKA,State Troopers,581.0,331.0,16.0,103.0,131.0,,,,
ARIZONA,Department of Public Safety,1976.0,1118.0,45.0,334.0,479.0,,,,
ARKANSAS1,Other state agencies,36.0,27.0,1.0,2.0,6.0,,,,
CALIFORNIA,Highway Patrol,10737.0,6934.0,467.0,1478.0,1858.0,,,,
,Other state agencies2,1278.0,987.0,178.0,37.0,76.0,,,,
COLORADO,State Police,1175.0,739.0,51.0,148.0,237.0,,,,
,Other state agencies,369.0,53.0,8.0,109.0,199.0,,,,
CONNECTICUT,State Police,1197.0,883.0,83.0,92.0,139.0,,,,
,Other state agencies,101.0,79.0,5.0,9.0,8.0,,,,
DELAWARE,State Police,969.0,636.0,98.0,91.0,144.0,,,,
,Other state agencies,780.0,251.0,31.0,142.0,356.0,,,,
FLORIDA,Highway Patrol,3635.0,2139.0,321.0,366.0,809.0,,,,
,Other state agencies,3503.0,1549.0,247.0,587.0,1120.0,,,,
GEORGIA,Department of Public Safety,1340.0,872.0,12.0,299.0,157.0,,,,
,Other state agencies,386.0,156.0,23.0,86.0,121.0,,,,
IDAHO,State Police,519.0,272.0,16.0,66.0,165.0,,,,
ILLINOIS,State Police,2698.0,1457.0,163.0,457.0,621.0,,,,
,Other state agencies,209.0,104.0,5.0,62.0,38.0,,,,
INDIANA,State Police,1757.0,1226.0,62.0,177.0,292.0,,,,
,Other state agencies,86.0,65.0,14.0,0.0,7.0,,,,
IOWA,Department of Public Safety,816.0,515.0,37.0,126.0,138.0,,,,
KANSAS,Highway Patrol,785.0,491.0,19.0,108.0,167.0,,,,
,Other state agencies,279.0,60.0,13.0,75.0,131.0,,,,
KENTUCKY,State Police,1612.0,945.0,30.0,310.0,327.0,,,,
,Other state agencies,244.0,197.0,7.0,11.0,29.0,,,,
LOUISIANA,Other state agencies,3.0,2.0,0.0,0.0,1.0,,,,
MAINE,State Police,436.0,297.0,25.0,49.0,65.0,,,,
,Other state agencies2,56.0,27.0,1.0,17.0,11.0,,,,
MARYLAND,State Police,2105.0,1319.0,110.0,350.0,326.0,,,,
,Other state agencies,1474.0,916.0,124.0,187.0,247.0,,,,
MASSACHUSETTS,State Police,2614.0,1970.0,125.0,191.0,328.0,,,,
,Other state agencies,260.0,225.0,23.0,6.0,6.0,,,,
MICHIGAN,State Police,2948.0,1713.0,192.0,433.0,610.0,,,,
MINNESOTA,State Patrol,542.0,453.0,43.0,13.0,33.0,,,,
,Other state agencies,411.0,236.0,32.0,76.0,67.0,,,,
MISSISSIPPI1,Other state agencies,126.0,97.0,7.0,4.0,18.0,,,,
MISSOURI,State Highway Patrol,2348.0,1168.0,68.0,528.0,584.0,,,,
,Other state agencies,475.0,403.0,43.0,2.0,27.0,,,,
MONTANA,Highway Patrol,294.0,223.0,16.0,14.0,41.0,,,,
,Other state agencies,43.0,16.0,1.0,11.0,15.0,,,,
NEBRASKA,State Patrol,697.0,419.0,31.0,84.0,163.0,,,,
NEVADA,Highway Patrol,555.0,427.0,33.0,42.0,53.0,,,,
,Other state agencies,89.0,57.0,7.0,1.0,24.0,,,,
NEW HAMPSHIRE,State Police,499.0,306.0,28.0,52.0,113.0,,,,
,Other state agencies,30.0,14.0,3.0,3.0,10.0,,,,
NEW JERSEY,State Police,3974.0,2624.0,127.0,581.0,642.0,,,,
,Other state agencies,576.0,466.0,45.0,33.0,32.0,,,,
,Port Authority of New York and New Jersey3,1834.0,1460.0,191.0,94.0,89.0,,,,
NEW MEXICO,State Police,1067.0,618.0,45.0,171.0,233.0,,,,
NEW YORK,State Police,5890.0,4534.0,512.0,309.0,535.0,,,,
,Other state agencies,298.0,247.0,33.0,7.0,11.0,,,,
NORTH CAROLINA,Highway Patrol,2090.0,1566.0,47.0,280.0,197.0,,,,
,Other state agencies,1131.0,715.0,128.0,116.0,172.0,,,,
NORTH DAKOTA,Highway Patrol,187.0,143.0,7.0,6.0,31.0,,,,
OHIO,Highway Patrol,2623.0,1532.0,155.0,471.0,465.0,,,,
OKLAHOMA,Highway Patrol,1381.0,776.0,17.0,261.0,327.0,,,,
,Other state agencies,122.0,66.0,6.0,40.0,10.0,,,,
OREGON,State Police,1279.0,644.0,69.0,200.0,366.0,,,,
,Other state agencies,56.0,37.0,12.0,1.0,6.0,,,,
PENNSYLVANIA,State Police,6269.0,3959.0,270.0,1023.0,1017.0,,,,
,Other state agencies,453.0,317.0,28.0,76.0,32.0,,,,
RHODE ISLAND,State Police,286.0,208.0,21.0,28.0,29.0,,,,
,Other state agencies,82.0,59.0,5.0,9.0,9.0,,,,
SOUTH CAROLINA1,Other state agencies,593.0,511.0,40.0,15.0,27.0,,,,
SOUTH DAKOTA,Highway Patrol,254.0,167.0,13.0,41.0,33.0,,,,
,Other state agencies,176.0,48.0,3.0,50.0,75.0,,,,
TENNESSEE,Department of Safety,1712.0,847.0,50.0,242.0,573.0,,,,
,Other state agencies,1140.0,644.0,174.0,122.0,200.0,,,,
TEXAS,Department of Public Safety,9652.0,3892.0,295.0,1905.0,3560.0,,,,
UTAH,Highway Patrol,594.0,496.0,23.0,13.0,62.0,,,,
,Other state agencies,134.0,125.0,6.0,1.0,2.0,,,,
VERMONT,State Police,348.0,264.0,33.0,15.0,36.0,,,,
,Other state agencies,121.0,89.0,8.0,9.0,15.0,,,,
VIRGINIA,State Police,2640.0,1791.0,111.0,252.0,486.0,,,,
,Other state agencies,742.0,448.0,57.0,100.0,137.0,,,,
WASHINGTON,State Patrol,2104.0,914.0,86.0,512.0,592.0,,,,
,Other state agencies,110.0,45.0,17.0,14.0,34.0,,,,
WEST VIRGINIA,State Patrol,1145.0,689.0,30.0,170.0,256.0,,,,
,Other state agencies,220.0,174.0,3.0,17.0,26.0,,,,
WISCONSIN,State Patrol,647.0,446.0,45.0,75.0,81.0,,,,
,Other state agencies,388.0,297.0,52.0,15.0,24.0,,,,
