State,University/College,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
ALABAMA,Jacksonville State University,,8514.0,13.0,0.0,3.0,0.0,10.0,57.0,13.0,43.0,1.0,
,Samford University,,5471.0,3.0,0.0,1.0,0.0,2.0,105.0,21.0,84.0,0.0,
,Troy University,,17855.0,1.0,0.0,1.0,0.0,0.0,76.0,14.0,58.0,4.0,
,University of Alabama:,Birmingham,19535.0,28.0,0.0,1.0,5.0,22.0,456.0,8.0,429.0,19.0,
,,Tuscaloosa,37663.0,34.0,1.0,6.0,4.0,23.0,291.0,42.0,245.0,4.0,
,University of North Alabama,,7333.0,7.0,0.0,0.0,2.0,5.0,40.0,6.0,34.0,0.0,
,University of South Alabama,,16443.0,22.0,0.0,0.0,0.0,22.0,168.0,14.0,148.0,6.0,
ALASKA,University of Alaska:,Anchorage,16318.0,2.0,0.0,0.0,1.0,1.0,76.0,3.0,65.0,8.0,0.0
,,Fairbanks,8283.0,4.0,0.0,1.0,0.0,3.0,66.0,0.0,62.0,4.0,0.0
ARIZONA,Arizona State University,Main Campus,97849.0,32.0,0.0,15.0,2.0,15.0,866.0,81.0,764.0,21.0,2.0
,Central Arizona College,,5585.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,1.0,0.0
,Northern Arizona University,,30361.0,24.0,0.0,12.0,1.0,11.0,267.0,18.0,249.0,0.0,0.0
,Pima Community College,,24956.0,3.0,0.0,2.0,1.0,0.0,76.0,8.0,66.0,2.0,0.0
,University of Arizona,,43161.0,22.0,0.0,9.0,4.0,9.0,617.0,64.0,536.0,17.0,1.0
ARKANSAS,Arkansas State University:,Beebe,3989.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0
,,Jonesboro,14085.0,5.0,0.0,2.0,0.0,3.0,62.0,10.0,52.0,0.0,1.0
,,Newport,2735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Arkansas Tech University,,11894.0,1.0,0.0,1.0,0.0,0.0,101.0,10.0,90.0,1.0,0.0
,Henderson State University,,3551.0,5.0,0.0,2.0,2.0,1.0,30.0,2.0,27.0,1.0,2.0
,Southern Arkansas University,,4771.0,3.0,0.0,2.0,1.0,0.0,18.0,3.0,14.0,1.0,0.0
,University of Arkansas Community College,Morrilton,2029.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0
,University of Arkansas:,Fayetteville,27194.0,9.0,0.0,2.0,2.0,5.0,226.0,13.0,170.0,43.0,2.0
,,Little Rock,11746.0,3.0,0.0,0.0,1.0,2.0,80.0,5.0,74.0,1.0,0.0
,,Medical Sciences,2869.0,9.0,0.0,0.0,1.0,8.0,95.0,0.0,88.0,7.0,0.0
,,Pine Bluff,2821.0,3.0,0.0,0.0,1.0,2.0,57.0,12.0,44.0,1.0,0.0
CALIFORNIA,Allan Hancock College,,12012.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
,California State Polytechnic University:,Pomona,25326.0,4.0,0.0,2.0,2.0,0.0,213.0,23.0,159.0,31.0,1.0
,,San Luis Obispo,21306.0,9.0,0.0,4.0,1.0,4.0,147.0,23.0,116.0,8.0,0.0
,California State University:,Bakersfield,9341.0,3.0,0.0,2.0,0.0,1.0,75.0,10.0,65.0,0.0,0.0
,,Channel Islands,6611.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,42.0,2.0,0.0
,,Chico,17557.0,13.0,0.0,8.0,1.0,4.0,207.0,13.0,184.0,10.0,0.0
,,Dominguez Hills,14731.0,7.0,0.0,1.0,3.0,3.0,40.0,5.0,34.0,1.0,0.0
,,East Bay,15855.0,6.0,0.0,3.0,2.0,1.0,122.0,49.0,73.0,0.0,0.0
,,Fresno,24405.0,14.0,0.0,3.0,2.0,9.0,255.0,48.0,195.0,12.0,2.0
,,Fullerton,40235.0,5.0,0.0,3.0,1.0,1.0,187.0,13.0,167.0,7.0,1.0
,,Long Beach,37776.0,9.0,0.0,5.0,2.0,2.0,169.0,7.0,141.0,21.0,0.0
,,Los Angeles,27827.0,3.0,0.0,1.0,1.0,1.0,120.0,6.0,102.0,12.0,0.0
,,Monterey Bay,7274.0,12.0,0.0,4.0,0.0,8.0,39.0,6.0,32.0,1.0,0.0
,,Northridge,39916.0,9.0,0.0,4.0,0.0,5.0,297.0,13.0,258.0,26.0,4.0
,,Sacramento,30510.0,2.0,0.0,1.0,1.0,0.0,200.0,26.0,171.0,3.0,2.0
,,San Bernardino,20767.0,6.0,0.0,1.0,3.0,2.0,120.0,15.0,81.0,24.0,1.0
,,San Jose,32154.0,33.0,0.0,11.0,7.0,15.0,307.0,28.0,269.0,10.0,7.0
,,San Marcos,13144.0,6.0,0.0,5.0,0.0,1.0,20.0,0.0,19.0,1.0,1.0
,,Stanislaus,9762.0,5.0,0.0,4.0,0.0,1.0,47.0,0.0,39.0,8.0,1.0
,College of the Sequoias,,11959.0,1.0,0.0,0.0,1.0,0.0,75.0,5.0,62.0,8.0,1.0
,Contra Costa Community College,,34487.0,11.0,0.0,0.0,4.0,7.0,176.0,20.0,145.0,11.0,1.0
,Cuesta College,,10232.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,0.0
,El Camino College,,24033.0,4.0,0.0,0.0,0.0,4.0,73.0,7.0,61.0,5.0,0.0
,Foothill-De Anza College,,37085.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,18.0,2.0,0.0
,Humboldt State University,,8503.0,4.0,0.0,3.0,0.0,1.0,73.0,7.0,65.0,1.0,1.0
,Irvine Valley College,,14147.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,20.0,0.0,0.0
,Marin Community College,,5621.0,2.0,1.0,0.0,0.0,1.0,23.0,1.0,22.0,0.0,0.0
,Mt. San Jacinto College,,15497.0,1.0,0.0,0.0,0.0,1.0,31.0,4.0,24.0,3.0,0.0
,Pasadena Community College,,27165.0,1.0,0.0,0.0,1.0,0.0,93.0,3.0,86.0,4.0,1.0
,Riverside Community College,,38677.0,2.0,0.0,1.0,1.0,0.0,73.0,7.0,56.0,10.0,1.0
,San Bernardino Community College,,5937.0,11.0,0.0,0.0,4.0,7.0,74.0,12.0,54.0,8.0,1.0
,San Diego State University,,34688.0,15.0,0.0,2.0,11.0,2.0,547.0,73.0,460.0,14.0,1.0
,San Francisco State University,,29045.0,9.0,0.0,2.0,5.0,2.0,189.0,27.0,153.0,9.0,0.0
,San Jose/Evergreen Community College,,17213.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,22.0,7.0,0.0
,Santa Rosa Junior College,,21217.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,47.0,1.0,0.0
,Sonoma State University,,9323.0,4.0,0.0,4.0,0.0,0.0,71.0,8.0,47.0,16.0,0.0
,State Center Community College District,,39661.0,4.0,0.0,1.0,1.0,2.0,162.0,33.0,119.0,10.0,2.0
,University of California:,Berkeley,40154.0,71.0,0.0,16.0,29.0,26.0,780.0,46.0,704.0,30.0,17.0
,,Davis,36460.0,17.0,0.0,4.0,2.0,11.0,566.0,25.0,535.0,6.0,4.0
,,Irvine,32754.0,15.0,0.0,6.0,0.0,9.0,503.0,21.0,473.0,9.0,1.0
,,Los Angeles,43548.0,108.0,0.0,20.0,18.0,70.0,831.0,169.0,635.0,27.0,2.0
,,"Medical Center, Sacramento4",,5.0,0.0,1.0,0.0,4.0,168.0,6.0,159.0,3.0,4.0
,,Merced,7336.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,42.0,1.0,2.0
,,Riverside,22715.0,13.0,0.0,6.0,6.0,1.0,296.0,27.0,262.0,7.0,0.0
,,San Diego,34979.0,8.0,0.0,2.0,2.0,4.0,608.0,25.0,566.0,17.0,9.0
,,San Francisco,3145.0,22.0,0.0,2.0,4.0,16.0,419.0,25.0,389.0,5.0,0.0
,,Santa Barbara,24346.0,56.0,0.0,44.0,0.0,12.0,300.0,35.0,263.0,2.0,1.0
,,Santa Cruz,18783.0,13.0,0.0,6.0,0.0,7.0,219.0,24.0,189.0,6.0,6.0
,Ventura County Community College District,,33976.0,1.0,0.0,1.0,0.0,0.0,64.0,15.0,46.0,3.0,0.0
,West Valley-Mission College,,16131.0,3.0,0.0,0.0,0.0,3.0,22.0,8.0,10.0,4.0,0.0
COLORADO,Adams State University,,3370.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,17.0,2.0,0.0
,Aims Community College,,5652.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Arapahoe Community College,,10261.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0
,Auraria Higher Education Center4,,,5.0,0.0,0.0,2.0,3.0,130.0,22.0,99.0,9.0,4.0
,Colorado School of Mines,,6069.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,38.0,2.0,0.0
,Colorado State University,Fort Collins,31856.0,11.0,0.0,5.0,0.0,6.0,395.0,23.0,365.0,7.0,6.0
,Fort Lewis College,,3600.0,4.0,0.0,3.0,1.0,0.0,35.0,4.0,31.0,0.0,0.0
,Pikes Peak Community College,,13154.0,2.0,0.0,1.0,0.0,1.0,26.0,2.0,24.0,0.0,0.0
,Red Rocks Community College,,7738.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,15.0,1.0,0.0
,University of Colorado:,Boulder,33977.0,18.0,0.0,11.0,2.0,5.0,510.0,17.0,485.0,8.0,5.0
,,Colorado Springs,12559.0,2.0,0.0,1.0,1.0,0.0,69.0,2.0,62.0,5.0,0.0
,,Denver,23960.0,4.0,0.0,0.0,0.0,4.0,93.0,1.0,83.0,9.0,0.0
,University of Northern Colorado,,13087.0,3.0,0.0,2.0,0.0,1.0,130.0,3.0,125.0,2.0,1.0
CONNECTICUT,Central Connecticut State University,,11784.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,32.0,2.0,0.0
,Eastern Connecticut State University,,5362.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,33.0,1.0,0.0
,Southern Connecticut State University,,10320.0,1.0,0.0,1.0,0.0,0.0,39.0,3.0,35.0,1.0,0.0
,University of Connecticut:,Health Center4,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,"Storrs, Avery Point and Hartford4",,15.0,0.0,11.0,3.0,1.0,194.0,11.0,178.0,5.0,1.0
,Western Connecticut State University,,5721.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,32.0,0.0,0.0
,Yale University,,12458.0,3.0,0.0,0.0,2.0,1.0,253.0,33.0,217.0,3.0,0.0
DELAWARE,Delaware State University,,4328.0,12.0,0.0,5.0,3.0,4.0,99.0,9.0,89.0,1.0,0.0
,University of Delaware,,23009.0,3.0,0.0,1.0,0.0,2.0,163.0,8.0,154.0,1.0,4.0
FLORIDA,Florida A&M University,,9619.0,1.0,0.0,1.0,0.0,0.0,61.0,22.0,36.0,3.0,0.0
,Florida Atlantic University,,30541.0,13.0,0.0,7.0,0.0,6.0,180.0,19.0,141.0,20.0,0.0
,Florida Gulf Coast University,,14821.0,6.0,0.0,4.0,0.0,2.0,69.0,2.0,65.0,2.0,0.0
,Florida International University,,55003.0,11.0,0.0,3.0,3.0,5.0,303.0,23.0,265.0,15.0,0.0
,Florida Polytechnic University4,,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
,Florida SouthWestern State College,,16627.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0
,Florida State University:,Panama City4,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
,,Tallahassee,41173.0,25.0,0.0,13.0,8.0,4.0,441.0,32.0,385.0,24.0,0.0
,New College of Florida,,875.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,27.0,0.0,0.0
,Pensacola State College,,9643.0,2.0,0.0,1.0,1.0,0.0,38.0,7.0,30.0,1.0,1.0
