,,New houses no.,New other residential building no.,Total dwellings no.,Value of new houses $'000,Value of new other residential building $'000,Value of alterations & additions to residential buildings $'000,Value of total residential building $'000,Value of non-residential building $'000,Value of total building $'000
4,South Australia,3263.0,1066.0,4345.0,666685.7,179666.6,133704.7,980057.0,443608.9,1423665.9
405,Adelaide,2165.0,621.0,2798.0,446027.4,107941.9,94885.8,648855.0,328989.1,977844.1
40505,Northern Adelaide,1052.0,125.0,1188.0,188619.8,18436.8,13429.9,220486.5,73989.4,294475.9
405052030,Gawler (T),29.0,26.0,55.0,5934.4,3820.3,847.2,10601.8,6486.3,17088.2
405055681,Playford (C) - East Central,113.0,0.0,113.0,18649.9,0.0,422.5,19072.4,11081.1,30153.5
405055683,Playford (C) - Elizabeth,42.0,4.0,55.0,5285.7,700.0,159.0,6144.7,14722.8,20867.5
405055684,Playford (C) - Hills,9.0,0.0,9.0,2269.7,0.0,507.1,2776.8,160.0,2936.8
405055686,Playford (C) - West,192.0,0.0,192.0,31370.1,0.0,29.6,31399.7,5050.0,36449.7
405055688,Playford (C) - West Central,171.0,10.0,181.0,27257.1,1261.7,293.0,28811.8,129.0,28940.8
405055891,Port Adel. Enfield (C) - East,183.0,13.0,197.0,34988.6,2001.1,1754.3,38743.9,9192.9,47936.8
405055894,Port Adel. Enfield (C) - Inner,55.0,2.0,57.0,9511.3,240.0,852.9,10604.2,1971.0,12575.2
405057141,Salisbury (C) - Central,41.0,0.0,41.0,5831.1,0.0,761.3,6592.4,1447.8,8040.2
405057143,Salisbury (C) - Inner North,27.0,2.0,29.0,5568.1,624.5,706.2,6898.8,1436.9,8335.7
405057144,Salisbury (C) - North-East,13.0,18.0,31.0,2621.0,3089.2,1006.1,6716.3,66.0,6782.3
405057146,Salisbury (C) - South-East,26.0,0.0,27.0,4008.1,0.0,1588.5,5596.6,1995.4,7592.0
405057148,Salisbury (C) Bal,66.0,50.0,116.0,14497.0,6700.0,357.3,21554.2,12376.2,33930.4
405057701,Tea Tree Gully (C) - Central,19.0,0.0,19.0,5384.0,0.0,758.3,6142.3,60.0,6202.3
405057704,Tea Tree Gully (C) - Hills,31.0,0.0,31.0,6383.1,0.0,502.7,6885.8,126.0,7011.8
405057705,Tea Tree Gully (C) - North,10.0,0.0,10.0,2906.7,0.0,1528.1,4434.8,340.0,4774.8
405057708,Tea Tree Gully (C) - South,25.0,0.0,25.0,6154.0,0.0,1355.9,7509.9,7348.0,14857.9
40510,Western Adelaide,295.0,167.0,463.0,60969.6,31649.5,12501.8,105120.8,65098.3,170219.1
405101061,Charles Sturt (C) - Coastal,47.0,25.0,72.0,12669.1,8116.8,1993.2,22779.1,872.0,23651.1
405101064,Charles Sturt (C) - Inner East,18.0,14.0,33.0,3566.3,2345.3,1987.0,7898.7,31491.5,39390.2
405101065,Charles Sturt (C) - Inner West,47.0,29.0,76.0,13459.3,4538.0,900.9,18898.2,4958.8,23857.0
405101068,Charles Sturt (C) - North-East,48.0,84.0,132.0,8230.4,13554.5,2186.1,23970.9,3422.7,27393.6
405105895,Port Adel. Enfield (C) - Coast,48.0,8.0,56.0,7205.5,1793.9,3732.2,12731.7,3316.0,16047.7
405105896,Port Adel. Enfield (C) - Park,35.0,0.0,35.0,5173.3,0.0,492.0,5665.3,6459.6,12124.9
405105897,Port Adel. Enfield (C) - Port,7.0,5.0,12.0,1503.6,850.0,400.3,2753.9,6250.0,9003.9
405108411,West Torrens (C) - East,13.0,0.0,13.0,2107.4,0.0,150.0,2257.4,2432.7,4690.2
405108414,West Torrens (C) - West,32.0,2.0,34.0,7054.5,451.0,660.0,8165.5,5895.0,14060.5
