PAYMENT DATE,BUSINESS UNIT,PAYMENT TYPE,PAYEE,PAYMENT AMOUNT
2013-05-01 00:00:00,Utility Debt Service L4,INTEREST EXPENSE,May Revenue Debt payment,362339.37
2013-05-01 00:00:00,Utility Debt Service L4,DEBT SERV. EXP.-PRIN.,May Revenue Debt payment,1680000
2013-05-02 00:00:00,Muni Court Operations L4,CREDIT CARD FEES,AUTHNET GATEWAY MUNCT FEES,64.3
2013-05-02 00:00:00,Muni Court Operations L4,CREDIT CARD FEES,AUTHNET GATEWAY MUNCT FFES,41.02
2013-05-02 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,AUTHNET GATEWAY UB FEES,231.4
2013-05-02 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,AUTHNET GATEWAY ALRM PERMIT,39.95
2013-05-03 00:00:00,General Fund,FIRE PROF TRAINING PROG,GST PUBLIC SAFETY SUPPLY,239.92
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,129
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,5
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,235
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,340
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,240
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,94
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,320
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,123
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,98
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,340
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,123
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,230
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,309
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,205
2013-05-03 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,5
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAND PRAIRIE,310
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COPPELL,302.1
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF WILMER,952.2
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,320
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,320
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COPPELL,277.1
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAPEVINE,653
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF PLANO,1108.1000000000001
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COCKRELL HILL,607.1
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,DENTON CO. SHERIFFS OFFICE,1000
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF FORT WORTH,221
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF SOUTHLAKE,197
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COPPELL,262
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAPEVINE,963
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF IRVING,1807
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,TOWN OF ADDISON,3666
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,365
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,285
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,280
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF FARMERS BRANCH,386.1
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COCKRELL HILL,725
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,DENTON CO. SHERIFFS OFFICE,1000
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAND PRAIRIE,135
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF RICHARDSON,802.1
2013-05-03 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF CEDAR HILL,277
2013-05-03 00:00:00,General Fund,DCEHD HEALTH & SAFETY INSPECTIONS,DALLAS CO. HEALTH & H.S. DEPT,368
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,370
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,100
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,20
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,90
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,129
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,32.5
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,205
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,100
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,100
2013-05-03 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,95
2013-05-03 00:00:00,General Fund,CHARGES FOR LOST BOOKS,ONE-TIME VENDOR,24.5
2013-05-03 00:00:00,General Fund,INTEREST INCOME,ONE-TIME VENDOR,60.82
2013-05-03 00:00:00,General Fund,INTEREST INCOME,ONE-TIME VENDOR,104.12
2013-05-03 00:00:00,General Fund,INTEREST INCOME,ONE-TIME VENDOR,311.69
2013-05-03 00:00:00,City Council L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1.98
2013-05-03 00:00:00,City Council L4,OTHER PROFESSIONAL SERVICES,PENNINGTON GROUP INC,2500
2013-05-03 00:00:00,City Council L4,ELECTRICITY,GEXA ENERGY,647
2013-05-03 00:00:00,City Council L4,TRAVEL MEALS & LODGING,"5540MARCHANT, MATTHEW",14
2013-05-03 00:00:00,City Mgr Office AF L4,POSTAGE & COURIERS,U S POSTAL SERVICE,191
2013-05-03 00:00:00,City Mgr Office AF L4,ELECTRICITY,GEXA ENERGY,422.45
2013-05-03 00:00:00,City Mgr Office AF L4,TRAVEL MEALS & LODGING,EMPLOYEE,50.97
2013-05-03 00:00:00,Organizational Development L4,ELECTRICITY,GEXA ENERGY,194.51
2013-05-03 00:00:00,Dispatch,ELECTRICITY,GEXA ENERGY,873.45
