2009 Rank,NAME OF EMPLOYER,EMPLOYEES(1),BUSINESS,2008 Rank
1,HARVARD UNIVERSITY,11382,HIGHER EDUCATION,1
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,8167,HIGHER EDUCATION,2
3,CITY OF CAMBRIDGE(2),2657,GOVERNMENT,3
4,MT. AUBURN HOSPITAL,2056,MEDICAL,4
5,NOVARTIS INSTITUTE FOR BIOMEDICAL RESEARCH,1946,BIOTECHNOLOGY,5
6,BIOGEN IDEC,1654,BIOTECHNOLOGY,6
7,GENZYME CORPORATION,1386,BIOTECHNOLOGY,8
8,FEDERAL GOVERNMENT,1292,GOVERNMENT,9
9,DRAPER LABORATORY,1199,RESEARCH & DEVELOPMENT,10
10,CAMBRIDGE HEALTH ALLIANCE,1154,MEDICAL,7
11,VERTEX PHARMACEUTICALS,1098,BIOTECHNOLOGY,11
12,MILLENIUM PHARMACEUTICALS,1003,BIOTECHNOLOGY,14
13,WYETH CAMBRIDGE,810,BIOTECHNOLOGY,18
14,"CAMP, DRESSER & MCKEE",668,ENGINEERING CONSULTANTS,15
15,EF INTERNATIONAL,650,TRAVEL & EXCHANGE PROGRAMS,16
16,QUEST DIAGNOSTICS,640,CLINICAL TESTING SERVICES,13
17,WHOLE FOODS,622,SUPERMARKET,17
18,AKAMAI,618,INTERNET NETWORK SERVICES,19
19,LESLEY UNIVERSITY,531,HIGHER EDUCATION,21
20,COMMONWEALTH OF MASSACHUSETTS,526,GOVERNMENT,12
21,FORRESTER RESEARCH,519,BUSINESS SERVICES,20
22,SHIRE HGT(3),491,BIOTECHNOLOGY,--
23,BBN TECHNOLOGIES,478,RESEARCH & DEVELOPMENT,23
24,ITA SOFTWARE,443,SOFTWARE,22
25,YOUVILLE HOSPITAL & REHABILITATION CENTER,418,MEDICAL,24
