Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Mining ;,,,Original,A2712242R,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Manufacturing ;,,,Original,A2712246X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Electricity, gas, water and waste services ;",,,Original,A2712238X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Construction ;,,,Original,A2712258J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Wholesale trade ;,,,Original,A2712254X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Retail trade ;,,,Original,A2712252V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Accommodation and food services ;,,,Original,A2712228V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Transport, postal and warehousing ;",,,Original,A2712234R,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Information media and telecommunications ;,,,Original,A2712244V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Financial and insurance services ;,,,Original,A2712232K,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Rental, hiring and real estate services ;",,,Original,A2712260V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Professional, scientific and technical services ;",,,Original,A2712236V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Administrative and support services ;,,,Original,A2712248C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Public administration and safety ;,,,Original,A2712250R,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Education and training ;,,,Original,A2712230F,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Health care and social assistance ;,,,Original,A2712240K,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Arts and recreation services ;,,,Original,A2712226R,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Other services ;,,,Original,A2712256C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  All industries ;,,,Original,A2712262X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  Electricity, gas, water and waste services ;",,,Original,A2712428L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  Professional, scientific and technical services ;",,,Original,A2712426J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  Public administration and safety ;,,,Original,A2712440C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  Education and training ;,,,Original,A2712420V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  Health care and social assistance ;,,,Original,A2712430X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Public ;  All industries ;,,,Original,A2712452L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Mining ;,,,Original,A2712356L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Manufacturing ;,,,Original,A2712360C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Electricity, gas, water and waste services ;",,,Original,A2712352C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Construction ;,,,Original,A2712372L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
