IRN,DISTRICT,COUNTY,COUNTY NUMBER,DISTRICT TYPE,CALCULATED OPPORTUNITY GRANT,CAPPED OPPORTUNITY GRANT,CALCULATED TARGETED ASSISTANCE,CAPPED TARGETED ASSISTANCE,CALCULATED K-3 LITERACY FUNDING,CAPPED K-3 LITERACY FUNDING,CALCULATED ECONOMIC DISADVANTAGED FUNDING,CAPPED ECONOMIC DISADVANTAGED FUNDING,CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING,CAPPED LIMITED ENGLISH PROFICIENCY FUNDING,CALCULATED GIFTED EDUCATION FUNDING,CAPPED GIFTED EDUCATION FUNDING,CALCULATED TRANSPORTATION FUNDING,CAPPED TRANSPORTATION FUNDING,CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING,CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING,CALCULATED CAREER TECH EDUCATION FUNDING,CAPPED CAREER TECH EDUCATION FUNDING,CALCULATED FUNDING BEFORE GUARANTEE,CAPPED FUNDING BEFORE GUARANTEE,TRANSITIONAL GUARANTEE BASE,TRANSITIONAL GUARANTEE,TOTAL CALCULATED STATE FUNDING,PRESCHOOL SPECIAL EDUCATION FUNDING,SPECIAL EDUCATION TRANSPORTATION FUNDING,TOTAL ADDITIONAL AID ITEMS,EDUCATION SERVICE CENTER TRANSFER,OPEN ENROLLMENT ADJUSTMENT,COMMUNITY SCHOOL TRANSFER,STEM SCHOOL TRANSFER,SCHOLARSHIP TRANSFER,OTHER ADJUSTMENTS,TOTAL TRANSFERS & ADJUSTMENTS,NET STATE FOUNDATION FUNDING,STATEWIDE TOTAL ADM,STATEWIDE FORMULA ADM,STATEWIDE ECONOMIC DISADVANTAGED RATIO,STATEWIDE MEDIAN INCOME,STATEWIDE 3 YEAR AVERAGE VALUATION,STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION,STATEWIDE 3 YEAR FEDERAL GROSS INCOME,ADJUSTED TOTAL ADM,TOTAL ADM,TUITION KINDERGARTEN ADM,JOINTURE JVS ADM,FORMULA ADM,CATEGORY 1 SPECIAL EDUCATION ADM,CATEGORY 2 SPECIAL EDUCATION ADM,CATEGORY 3 SPECIAL EDUCATION ADM,CATEGORY 4 SPECIAL EDUCATION ADM,CATEGORY 5 SPECIAL EDUCATION ADM,CATEGORY 6 SPECIAL EDUCATION ADM,CATEGORY 1 CAREER TECH FTE,CATEGORY 2 CAREER TECH FTE,CATEGORY 3 CAREER TECH FTE,CATEGORY 4 CAREER TECH FTE,CATEGORY 5 CAREER TECH FTE,CATEGORY 1 LEP ADM,CATEGORY 2 LEP ADM,CATEGORY 3 LEP ADM,K-3 FORMULA ADM,K-3 E-SCHOOL FORMULA ADM,PRESCHOOL AUTISM SCHOLARSHIP ADM,BRICK & MORTAR & STEM SCHOOL ADM,E-SCHOOL FORMULA ADM,NET FORMULA ADM,JON PETERSON SCHOLARSHIP ADM,AUTISM SCHOLARSHIP ADM,EDCHOICE SCHOLARSHIP ADM,ECONOMIC DISADVANTAGED ADM,ECONOMIC DISADVANTAGED RATIO,3 YEAR AVERAGE FEDERAL GROSS INCOME,3 YEAR AVERAGE TOTAL REAL VALUATION,3 YEAR AVERAGE AGRICULTURAL REAL VALUATION,3 YEAR AVERAGE ADJSUTED TOTAL VALUATION,3 YEAR AVERAGE TOTAL VALUATION,EXEMPT PROPERTY VALUATION,POTENTIAL PROPERTY VALUATION,MEDIAN INCOME TY11,STATE SHARE INDEX,ECONIMC DISADVANTAGED INDEX,INCOMING OPEN ENROLLMENT ADM,OUTGOING OPEN ENROLLMENT ADM,RESIDENT COMMUNITY SCHOOL ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM
442,Manchester Local SD,Adams,1,3,244105.05,244105.05,0,0,23265.45,23265.45,900140.13,900140.13,0,0,50499,50499,240795.8,240795.8,38276.28,38276.28,7796.03,7796.03,1504877.74,1504877.74,1486081.69,0,1504877.74,28667.28,19854.63,48521.91,-65466.86,218904.25,-184064,0,0,-494466.9,-525093.51,1028306.14,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,849.8,849.8,0,0,849.8,12,97.5,6,2,12,4,24.93,6.75,0,0,0,0,0,0,255.2,3,0,1,24.2,824.85,0,0,0,811.9,0.955401271,60414429,103564910,13143223,293684173,293684173,15300270,308984443,24923,0.05,4.221326882,77.15,38.9,26.43,0,7,0,0,0,0
43489,Akron City SD,Summit,77,1,104630734.46,92859212.84,18006729.97,15980875.78,1467342.31,1302258.39,24467393.44,21714679.79,916558.38,813440.61,1187689.1,1054067.68,2983667.67,2647988.97,20430748.76,20430748.76,2846029.05,2846029.05,176936893.14,159649301.87,150258166.48,0,159649301.87,1640257.96,1385123.69,3025381.65,0,-7678987.1,-29224874.26,0,-5568962,-33071.04,-42505894.4,120168789.12,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,27156.22,27156.22,0,0.5,27155.82,427.03,3013.98,499.07,19.5,281.05,363.36,285.54,343.51,364.3,113.54,233.49,242.4,834.15,108.6,8758.2,117.95,2.23,2569.66,1139.36,23050.21,44,14.11,983.12,24695.03,0.909369198,2810142881,2448439403,606957,2540143056,2540143056,704050390,3244193447,24287,0.670610976,3.824351778,524.6,1824.58,3569.34,57,171,2,9,17,19
43497,Alliance City SD,Stark,76,1,13778450.04,11443344.69,3076496.82,2555106.96,187258.62,155522.93,1568383.5,1302581.42,10156.8,8435.47,151921.75,126174.77,1042503.54,865825.06,2273369.29,2273369.29,250411.86,250411.86,22338952.22,18980772.45,17864256.44,0,18980772.45,322665.84,71657.62,394323.46,-94085.88,-1416016.95,-861031.23,0,-46750,196482.24,-2221401.82,17153694.09,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3152.35,3152.35,0,0,3152.35,41.8,361.28,22.43,0,28,36,30.23,29.31,3.48,0,23.67,1,9.2,2,1045.81,11.81,0,6.26,109.51,3031.14,0,1,6,2348.84,0.745107618,310197058,229486713,1010260,239906406,239906406,87105580,327011987,23491,0.760809457,2.567529022,112,356.11,116.6,22,38,2,0,0,0
43505,Ashland City SD,Ashland,3,1,9736005.18,7650655.54,1094903.55,860386.76,154230.64,121196.06,383552.03,301399.23,12442,9777.06,162521.05,127710.75,692316.82,544029.86,896331.66,896331.66,74061.46,74061.46,13206364.39,10585548.38,9962869.06,0,10585548.38,324289.6,45230.34,369519.94,-21359.85,-232291.05,-1151245.71,0,-15216,-135534.11,-1555646.72,9399421.6,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3495.09,3495.09,0,91.1,3422.21,44,251.02,10.9,4,12,18,11.43,7.14,12.57,0.24,24.56,11,7,1,1057.39,14.59,0,93.68,83.6,3266.35,2,0,0,1571.92,0.449750936,500384579,437922093,18572980,454181913,454181913,93731660,547913573,28316,0.495203958,0.935451995,89.61,125.6,177.95,29,33,0,0,3,1
43513,Ashtabula Area City SD,Ashtabula,4,1,14124225.76,14124225.76,2860742.91,2860742.91,191650.93,191650.93,1762877.54,1762877.54,142036.48,142036.48,196449.55,196449.55,719776.4,719776.4,2732694.61,2732694.61,20640.18,20640.18,22751094.36,22751094.36,22953190.51,202096.15,22953190.51,567917.58,173043.93,740961.51,-23554.96,-2386089.54,-960868.55,0,-447799,-38472.33,-3856784.38,19837367.64,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4175.36,4175.36,0,136.81,4065.91,79.8,469.67,83,1,21,60.98,0,0,1.47,0,22.02,28,151.6,29.8,1211.72,25.64,0,7.71,127.6,3866.54,31,1.98,33,2945.49,0.705445758,451160727,414870957,23321877,443774430,443774430,62470280,506244710,25084,0.60466782,2.301466229,29.72,458.92,128.54,12,77,1,0,6,5
43521,Athens City SD,Athens,5,1,5042029.04,5042029.04,0,0,97034.88,97034.88,189998.96,189998.96,30439.44,30439.44,117189.55,117189.55,982913.2,982913.2,860628.11,860628.11,37387.06,37387.06,7357620.24,7357620.24,7611524.99,253904.75,7611524.99,247784.2,41171.16,288955.36,-17129.06,1599082.65,-559072.56,0,-1750,-83529.66,937601.37,8838081.72,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2461.59,2461.59,0,49.6,2421.91,36.7,227.19,33.2,2,28.1,27.03,12.16,0,14.53,0,10.83,22,40,8,757.32,18.27,0,2,74.15,2346.16,0,0.1,0,987.91,0.401330035,466395744,482050947,16945893,463646290,508059350,281186950,789246300,27223,0.362374233,0.744870337,399.2,116.15,74.14,15,20,1,0,0,10
43539,Barberton City SD,Summit,77,1,16076578.76,13882966.43,3496684.53,3019569.94,215480.04,186078.28,1518278.82,1311113.15,27775.65,23985.73,196872.15,170009.4,682969.49,589779.87,2705893.22,2705893.22,346605.62,346605.62,25267138.28,22236001.64,20928001.54,0,22236001.64,182289.95,95159.92,277449.87,-125752.3,-1112838.75,-963649.46,0,-200304,93441.4,-2309103.11,20204348.4,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4076.43,4076.43,0,0,4076.43,84,479.22,54.48,6.83,21.71,43.02,47.05,37.33,16.22,13.37,30.03,10,22,1,1267.55,12.77,3.89,42.71,98.55,3941.13,2,6.6,0,2751.2,0.674904267,387316066,359357233,349323,369319253,369319253,46868800,416188053,25674,0.685818783,2.106501156,288.76,481.81,133.38,20,15,0,0,0,1
43547,Bay Village City SD,Cuyahoga,18,1,3260354.49,2988433.45,0,0,71491.65,65529.08,1317.81,1207.9,2626.79,2407.71,120189.45,110165.37,423471,388152.55,479671.29,479671.29,16555.04,16555.04,4375677.52,4052122.39,3813762.25,0,4052122.39,150099.18,40607.2,190706.38,-15999.56,-5745,-138603.35,0,-58266,-140215.07,-358828.98,3883999.79,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2429.89,2467.79,75.8,0,2429.89,47.4,156.3,8,2,13,44.01,4.29,3.41,3.27,0.99,18.04,1,6,4,621.66,1,0.65,7,14.18,2407.65,2,1.46,0,187.5,0.075978912,718120353,490522690,0,497117246,497117246,35421950,532539197,54934,0.233492006,0.026697064,0,1,17.39,13,19,0,1,1,0
43554,Beachwood City SD,Cuyahoga,18,1,394468.94,368988.17,0,0,29603.03,27690.82,1748.68,1635.72,4248.75,3974.3,71236.8,66635.25,451417.82,422258.43,69433.49,69433.49,4579.96,4579.96,1026737.47,965196.14,908419.91,0,965196.14,32965.71,33862.79,66828.5,-9626.83,0,-66789.73,0,-240607.5,451368.88,134344.82,1166369.46,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1371.36,1371.36,0,0,1371.36,15,104.98,23.1,2.7,6,25.48,7.2,7.63,0,12.14,0,34,24.2,9,320.9,0,1.9,4,3,1345.36,20,1.9,0,138.27,0.100826916,646749749,703566763,0,714116563,714116563,93253820,807370383,52448,0.05,0.047014338,0,0,6.36,2,5,0,0,1,0
43562,Bedford City SD,Cuyahoga,18,1,7113733.96,3267052.5,243633.88,111891.26,136185.18,62544.39,1203818.85,552865.68,24327.17,11172.48,172570.75,79254.82,930086.92,427151.59,1338946.86,1338946.86,114352.93,114352.93,11277656.5,5965232.51,5614336.5,0,5965232.51,115355.58,308834.39,424189.97,-22350.45,-180448.85,-1349685.03,0,-192166,-199799.55,-1944449.88,4444972.6,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3657.35,3658.15,1.6,1.5,3656.15,61,385.82,59.4,4,28.3,54.5,27.84,38.21,4.18,6.33,0.4,12,45.2,4,1081.94,20.67,1,86.29,128.49,3460.94,2,1,0,2375.53,0.649380151,540794087,670388533,0,705941243,705941243,87854890,793796133,29699,0.338582738,1.950183033,0,30.23,198.11,2,23,0,0,0,0
