Country Name,Country Code,Indicator Name,Indicator Code,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Aruba,ABW,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.02498,78.84313,74.25168,79.27661,74.80676,73.45475,75.71885,,81.81818,77.85939,80.95112,,80.68243,,
Andorra,AND,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,2.37797,,,,,,,,,,,,,,,,,,,8.00263,,,,,,,,,,,,,,14.48314,,,,,,
Angola,AGO,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,4.10316,,,,,,,,,,4.33107,,,,,,,,,,,,,,,,,,,,,,,,,,10.28679,10.84822,12.0703,,,
Albania,ALB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1994,63.85349,,,,,,,,,,,,
Andean Region,ANR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2387771606445,,
United Arab Emirates,ARE,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,37.21809,,,,,,,,,,,,,,73.08386,76.57524,,75.86768000000001,75.13174,79.1376,,,,,,,,,,,,,,
Argentina,ARG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,42.76102,44.48704,,,,,,,,,,,,,,,,,,,,,,,77.27994,,,,,,,,,,,86.63621,87.60881,88.87261,,
Armenia,ARM,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.65446,90.02774,96.41642,95.74443,91.17838,90.69669,
American Samoa,ASM,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.55565,,,,,,,,,85.09118,85.12478,,84.97984,
Australia,AUS,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.94903,88.00391,87.84171,88.84535,,,,,,88.25856,86.45111,86.29536,85.64895,85.03373,84.87722,85.05715,85.70936,85.80883,86.08914,85.77884,
Austria,AUT,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.51048,84.26367,85.92156,86.95659,85.01037,84.91275,85.92489,
Burundi,BDI,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,1.31156,1.38733,,,1.47794,,1.93391,1.57341,1.64804,1.906,2.08114,2.38874,,,,,,3.94399,,,,,,,,,,,,,,,,11.52939,13.33825,15.05561,16.99342,
Belgium,BEL,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,79.25169,,,,,,,,,,,,,,,,96.27402,98.03937,98.77963,97.53089,,,,,,,,83.90105,84.13798,,,,,,,,
Benin,BEN,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87175,12.01869,,,,,,,,,,,,
Burkina Faso,BFA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,1.67287,,,2.39686,,,3.63423,,,4.65138,4.78067,4.91482,,,,,6.44472,,6.32618,,7.67545,8.56318,9.41634,10.1525,10.81852,12.5083,13.44775,14.3851,16.37749,17.88039,
Bangladesh,BGD,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,6.45496,,,,6.14832,,,,,,,,,,,,,,,,,39.03884,43.13128,45.30786,47.69945,49.22541,49.08955,44.16096,43.63106,44.09571,44.83157,,46.54747,48.77526,49.29389,51.28162,
Bulgaria,BGR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99363,84.68651,85.38203,86.24579,86.75121,84.10505,85.37903,85.98595,85.50356,85.46911,84.20741,83.04826,83.03883,84.31208,84.46896,
Bahrain,BHR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,44.60422,46.1813,49.2105,,,56.03,66.55383,66.70629,71.9228,76.06356,73.71632,,76.36445,,,,,93.67712,94.31907,,90.12276,89.90209,90.24916,93.77909,95.2392,92.17061,91.15515,91.06498,90.85096,88.77019,,84.94519,86.34644,88.78819,91.95671,87.3563,
"Bahamas, The",BHS,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.43972,90.49794,,,,,,70.43137,,,,,80.20225,83.32494,85.74573,89.60085,88.07767,86.14388,85.88633,,,
Bosnia and Herzegovina,BIH,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.96546,94.46754,95.83108,
Belize,BLZ,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27801,60.14283,61.81956,,70.26631,,68.47102,69.86537,70.18927,70.42021,71.14169,71.32857,72.82131,74.52119,
Bermuda,BMU,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,67.49644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78119,78.60769,,
Bolivia,BOL,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96543,67.55098,66.97321,68.15785,68.74474,69.00077,,
Brazil,BRA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,84.99325,,,87.08086,88.47758,86.14247,86.89723,90.26791,,,,84.61699,74.06361,,,,,,,,,99.30419,95.53254,89.36035,90.78268,92.02982,97.35687,93.63051,93.13278,95.19241,90.62533,87.27585,88.4983,96.31709,,
Brunei Darussalam,BRN,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,51.3873,51.10962,52.30543,54.15706,54.14983,55.25988,57.62781,55.18335,,,,,,,73.18849,69.10944,68.1722,70.06595,,,,,,,,,,,86.88452,89.80986,89.24329,89.31487,91.02077,,92.63919,95.00192,
Bhutan,BTN,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32479,19.14317,21.52398,23.87026,,,,35.00584,38.34991,,45.84018,49.35674,54.6223,57.07697,60.80906,
Botswana,BWA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,5.47869,6.13365,8.19238,9.66882,11.58613,13.25287,14.54068,14.546,14.90984,16.56874,17.46823,,,20.85429,23.75818,25.03265,,,30.09113,33.91257,42.43583,41.79182,44.74692,43.21149,44.17416,,,61.53781,56.81935,57.21966,56.12429,57.16047,58.6756,59.20112,59.24845,62.80637,62.81472,65.2531,,,,,
Sub-Saharan Africa (IFC classification),CAA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,1.51396,1.62807,1.82041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96402,,10.19672,9.56539,
Canada,CAN,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.87625,,,,,,,,,,,,,,,,,,,
East Asia and the Pacific (IFC classification),CEA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3661346435547,83.1739883422852,83.1153564453125,84.4318542480469,85.4007034301758,86.7814102172852,87.0774230957031,87.2294311523438,87.0764389038086,87.9438400268555,88.1693115234375,88.1964569091797,88.1588897705078,88.3043518066406,88.7562103271484,88.8646697998047,88.6849517822266,
