Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,البلد
Bahrain,3963,4504,4909,5373,4929,4669,4724,4981,4896,5067,4960,6769,7559,البحرين
Egypt,592381,457534,510517,537092,550709,522751,522887,614848,660159,759004,864857,865853,…,مصر
Iraq,171134,…,…,256494,262554,…,…,…,…,249430,245022,…,…,العراق
Jordan,45618,49794,46873,48784,53754,56418,59335,60548,60922,63389,62107,64665,...,الأردن
Kuwait,10853,11916,11973,12246,12359,12419,12584,13315,14709,14526,13993,19860,…,الكويت
Lebanon,32564,32225,31653,30636,30014,29705,29078,35796,37593,40565,41758,42500,38691,لبنان
Libya,27655,28661,33323,36721,39105,43979,47219,59589,65326,…,…,…,…,ليبيا
Morocco,…,…,…,…,…,…,…,…,307575,314400,313356,…,…,المغرب
Oman,…,…,…,…,…,…,…,…,29288,24924,…,26540,…,عمان
Palestine,23890,24635,…,…,…,…,…,…,35777,38316,37228,36284,,فلسطين
Qatar,2096,2194,2351,2550,2649,2734,3019,3206,3235,3153,2977,3293,…,قطر
Saudi Arabia,79595,81576,90982,98343,111063,105066,115549,130451,144436,148043,142607,162880,…,المملكة العربية السعودية
Sudan,…,…,…,…,…,…,…,…,29288,…,…,…,…,السودان
Syrian Arab Republic,82672,153842,174449,174449,178166,179075,205557,237592,…,241422,227808,…,…,الجمهورية العربية السورية
Tunis,…,…,61322,63676,68976,73971,81340,76809,78748,81605,87081,91590,…,تونس
United Arab Emirates,8970,10030,11285,12277,12794,12984,13190,13321,15041,15155,15104,15105,…,الإمارات العربية المتحدة
Yemen,5375,9120,10934,600,715,…,…,…,…,…,…,…,…,اليمن
