Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,البلد,,,,
Bahrain,769,801,838,923,1030,1051,1141,1198,1323,1459,1569,1408,1649,البحرين,,0.17116477272727273,,0.06424792139077853
Egypt,68991,70279,70069,69867,64496,65047,65461,77878,84430,141467,149376,145505,…,مصر,,#VALUE!,,0.7233803150538908
Iraq,...,...,...,...,...,...,...,...,...,52649,53840,...,...,العراق,,#VALUE!,,#VALUE!
Jordan,8241,9017,9032,9022,9791,10231,11413,11793,12826,15442,15707,16086,...,الأردن,,#VALUE!,,0.2541712147200998
Kuwait,3649,3851,3891,3998,4899,4538,4239,4945,4907,5932,5965,6254,…,الكويت,,#VALUE!,,0.2745058080293458
Lebanon,4282,4480,4060,4328,4372,4746,4388,5859,5389,5957,5897,6879,6498,لبنان,,-0.05538595726122983,,0.27648914455372053
Libya,1444,1662,1683,1641,1777,2077,1786,2813,2989,…,…,…,…,ليبيا,,,,#VALUE!
Morocco,…,…,…,…,…,…,…,…,27935,24170,22452,…,…,المغرب,,,,#VALUE!
Oman,...,...,...,26359,...,...,...,...,2816,2505,3661,3805,…,عمان,,,,0.35120738636363635
Palestine,3546,3687,...,...,...,...,...,…,5009,5761,6150,6155,,فلسطين,,,,0.22878818127370731
Qatar,615,566,732,790,787,643,826,997,939,1108,1172,1108,…,قطر,,,,0.1799787007454739
Saudi Arabia,18583,16725,18765,20794,24435,24318,24428,28561,28867,31218,31072,34622,…,المملكة العربية السعودية,,,,0.19936259396542766
Sudan,...,...,...,...,...,...,...,...,2816,...,...,…,…,السودان,,,,#VALUE!
Syrian Arab Republic,7171,13077,14314,14314,17336,17821,19984,19506,22661,29525,28202,…,…,الجمهورية العربية السورية,,,,#VALUE!
Tunis,11017,9706,10562,10212,10062,11576,11711,12557,12035,12822,12871,12539,...,تونس,,,,0.041877856252596594
United Arab Emirates,2392,2832,3390,3243,3577,3617,3335,3657,3855,4076,4194,4145,...,الإمارات العربية المتحدة,,,,0.07522697795071336
Yemen,507,617,998,104,33,...,...,...,...,...,...,...,...,اليمن,,,,
