INCOME,2011 Cash,ViK,CDF,2012 Cash,ViK,CDF,2014 Cash,ViK,CDF,2015 Cash,ViK,CDF,Explanatory Notes / Comment (Please extend if necessary),
Infrastructure/Facilities,0,0,0,0,0,0,0,0,0,0,0,0,,
Kit Sponsor,0,0,0,0,0,0,0,0,0,0,0,0,,
Subscription/Membership,0,0,0,0,0,0,0,0,0,0,0,0,,
Commercial income,0,0,0,0,0,0,0,0,0,0,0,0,,
Merchandise,0,0,0,0,0,0,0,0,0,0,0,0,,
Sponsoring & Advertisement,0,0,0,0,0,0,0,0,0,0,0,0,,
Match-day Income,0,0,0,0,0,0,0,0,0,0,0,0,,
Ticketing,0,0,0,0,0,0,0,0,0,0,0,0,,
Programme Sales,0,0,0,0,0,0,0,0,0,0,0,0,,
Hospitality,0,0,0,0,0,0,0,0,0,0,0,0,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,,
Funding/Grant/Donation,0,0,0,0,0,0,0,0,0,0,0,0,,
Related parties,0,0,0,0,0,0,0,0,0,0,0,0,,
Third parties,0,0,0,0,0,0,0,0,0,0,0,0,,
FA,0,0,0,0,0,0,0,0,0,0,0,0,,
Funding (CDF),0,0,0,0,0,0,0,0,0,0,0,0,,
Prize Money,0,0,0,0,0,0,0,0,0,0,0,0,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,,
